《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-0600》,《暦日2》,六／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1734-0610》,《暦日0》,七／,みつのとのうし,ひらく,,ま日, つめとりよし
《1734-0620》,《暦日2》,八／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1734-0630》,《暦日0》,九／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1734-0640》,《暦日2》,十／,ひのえたつ,のそく,土,ま日,●
《1734-0650》,《暦日0》,十一／,ひのとのみ,みつ,,　,十し
《1734-0660》,《暦日2》,十二／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1734-0670》,《暦日0》,十三／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1734-0680》,《暦日2》,十四／,かのえさる,とる,木,　,神よし 大みやう
《1734-0690》,《暦日0》,十五／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1734-0700》,《暦日2》,十六／,みつのえいぬ,あやふ,水,ま日,わうまう  あさまきよし
《1734-0710》,《暦日0》,十七／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1734-0720》,《暦日2》,十八／,きのえね,おさん,金,　,めつもん
《1734-0730》,《暦日0》,十九／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1734-0740》,《節中》,春分二月中うしの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1734-0750》,《暦日2》,廿／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1734-0760》,《暦日0》,廿一／,ひのとのう,たつ,,ひかんニなる,さい下しき 天火 らうしやく
《1734-0770》,《暦日2》,廿二／,つちのえたつ,のそく,木,社日,●
《1734-0780》,《暦日0》,廿三／,つちのとのみ,みつ,,　,十し
《1734-0790》,《暦日2》,廿四／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1734-0800》,《暦日0》,廿五／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1734-0810》,《暦日2》,廿六／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1734-0820》,《暦日0》,廿七／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1734-0830》,《暦日2》,廿八／,きのえいぬ,あやふ,火,　, かといてよし
《1734-0840》,《暦日0》,廿九／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1734-0850》,《暦日1》,卅／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1734-0860》,《月序》,三月,小,建,戊辰,翼宿　房　日よう
《1734-0870》,《暦日1》,一／,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
《1734-0880》,《暦日2》,二／,つちのえとら,とつ,土,　,天しや よろつよし
《1734-0890》,《暦日0》,三／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1734-0900》,《暦日1》,四／,かのえたつ,たつ,金,　,くゑ日
《1734-0910》,《節中》,清明三月せつたつの初刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1734-0920》,《暦日1》,五／,かのとのみ,のそく,金,　,ちう日
《1734-0930》,《暦日2》,六／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1734-0940》,《暦日0》,七／,みつのとのひつし,たいら,,　,めつもん 地火
《1734-0950》,《暦日2》,八／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1734-0960》,《暦日0》,九／,きのとのとり,とる,,　,神よし  くさかりよし
《1734-0970》,《暦日2》,十／,ひのえいぬ,やふる,土,　,五む日
《1734-0980》,《暦日0》,十一／,ひのとのい,あやふ,,　,●
《1734-0990》,《暦日2》,十二／,つちのえね,なる,火,　,きこ ふく日
《1734-1000》,《暦日0》,十三／,つちのとのうし,おさん,,　,十し
《1734-1010》,《暦日2》,十四／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1734-1020》,《暦日0》,十五／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1734-1030》,《暦日2》,十六／,みつのえたつ,たつ,水,とようむまの一刻ニ入,大みやう 五む日
《1734-1040》,《暦日0》,十七／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1734-1050》,《暦日2》,十八／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1734-1060》,《暦日0》,十九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1734-1070》,《節中》,穀雨三月中むまの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1734-1080》,《暦日2》,廿／,ひのえさる,さたん,火,　,きしく くゑ日
《1734-1090》,《暦日0》,廿一／,ひのとのとり,とる,,　,神よし  いちたちよし
《1734-1100》,《暦日2》,廿二／,つちのえいぬ,やふる,木,　,ふく日
《1734-1110》,《暦日0》,廿三／,つちのとのい,あやふ,,　,●
《1734-1120》,《暦日2》,廿四／,かのえね,なる,土,　,きこ わうまう
《1734-1130》,《暦日0》,廿五／,かのとのうし,おさん,,　,十し
《1734-1140》,《暦日2》,廿六／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1734-1150》,《暦日0》,廿七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1734-1160》,《暦日2》,廿八／,きのえたつ,たつ,火,　,大みやう くゑ日
《1734-1170》,《暦日0》,廿九／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1734-1180》,《月序》,四月,大,建,己巳,軫宿　心　月よう
《1734-1190》,《暦日2》,一／,ひのえむま,みつ,水,八十八や,神よし 大みやう 天火 らうしやく
《1734-1200》,《暦日0》,二／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1734-1210》,《暦日2》,三／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1734-1220》,《暦日0》,四／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1734-1230》,《暦日1》,五／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1734-1240》,《節中》,立夏四月せつとりの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1734-1250》,《暦日1》,六／,かのとのい,やふる,金,　,神よし 大みやう ちう日  さひらきよし
《1734-1260》,《暦日2》,七／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1734-1270》,《暦日0》,八／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1734-1280》,《暦日2》,九／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1734-1290》,《暦日0》,十／,きのとのう,ひらく,,　,神よし  さひらきよし
《1734-1300》,《暦日2》,十一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1734-1310》,《暦日0》,十二／,ひのとのみ,たつ,,　,●
《1734-1320》,《暦日2》,十三／,つちのえむま,のそく,火,ま日,くゑ日
《1734-1330》,《暦日0》,十四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1734-1340》,《暦日2》,十五／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1734-1350》,《暦日0》,十六／,かのとのとり,さたん,,　,十し
《1734-1360》,《暦日2》,十七／,みつのえいぬ,とる,水,ま日,ふく日
《1734-1370》,《暦日0》,十八／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1734-1380》,《暦日2》,十九／,きのえね,あやふ,金,　,きしく
《1734-1390》,《暦日0》,廿／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1734-1400》,《節中》,小満四月中いの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1734-1410》,《暦日2》,廿一／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1734-1420》,《暦日0》,廿二／,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
《1734-1430》,《暦日2》,廿三／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1734-1440》,《暦日0》,廿四／,つちのとのみ,たつ,,　,●
《1734-1450》,《暦日2》,廿五／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1734-1460》,《暦日0》,廿六／,かのとのひつし,みつ,,　,大みやう くゑ日
《1734-1470》,《暦日2》,廿七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1734-1480》,《暦日0》,廿八／,みつのとのとり,さたん,,　,十し
《1734-1490》,《暦日2》,廿九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1734-1500》,《暦日0》,卅／,きのとのい,やふる,,　,ちう日
《1734-1510》,《月序》,五月,小,建,庚午,角宿　箕　水よう
《1734-1520》,《暦日2》,一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1734-1530》,《暦日0》,二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1734-1540》,《暦日2》,三／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1734-1550》,《暦日0》,四／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1734-1560》,《暦日2》,五／,かのえたつ,とつ,金,　, けんふくよし
《1734-1570》,《暦日0》,六／,かのとのみ,とつ,,　,十し
