《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1850》,《暦日1》,一／,みつのとのみ,とつ,水,天一天上,十し
《1860》,《食記》,日そく八分半
《1870》,《暦日2》,二／,きのえむま,たつ,金,　,天しや よろつよし
《1880》,《暦日0》,三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1890》,《暦日2》,四／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1900》,《暦日0》,五／,ひのとのとり,たいら,,　,さい下しき 神よし ふく日 めつもん 地火
《1910》,《暦日2》,六／,つちのえいぬ,さたん,木,はんけしやう, かまぬり 田うへよし
《1920》,《暦日0》,七／,つちのとのい,とる,,　,神よし ちう日
《1930》,《暦日2》,八／,かのえね,やふる,土,　,●
《1940》,《暦日0》,九／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1950》,《暦日2》,十／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1960》,《暦日0》,十一／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1970》,《節中》,小暑六月せつむまの三刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1980》,《暦日2》,十二／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1990》,《暦日0》,十三／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2000》,《暦日2》,十四／,ひのえむま,とつ,水,　,●
《2010》,《暦日0》,十五／,ひのとのひつし,たつ,,　,くゑ日
《2020》,《暦日2》,十六／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2030》,《暦日0》,十七／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2040》,《暦日2》,十八／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《2050》,《暦日0》,十九／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2060》,《暦日2》,廿／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《2070》,《暦日0》,廿一／,みつのとのうし,やふる,,ま日,十し
《2080》,《暦日2》,廿二／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2090》,《暦日0》,廿三／,きのとのう,なる,,とようさるの四刻ニ入,神よし 母倉 天火 らうしやく
《2100》,《暦日2》,廿四／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2110》,《暦日0》,廿五／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2120》,《暦日1》,廿六／,つちのえむま,とつ,火,ま日,●
《2130》,《節中》,大暑六月中とりの初刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2140》,《暦日1》,廿七／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《2150》,《暦日2》,廿八／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《2160》,《暦日0》,廿九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2170》,《月序》,七月,小,建,壬申,畢宿　心　月よう
《2180》,《暦日2》,一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2190》,《暦日0》,二／,みつのとのい,さたん,,八せんのおはり,ちう日
《2200》,《暦日2》,三／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2210》,《暦日0》,四／,きのとのうし,やふる,,　,十し
《2220》,《暦日2》,五／,ひのえとら,あやふ,火,　,天おん わうまう  わたまし  つめとりよし
《2230》,《暦日0》,六／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2240》,《暦日2》,七／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2250》,《暦日0》,八／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2260》,《暦日2》,九／,かのえむま,とつ,土,　,●
《2270》,《暦日0》,十／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2280》,《暦日2》,十一／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2290》,《暦日0》,十二／,みつのとのとり,のそく,,　,十し
《2300》,《節中》,立秋七月せついの五刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2310》,《暦日2》,十三／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2320》,《暦日0》,十四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2330》,《暦日2》,十五／,ひのえね,さたん,水,　, 田かりよし
《2340》,《暦日0》,十六／,ひのとのうし,とる,,　,●
《2350》,《暦日2》,十七／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2360》,《暦日0》,十八／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2370》,《暦日2》,十九／,かのえたつ,なる,金,末伏,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《2380》,《暦日0》,廿／,かのとのみ,おさん,,　,天おん 大くわ ちう日 わうまう
《2390》,《暦日2》,廿一／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2400》,《暦日0》,廿二／,みつのとのひつし,とつ,,　,天おん 母倉
《2410》,《暦日2》,廿三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2420》,《暦日0》,廿四／,きのとのとり,のそく,,　,十し
《2430》,《暦日2》,廿五／,ひのえいぬ,みつ,土,　,母倉 五む日
《2440》,《暦日0》,廿六／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2450》,《暦日2》,廿七／,つちのえね,さたん,火,　, けんふく くさかりよし
《2460》,《暦日0》,廿八／,つちのとのうし,とる,,　,●
《2470》,《節中》,処暑七月中今暁とらの二刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2480》,《暦日1》,廿九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2490》,《月序》,八月,大,建,癸酉,觜宿　尾　火よう
《2500》,《暦日1》,一／,かのとのう,あやふ,木,　,神よし
《2510》,《暦日2》,二／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2520》,《暦日0》,三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2530》,《暦日2》,四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2540》,《暦日0》,五／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2550》,《暦日2》,六／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2560》,《暦日0》,七／,ひのとのとり,のそく,,　,十し
《2570》,《暦日2》,八／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2580》,《暦日0》,九／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2590》,《暦日2》,十／,かのえね,さたん,土,二百十日,神よし ふく日
《2600》,《暦日0》,十一／,かのとのうし,とる,,　,●
《2610》,《暦日2》,十二／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
