«1705-0000»,【 カンマ区切りテキスト形式です。】
«1705-0990»,«暦日0»,十七〳,かのとのい,あやふ,,　,●
«1705-1000»,«暦日2»,十八〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1705-1010»,«暦日0»,十九〳,みつのとのうし,おさん,,ま日,十し
«1705-1020»,«暦日2»,廿〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1705-1030»,«暦日0»,廿一〳,きのとのう,とつ,,　,神よし  ものたちよし
«1705-1040»,«暦日2»,廿二〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1705-1050»,«暦日0»,廿三〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1705-1060»,«暦日2»,廿四〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1705-1070»,«暦日0»,廿五〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1705-1080»,«暦日2»,廿六〳,かのえさる,さたん,木,とようむまの一刻ニ入,大みやう くゑ日
«1705-1090»,«暦日0»,廿七〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1705-1100»,«暦日2»,廿八〳,みつのえいぬ,やふる,水,ま日
«1705-1110»,«暦日0»,廿九〳,みつのとのい,あやふ,,三月中むまの五刻|八せんのおはり,●
«1705-1120»,«月序»,四月,大,建,辛巳,婁宿　奎　木よう
«1705-1130»,«暦日2»,一〳,きのえね,なる,金,　,くゑ日 きこ
«1705-1140»,«暦日0»,二〳,きのとのうし,おさん,,　,十し
«1705-1150»,«暦日2»,三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1705-1160»,«暦日0»,四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1705-1170»,«暦日2»,五〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日 わうまう
«1705-1180»,«暦日0»,六〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1705-1190»,«暦日2»,七〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1705-1200»,«暦日0»,八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1705-1210»,«暦日2»,九〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1705-1220»,«暦日0»,十〳,みつのとのとり,とる,,　,神よし 大みやう
«1705-1230»,«暦日2»,十一〳,きのえいぬ,やふる,火,八十八や, くさかりよし
«1705-1240»,«暦日0»,十二〳,きのとのい,あやふ,,　,●
«1705-1250»,«暦日2»,十三〳,ひのえね,なる,水,　,きこ
«1705-1260»,«暦日0»,十四〳,ひのとのうし,おさん,,　,十し
«1705-1270»,«暦日2»,十五〳,つちのえとら,おさん,土,立夏四月せつとりの二刻ニ入,めつもん  たねまき  つめとりよし
«1705-1280»,«暦日0»,十六〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1705-1290»,«暦日2»,十七〳,かのえたつ,とつ,金,　, けんふくよし
«1705-1300»,«暦日0»,十八〳,かのとのみ,たつ,,　,●
«1705-1310»,«暦日2»,十九〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1705-1320»,«暦日0»,廿〳,みつのとのひつし,みつ,,　,くゑ日
«1705-1330»,«暦日2»,廿一〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1705-1340»,«暦日0»,廿二〳,きのとのとり,さたん,,　,十し
«1705-1350»,«暦日2»,廿三〳,ひのえいぬ,とる,土,　,さい下しき 五む日 ふく日  くさかりよし
«1705-1360»,«暦日0»,廿四〳,ひのとのい,やふる,,　,大みやう ちう日
«1705-1370»,«暦日2»,廿五〳,つちのえね,あやふ,火,　, けんふくよし
«1705-1380»,«暦日0»,廿六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1705-1390»,«暦日2»,廿七〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1705-1400»,«暦日0»,廿八〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1705-1410»,«暦日2»,廿九〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1705-1420»,«暦日0»,卅〳,みつのとのみ,たつ,,四月中いの七刻|天一天上,●
«1705-1430»,«月序»,閏四月,小,隨節用之,胃　土よう
«1705-1440»,«暦日2»,一〳,きのえむま,のそく,金,　,天しや よろつよし
«1705-1450»,«暦日0»,二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1705-1460»,«暦日2»,三〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1705-1470»,«暦日0»,四〳,ひのとのとり,さたん,,　,十し
«1705-1480»,«暦日2»,五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1705-1490»,«暦日0»,六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1705-1500»,«暦日2»,七〳,かのえね,あやふ,土,　,神よし きしく  わたまし たねまきよし
«1705-1510»,«暦日0»,八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1705-1520»,«暦日2»,九〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1705-1530»,«暦日0»,十〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1705-1540»,«暦日2»,十一〳,きのえたつ,とつ,火,　,大みやう
«1705-1550»,«暦日0»,十二〳,きのとのみ,たつ,,　,●
«1705-1560»,«暦日2»,十三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1705-1570»,«暦日0»,十四〳,ひのとのひつし,みつ,,　,くゑ日
«1705-1580»,«暦日2»,十五〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1705-1590»,«暦日0»,十六〳,つちのとのとり,たいら,,五月せつとらの四刻ニ入,神よし 大みやう めつもん 地火
«1705-1600»,«暦日2»,十七〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1705-1610»,«暦日0»,十八〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1705-1620»,«暦日2»,十九〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1705-1630»,«暦日0»,廿〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1705-1640»,«暦日2»,廿一〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1705-1650»,«暦日0»,廿二〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1705-1660»,«暦日2»,廿三〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1705-1670»,«暦日0»,廿四〳,ひのとのみ,とつ,,　,十し
«1705-1680»,«暦日2»,廿五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1705-1690»,«暦日0»,廿六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1705-1700»,«暦日2»,廿七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1705-1710»,«暦日0»,廿八〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1705-1720»,«暦日1»,廿九〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1705-1730»,«月序»,五月,大,建,壬午,胃宿　昴　日よう
«1705-1740»,«暦日1»,一〳,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
«1705-1750»,«暦日2»,二〳,きのえね,やふる,金,夏至五月中みの一刻,●
«1705-1760»,«暦日0»,三〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1705-1770»,«暦日2»,四〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1705-1780»,«暦日0»,五〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1705-1790»,«暦日2»,六〳,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
«1705-1800»,«暦日0»,七〳,つちのとのみ,とつ,,　,十し
«1705-1810»,«暦日2»,八〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1705-1820»,«暦日0»,九〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1705-1830»,«暦日2»,十〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1705-1840»,«暦日0»,十一〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1705-1850»,«暦日2»,十二〳,きのえいぬ,さたん,火,はんけしやう, わたまし くらたてよし
«1705-1860»,«暦日0»,十三〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1705-1870»,«暦日2»,十四〳,ひのえね,やふる,水,　,●
«1705-1880»,«暦日0»,十五〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1705-1890»,«暦日2»,十六〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1705-1900»,«暦日0»,十七〳,つちのとのう,なる,,六月せつひつしの六刻ニ入,神よし 大みやう ふく日 天火 らうしやく
«1705-1910»,«暦日2»,十八〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
«1705-1920»,«暦日0»,十九〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1705-1930»,«暦日2»,廿〳,みつのえむま,とつ,木,　,●
«1705-1940»,«暦日0»,廿一〳,みつのとのひつし,たつ,,　, たねまきよし
«1705-1950»,«暦日2»,廿二〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1705-1960»,«暦日0»,廿三〳,きのとのとり,みつ,,　,神よし ちいみ
«1705-1970»,«暦日2»,廿四〳,ひのえいぬ,たいら,土,　,さい下しき 五む日 大くわ 地火
«1705-1980»,«暦日0»,廿五〳,ひのとのい,さたん,,　,大みやう ちう日
«1705-1990»,«暦日2»,廿六〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1705-2000»,«暦日0»,廿七〳,つちのとのうし,やふる,,　,十し
«1705-2010»,«暦日2»,廿八〳,かのえとら,あやふ,木,初伏, やたて  つめとりよし
«1705-2020»,«暦日0»,廿九〳,かのとのう,なる,,とようとりの七刻ニ入,神よし 天火 らうしやく
«1705-2030»,«暦日1»,卅〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1705-2040»,«月序»,六月,小,建,癸未,昴宿　觜　火よう
«1705-2050»,«暦日1»,一〳,みつのとのみ,ひらく,水,天一天上,ちう日  いちたちよし
«1705-2060»,«暦日2»,二〳,きのえむま,とつ,金,六月中いぬの三刻,●
«1705-2070»,«暦日0»,三〳,きのとのひつし,たつ,,　,大みやう 五む日
«1705-2080»,«暦日2»,四〳,ひのえさる,のそく,火,　,神よし きしく
«1705-2090»,«暦日0»,五〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1705-2100»,«暦日2»,六〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1705-2110»,«暦日0»,七〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1705-2120»,«暦日2»,八〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1705-2130»,«暦日0»,九〳,かのとのうし,やふる,,　,十し
«1705-2140»,«暦日2»,十〳,みつのえとら,あやふ,金,　,大みやう わうまう  けんふく  つめとりよし
«1705-2150»,«暦日0»,十一〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1705-2160»,«暦日2»,十二〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1705-2170»,«暦日0»,十三〳,きのとのみ,ひらく,,　,大みやう ちう日
«1705-2180»,«暦日2»,十四〳,ひのえむま,とつ,水,　,●
«1705-2190»,«暦日0»,十五〳,ひのとのひつし,たつ,,　,くゑ日
«1705-2200»,«暦日2»,十六〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1705-2210»,«暦日0»,十七〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1705-2220»,«暦日2»,十八〳,かのえいぬ,みつ,金,立秋七月せつねの八刻ニ入|末伏,大みやう ふく日
«1705-2230»,«暦日0»,十九〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1705-2240»,«暦日2»,廿〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1705-2250»,«暦日0»,廿一〳,みつのとのうし,とる,,ま日,●
«1705-2260»,«暦日2»,廿二〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
