《1727-0000》,# カンマ区切りテキスト形式です。
《1727-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1727-1200》,《暦日0》,七／,みつのとのい,あやふ,,八せんのおはり,●
《1727-1210》,《暦日2》,八／,きのえね,なる,金,　,くゑ日 きこ
《1727-1220》,《暦日0》,九／,きのとのうし,おさん,,　,十し
《1727-1230》,《暦日2》,十／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1727-1240》,《暦日0》,十一／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1727-1250》,《暦日2》,十二／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1727-1260》,《暦日0》,十三／,つちのとのみ,のそく,,八十八や,神よし ちう日 ふく日  かといてよし
《1727-1270》,《暦日2》,十四／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1727-1280》,《暦日0》,十五／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1727-1290》,《暦日2》,十六／,みつのえさる,さたん,金,　,大みやう くゑ日
《1727-1300》,《暦日0》,十七／,みつのとのとり,とる,,　,神よし 大みやう
《1727-1310》,《暦日2》,十八／,きのえいぬ,とる,火,立夏四月せつうしの初刻ニ入, やたて くらたてよし
《1727-1320》,《暦日0》,十九／,きのとのい,やふる,,　,ちう日
《1727-1330》,《暦日2》,廿／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1727-1340》,《暦日0》,廿一／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1727-1350》,《暦日2》,廿二／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1727-1360》,《暦日0》,廿三／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1727-1370》,《暦日2》,廿四／,かのえたつ,とつ,金,　, けんふくよし
《1727-1380》,《暦日0》,廿五／,かのとのみ,たつ,,　,●
《1727-1390》,《暦日2》,廿六／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1727-1400》,《暦日0》,廿七／,みつのとのひつし,みつ,,　,くゑ日
《1727-1410》,《暦日2》,廿八／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1727-1420》,《暦日0》,廿九／,きのとのとり,さたん,,　,十し
《1727-1430》,《暦日1》,卅／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1727-1440》,《月序》,四月,小,建,乙巳,軫宿　壁　水よう
《1727-1450》,《暦日1》,一／,ひのとのい,やふる,土,　,大みやう ちう日
《1727-1460》,《暦日2》,二／,つちのえね,あやふ,火,　, けんふくよし
《1727-1470》,《暦日0》,三／,つちのとのうし,なる,,四月中うの五刻,きこ  つめとりよし
《1727-1480》,《暦日2》,四／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1727-1490》,《暦日0》,五／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1727-1500》,《暦日2》,六／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1727-1510》,《暦日0》,七／,みつのとのみ,たつ,,天一天上,●
《1727-1520》,《暦日2》,八／,きのえむま,のそく,金,　,天しや よろつよし
《1727-1530》,《暦日0》,九／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1727-1540》,《暦日2》,十／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1727-1550》,《暦日0》,十一／,ひのとのとり,さたん,,　,十し
《1727-1560》,《暦日2》,十二／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1727-1570》,《暦日0》,十三／,つちのとのい,やふる,,　,くゑ日 ちう日
《1727-1580》,《暦日2》,十四／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1727-1590》,《暦日0》,十五／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1727-1600》,《暦日2》,十六／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1727-1610》,《暦日0》,十七／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1727-1620》,《暦日2》,十八／,きのえたつ,ひらく,火,五月せつむまの二刻ニ入,大みやう  むきかり 田うへよし
《1727-1630》,《暦日0》,十九／,きのとのみ,とつ,,　,十し
《1727-1640》,《暦日2》,廿／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
