《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1980》,《暦日0》,十四／,ひのとのひつし,たつ,,　,くゑ日
《1990》,《暦日2》,十五／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2000》,《暦日0》,十六／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《2010》,《暦日2》,十七／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
《2020》,《暦日0》,十八／,かのとのい,さたん,,　,大みやう ちう日 わうまう
《2030》,《暦日2》,十九／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《2040》,《暦日0》,廿／,みつのとのうし,やふる,,ま日,十し
《2050》,《暦日2》,廿一／,きのえとら,あやふ,水,　, やたて  つめとりよし
《2060》,《暦日0》,廿二／,きのとのう,なる,,　,神よし 天火 らうしやく
《2070》,《暦日2》,廿三／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《2080》,《暦日0》,廿四／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2090》,《暦日1》,廿五／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2100》,《節中》,立秋七月せつとりの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2110》,《暦日1》,廿六／,つちのとのひつし,とつ,火,　,神よし 大みやう  みそすつくりよし
《2120》,《暦日2》,廿七／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2130》,《暦日0》,廿八／,かのとのとり,のそく,,　,十し
《2140》,《暦日1》,廿九／,みつのえいぬ,みつ,水,ま日
《2150》,《月序》,七月,大,建,丙申,氐宿　亢　金よう
《2160》,《暦日1》,一／,みつのとのい,たいら,水,八せんのおはり,ちう日 めつもん 地火
《2170》,《暦日2》,二／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2180》,《暦日0》,三／,きのとのうし,とる,,　,●
《2190》,《暦日2》,四／,ひのえとら,やふる,火,　,わうまう  けんふく  つめとりよし
《2200》,《暦日0》,五／,ひのとのう,あやふ,,　,神よし  わたましよし
《2210》,《暦日2》,六／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《2220》,《暦日0》,七／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2230》,《暦日2》,八／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2240》,《暦日0》,九／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2250》,《暦日2》,十／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2260》,《暦日0》,十一／,みつのとのとり,のそく,,　,十し
《2270》,《節中》,処暑七月中いの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2280》,《暦日2》,十二／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2290》,《暦日0》,十三／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2300》,《暦日2》,十四／,ひのえね,さたん,水,　, 田かりよし
《2310》,《暦日0》,十五／,ひのとのうし,とる,,　,●
《2320》,《暦日2》,十六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2330》,《暦日0》,十七／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《2340》,《暦日2》,十八／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《2350》,《暦日0》,十九／,かのとのみ,おさん,,　,大くわ ちう日
《2360》,《暦日2》,廿／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2370》,《暦日0》,廿一／,みつのとのひつし,とつ,,　
《2380》,《暦日2》,廿二／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《2390》,《暦日0》,廿三／,きのとのとり,のそく,,二百十日,十し
《2400》,《暦日2》,廿四／,ひのえいぬ,みつ,土,　,さい下しき 五む日
《2410》,《暦日0》,廿五／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《2420》,《暦日1》,廿六／,つちのえね,さたん,火,　, けんふく くさかりよし
《2430》,《節中》,白露八月せつ翌とらの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2440》,《暦日1》,廿七／,つちのとのうし,さたん,火,　, かまぬり  つめとりよし
《2450》,《暦日2》,廿八／,かのえとら,とる,木,　,きこ  つめとりよし
《2460》,《暦日0》,廿九／,かのとのう,やふる,,　,ふく日  田かりよし
《2470》,《暦日1》,卅／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2480》,《月序》,八月,大,建,丁酉,房宿　房　日よう
《2490》,《暦日1》,一／,みつのとのみ,なる,水,天一天上,十し
《2500》,《暦日2》,二／,きのえむま,おさん,金,　,めつもん
《2510》,《暦日0》,三／,きのとのひつし,ひらく,,二百廿日,●
《2520》,《暦日2》,四／,ひのえさる,とつ,火,　,神よし
《2530》,《暦日0》,五／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2540》,《暦日2》,六／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《2550》,《暦日0》,七／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2560》,《暦日2》,八／,かのえね,たいら,土,　,神よし 大くわ 地火
《2570》,《暦日0》,九／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2580》,《暦日2》,十／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2590》,《暦日0》,十一／,みつのとのう,やふる,,　, くらたて 田かりよし
《2600》,《暦日1》,十二／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2610》,《節中》,秋分八月中みの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2620》,《暦日1》,十三／,きのとのみ,なる,火,　,十し
