《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1910》,《暦日0》,七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1920》,《節中》,大暑六月中いの八刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1930》,《暦日2》,八／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1940》,《暦日0》,九／,きのとのうし,やふる,,　,十し
《1950》,《暦日2》,十／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1960》,《暦日0》,十一／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1970》,《暦日2》,十二／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1980》,《暦日0》,十三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1990》,《暦日2》,十四／,かのえむま,とつ,土,中伏,●
《2000》,《暦日0》,十五／,かのとのひつし,たつ,,　,大みやう わうまう  かといて ふねのりよし
《2010》,《暦日2》,十六／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2020》,《暦日0》,十七／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2030》,《暦日2》,十八／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2040》,《暦日0》,十九／,きのとのい,さたん,,　,ちう日
《2050》,《暦日2》,廿／,ひのえね,とる,水,　,きこ 下しきたつの時
《2060》,《暦日0》,廿一／,ひのとのうし,やふる,,　,十し
《2070》,《暦日2》,廿二／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2080》,《暦日0》,廿三／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2090》,《節中》,立秋七月せつ今暁とらの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2100》,《暦日2》,廿四／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《2110》,《暦日0》,廿五／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2120》,《暦日2》,廿六／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2130》,《暦日0》,廿七／,みつのとのひつし,とつ,,　,天おん 母倉
《2140》,《暦日2》,廿八／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《2150》,《暦日0》,廿九／,きのとのとり,のそく,,　,十し
《2160》,《月序》,七月,大,建,甲申,氐宿　星　日よう
《2170》,《暦日2》,一／,ひのえいぬ,みつ,土,　,さい下しき 母倉 五む日
《2180》,《暦日0》,二／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火 わうまう
《2190》,《暦日2》,三／,つちのえね,さたん,火,　, けんふく くさかりよし
《2200》,《暦日0》,四／,つちのとのうし,とる,,　,●
《2210》,《暦日2》,五／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2220》,《暦日0》,六／,かのとのう,あやふ,,　,神よし
《2230》,《暦日2》,七／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2240》,《暦日0》,八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2250》,《暦日1》,九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2260》,《節中》,処暑七月中みの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2270》,《暦日1》,十／,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
《2280》,《暦日2》,十一／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2290》,《暦日0》,十二／,ひのとのとり,のそく,,　,十し
《2300》,《暦日2》,十三／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2310》,《暦日0》,十四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2320》,《暦日2》,十五／,かのえね,さたん,土,　,神よし ふく日
《2330》,《暦日0》,十六／,かのとのうし,とる,,　,●
