《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-0590》,《暦日0》,五／,ひのとのみ,みつ,,　,十し
《1826-0600》,《暦日2》,六／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1826-0610》,《暦日0》,七／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1826-0620》,《暦日2》,八／,かのえさる,とる,木,　,神よし 大みやう
《1826-0630》,《暦日0》,九／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1826-0640》,《暦日2》,十／,みつのえいぬ,あやふ,水,ま日/ひかんニなる, あさまきよし
《1826-0650》,《暦日0》,十一／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1826-0660》,《暦日2》,十二／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1826-0670》,《暦日0》,十三／,きのとのうし,ひらく,,　,天おん ふく日 わうまう  ものたち  つめとりよし
《1826-0680》,《暦日2》,十四／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1826-0690》,《暦日0》,十五／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1826-0700》,《節中》,春分二月中みの七刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1826-0710》,《暦日2》,十六／,つちのえたつ,のそく,木,社日,●
《1826-0720》,《暦日0》,十七／,つちのとのみ,みつ,,　,十し
《1826-0730》,《暦日2》,十八／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1826-0740》,《暦日0》,十九／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1826-0750》,《暦日2》,廿／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1826-0760》,《暦日0》,廿一／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1826-0770》,《暦日2》,廿二／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1826-0780》,《暦日0》,廿三／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1826-0790》,《暦日2》,廿四／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1826-0800》,《暦日0》,廿五／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1826-0810》,《暦日2》,廿六／,つちのえとら,とつ,土,　,天しや よろつよし
《1826-0820》,《暦日0》,廿七／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1826-0830》,《暦日2》,廿八／,かのえたつ,のそく,金,　,●
《1826-0840》,《暦日0》,廿九／,かのとのみ,みつ,,　,十し
《1826-0850》,《月序》,三月,大,建,壬辰,虛宿　牛　金よう
《1826-0860》,《暦日1》,一／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1826-0870》,《節中》,清明三月せつさるの四刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1826-0880》,《暦日1》,二／,みつのとのひつし,たいら,木,　,天おん めつもん 地火
《1826-0890》,《暦日2》,三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1826-0900》,《暦日0》,四／,きのとのとり,とる,,　,神よし  くさかりよし
《1826-0910》,《暦日2》,五／,ひのえいぬ,やふる,土,　,五む日
《1826-0920》,《暦日0》,六／,ひのとのい,あやふ,,　,●
《1826-0930》,《暦日2》,七／,つちのえね,なる,火,　,母倉 きこ ふく日
《1826-0940》,《暦日0》,八／,つちのとのうし,おさん,,　,十し
《1826-0950》,《暦日2》,九／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1826-0960》,《暦日0》,十／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1826-0970》,《暦日2》,十一／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1826-0980》,《暦日0》,十二／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1826-0990》,《暦日2》,十三／,きのえむま,みつ,金,とよういぬの五刻ニ入,神よし 母倉 天火 らうしやく  ふねのりよし
《1826-1000》,《暦日0》,十四／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1826-1010》,《暦日2》,十五／,ひのえさる,さたん,火,　,きしく くゑ日
《1826-1020》,《暦日0》,十六／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1826-1030》,《節中》,穀雨三月中いの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1826-1040》,《暦日2》,十七／,つちのえいぬ,やふる,木,　,ふく日
《1826-1050》,《暦日0》,十八／,つちのとのい,あやふ,,　,●
《1826-1060》,《暦日2》,十九／,かのえね,なる,土,　,神よし きこ
《1826-1070》,《暦日0》,廿／,かのとのうし,おさん,,　,十し
《1826-1080》,《暦日2》,廿一／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ わうまう  つめとりよし
《1826-1090》,《暦日0》,廿二／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1826-1100》,《暦日2》,廿三／,きのえたつ,たつ,火,　,大みやう くゑ日
《1826-1110》,《暦日0》,廿四／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1826-1120》,《暦日2》,廿五／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1826-1130》,《暦日0》,廿六／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1826-1140》,《暦日2》,廿七／,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
《1826-1150》,《暦日0》,廿八／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1826-1160》,《暦日2》,廿九／,かのえいぬ,やふる,金,　,大みやう 天おん
《1826-1170》,《暦日0》,卅／,かのとのい,あやふ,,　,●
《1826-1180》,《月序》,四月,大,建,癸巳,危宿　虛　日よう
《1826-1190》,《暦日2》,一／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1826-1200》,《暦日0》,二／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1826-1210》,《節中》,立夏四月せつ今暁うしの六刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1826-1220》,《暦日2》,三／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1826-1230》,《暦日0》,四／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1826-1240》,《暦日2》,五／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1826-1250》,《暦日0》,六／,ひのとのみ,たつ,,　,●
《1826-1260》,《暦日2》,七／,つちのえむま,のそく,火,ま日,くゑ日
《1826-1270》,《暦日0》,八／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1826-1280》,《暦日2》,九／,かのえさる,たいら,木,　,大みやう 月とく ちいみ 大くわ 地火 わうまう
《1826-1290》,《暦日0》,十／,かのとのとり,さたん,,　,十し
《1826-1300》,《暦日2》,十一／,みつのえいぬ,とる,水,ま日,ふく日
《1826-1310》,《暦日0》,十二／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1826-1320》,《暦日2》,十三／,きのえね,あやふ,金,　,きしく 天おん
《1826-1330》,《暦日0》,十四／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
