«1755-0000»,【 カンマ区切りテキスト形式です。】
«1755-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1755-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1755-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1755-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1755-0050»,【 外部リンク　】
«1755-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/48 ～ 53】
«1755-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1755h　(翻刻編集終了データを表成型して表示します)】
«1755-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1755ht (翻刻編集中データを表成型して表示します)】
«1755-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1755-0100»,«版元»,出版地○○,出版元□□□,　
«1755-1340»,«節中»,小満四月中今夜ねの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1755-1350»,«暦日2»,十三〳,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
«1755-1360»,«暦日0»,十四〳,ひのとのみ,たつ,,　,●
«1755-1370»,«暦日2»,十五〳,つちのえむま,のそく,火,ま日,くゑ日
«1755-1380»,«暦日0»,十六〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1755-1390»,«暦日2»,十七〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1755-1400»,«暦日0»,十八〳,かのとのとり,さたん,,　,十し
«1755-1410»,«暦日2»,十九〳,みつのえいぬ,とる,水,ま日,ふく日
«1755-1420»,«暦日0»,廿〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1755-1430»,«暦日2»,廿一〳,きのえね,あやふ,金,　,天おん
«1755-1440»,«暦日0»,廿二〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1755-1450»,«暦日2»,廿三〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1755-1460»,«暦日0»,廿四〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1755-1470»,«暦日2»,廿五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1755-1480»,«暦日0»,廿六〳,つちのとのみ,たつ,,　,●
«1755-1490»,«暦日2»,廿七〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1755-1500»,«暦日0»,廿八〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1755-1510»,«節中»,芒種五月せつ今暁とらの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1755-1520»,«暦日2»,廿九〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1755-1530»,«暦日0»,卅〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1755-1540»,«月序»,五月,小,建,壬午,角宿　室　火よう
«1755-1550»,«暦日2»,一〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1755-1560»,«暦日0»,二〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1755-1570»,«暦日2»,三〳,ひのえね,やふる,水,　,●
«1755-1580»,«暦日0»,四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1755-1590»,«暦日2»,五〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1755-1600»,«暦日0»,六〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1755-1610»,«暦日2»,七〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1755-1620»,«暦日0»,八〳,かのとのみ,とつ,,　,十し
«1755-1630»,«暦日2»,九〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1755-1640»,«暦日0»,十〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1755-1650»,«暦日2»,十一〳,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
«1755-1660»,«暦日0»,十二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1755-1670»,«暦日1»,十三〳,ひのえいぬ,さたん,土,　,月とく 五む日 わうまう  むきかりよし
