《1763-0000》,# カンマ区切りテキスト形式です。
《1763-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1763-1160》,《暦日0》,廿八／,きのとのとり,さたん,,　,十し
《1763-1170》,《暦日2》,廿九／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1763-1180》,《暦日0》,卅／,ひのとのい,やふる,,　,大みやう ちう日
《1763-1190》,《月序》,四月,小,建,丁巳,危宿　鬼　金よう
《1763-1200》,《暦日2》,一／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1763-1210》,《暦日0》,二／,つちのとのうし,なる,,　,きこ わうまう  つめとりよし
《1763-1220》,《暦日2》,三／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1763-1230》,《暦日0》,四／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1763-1240》,《暦日2》,五／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1763-1250》,《暦日0》,六／,みつのとのみ,たつ,,天一天上,●
《1763-1260》,《暦日2》,七／,きのえむま,のそく,金,　,天しや よろつよし
《1763-1270》,《暦日0》,八／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1763-1280》,《暦日2》,九／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1763-1290》,《暦日0》,十／,ひのとのとり,さたん,,　,十し
《1763-1300》,《節中》,小満四月中いの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1763-1310》,《暦日2》,十一／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1763-1320》,《暦日0》,十二／,つちのとのい,やふる,,　,くゑ日 ちう日
《1763-1330》,《暦日2》,十三／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1763-1340》,《暦日0》,十四／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1763-1350》,《暦日2》,十五／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1763-1360》,《暦日0》,十六／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1763-1370》,《暦日2》,十七／,きのえたつ,とつ,火,　,大みやう
《1763-1380》,《暦日0》,十八／,きのとのみ,たつ,,　,●
《1763-1390》,《暦日2》,十九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1763-1400》,《暦日0》,廿／,ひのとのひつし,みつ,,　,くゑ日
《1763-1410》,《暦日2》,廿一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1763-1420》,《暦日0》,廿二／,つちのとのとり,さたん,,　,十し
《1763-1430》,《暦日2》,廿三／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1763-1440》,《暦日0》,廿四／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1763-1450》,《暦日2》,廿五／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1763-1460》,《暦日0》,廿六／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1763-1470》,《節中》,芒種五月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1763-1480》,《暦日2》,廿七／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1763-1490》,《暦日0》,廿八／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1763-1500》,《暦日1》,廿九／,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
《1763-1510》,《月序》,五月,大,建,戊午,室宿　柳　土よう
《1763-1520》,《暦日1》,一／,ひのとのみ,とつ,土,　,十し
《1763-1530》,《暦日2》,二／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1763-1540》,《暦日0》,三／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1763-1550》,《暦日2》,四／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1763-1560》,《暦日0》,五／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1763-1570》,《暦日2》,六／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1763-1580》,《暦日0》,七／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1763-1590》,《暦日2》,八／,きのえね,やふる,金,　,●
《1763-1600》,《暦日0》,九／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1763-1610》,《暦日2》,十／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1763-1620》,《暦日0》,十一／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1763-1630》,《暦日1》,十二／,つちのえたつ,ひらく,木,　,天おん 五む日 わうまう  かまぬり 田うへよし
《1763-1640》,《節中》,夏至五月中たつの四刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1763-1650》,《暦日1》,十三／,つちのとのみ,とつ,木,　,十し
《1763-1660》,《暦日2》,十四／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1763-1670》,《暦日0》,十五／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1763-1680》,《暦日2》,十六／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1763-1690》,《暦日0》,十七／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1763-1700》,《暦日2》,十八／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1763-1710》,《暦日0》,十九／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1763-1720》,《暦日2》,廿／,ひのえね,やふる,水,　,●
《1763-1730》,《暦日0》,廿一／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1763-1740》,《暦日2》,廿二／,つちのえとら,なる,土,はんけしやう,母倉 きこ  みそすつくり  つめとりよし
《1763-1750》,《暦日0》,廿三／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1763-1760》,《暦日2》,廿四／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1763-1770》,《暦日0》,廿五／,かのとのみ,とつ,,　,十し
《1763-1780》,《暦日2》,廿六／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1763-1790》,《暦日0》,廿七／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1763-1800》,《節中》,小暑六月せつひつしの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1763-1810》,《暦日2》,廿八／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
《1763-1820》,《暦日0》,廿九／,きのとのとり,みつ,,　,神よし ちいみ
《1763-1830》,《暦日1》,卅／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1763-1840》,《月序》,六月,小,建,己未,壁宿　張　月よう
《1763-1850》,《暦日1》,一／,ひのとのい,さたん,土,　,大みやう ちう日
《1763-1860》,《暦日2》,二／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1763-1870》,《暦日0》,三／,つちのとのうし,やふる,,　,十し
《1763-1880》,《暦日2》,四／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《1763-1890》,《暦日0》,五／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1763-1900》,《暦日2》,六／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1763-1910》,《暦日0》,七／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1763-1920》,《暦日2》,八／,きのえむま,とつ,金,　,●
《1763-1930》,《暦日0》,九／,きのとのひつし,たつ,,とようとりの二刻ニ入,大みやう 五む日
《1763-1940》,《暦日2》,十／,ひのえさる,のそく,火,　,神よし
《1763-1950》,《暦日0》,十一／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1763-1960》,《暦日1》,十二／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1763-1970》,《節中》,大暑六月中とりの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1763-1980》,《暦日1》,十三／,つちのとのい,さたん,木,　,月とく ちう日 ふく日  ふねのりよし
《1763-1990》,《暦日2》,十四／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1763-2000》,《暦日0》,十五／,かのとのうし,やふる,,　,十し
《1763-2010》,《暦日2》,十六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1763-2020》,《暦日0》,十七／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1763-2030》,《暦日2》,十八／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1763-2040》,《暦日0》,十九／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1763-2050》,《暦日2》,廿／,ひのえむま,とつ,水,　,●
《1763-2060》,《暦日0》,廿一／,ひのとのひつし,たつ,,　,くゑ日
《1763-2070》,《暦日2》,廿二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1763-2080》,《暦日0》,廿三／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1763-2090》,《暦日2》,廿四／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1763-2100》,《暦日0》,廿五／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1763-2110》,《暦日2》,廿六／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《1763-2120》,《暦日0》,廿七／,みつのとのうし,とる,,ま日,●
《1763-2130》,《節中》,立秋七月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1763-2140》,《暦日2》,廿八／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1763-2150》,《暦日0》,廿九／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1763-2160》,《月序》,七月,大,建,庚申,奎宿　翼　火よう
《1763-2170》,《暦日2》,一／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1763-2180》,《暦日0》,二／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1763-2190》,《暦日2》,三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1763-2200》,《暦日0》,四／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1763-2210》,《暦日2》,五／,かのえさる,たつ,木,末伏,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1763-2220》,《暦日0》,六／,かのとのとり,のそく,,　,十し
《1763-2230》,《暦日2》,七／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1763-2240》,《暦日0》,八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1763-2250》,《暦日2》,九／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1763-2260》,《暦日0》,十／,きのとのうし,とる,,　,●
《1763-2270》,《暦日2》,十一／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1763-2280》,《暦日0》,十二／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《1763-2290》,《暦日2》,十三／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《1763-2300》,《暦日0》,十四／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1763-2310》,《節中》,処暑七月中今暁とらの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1763-2320》,《暦日2》,十五／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1763-2330》,《暦日0》,十六／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《1763-2340》,《暦日2》,十七／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1763-2350》,《暦日0》,十八／,みつのとのとり,のそく,,　,十し
《1763-2360》,《暦日2》,十九／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1763-2370》,《暦日0》,廿／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1763-2380》,《暦日2》,廿一／,ひのえね,さたん,水,　, 田かりよし
《1763-2390》,《暦日0》,廿二／,ひのとのうし,とる,,　,●
《1763-2400》,《暦日2》,廿三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1763-2410》,《暦日0》,廿四／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1763-2420》,《暦日2》,廿五／,かのえたつ,なる,金,二百十日,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《1763-2430》,《暦日0》,廿六／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1763-2440》,《暦日2》,廿七／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1763-2450》,《暦日0》,廿八／,みつのとのひつし,とつ,,　,天おん 母倉
《1763-2460》,《暦日1》,廿九／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1763-2470》,《節中》,白露八月せつみの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1763-2480》,《暦日1》,卅／,きのとのとり,たつ,水,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1763-2490》,《月序》,八月,小,建,辛酉,婁宿　角　木よう
《1763-2500》,《暦日2》,一／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1763-2510》,《暦日0》,二／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1763-2520》,《暦日2》,三／,つちのえね,たいら,火,　,大くわ 地火
《1763-2530》,《暦日0》,四／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1763-2540》,《暦日2》,五／,かのえとら,とる,木,二百廿日,月とく きこ  つめとりよし
《1763-2550》,《暦日0》,六／,かのとのう,やふる,,　,ふく日  田かりよし
《1763-2560》,《暦日2》,七／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《1763-2570》,《暦日0》,八／,みつのとのみ,なる,,天一天上,十し
《1763-2580》,《暦日2》,九／,きのえむま,おさん,金,　,めつもん
《1763-2590》,《暦日0》,十／,きのとのひつし,ひらく,,　,●
《1763-2600》,《暦日2》,十一／,ひのえさる,とつ,火,　,神よし
《1763-2610》,《暦日0》,十二／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1763-2620》,《暦日2》,十三／,つちのえいぬ,のそく,木,社日/ひかんニなる,母倉 ちいみ  ふねのり 田かりよし
《1763-2630》,《暦日0》,十四／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1763-2640》,《節中》,秋分八月中さるの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1763-2650》,《暦日2》,十五／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《1763-2660》,《暦日0》,十六／,かのとのうし,さたん,,　,母倉 五む日 ふく日 わうまう  ものたち  つめとりよし
《1763-2670》,《暦日2》,十七／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1763-2680》,《暦日0》,十八／,みつのとのう,やふる,,　, くらたて 田かりよし
《1763-2690》,《暦日2》,十九／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《1763-2700》,《暦日0》,廿／,きのとのみ,なる,,　,十し
《1763-2710》,《暦日2》,廿一／,ひのえむま,おさん,水,　,大みやう めつもん
《1763-2720》,《暦日0》,廿二／,ひのとのひつし,ひらく,,　,●
《1763-2730》,《暦日2》,廿三／,つちのえさる,とつ,土,　,天しや よろつよし
《1763-2740》,《暦日0》,廿四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1763-2750》,《暦日2》,廿五／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《1763-2760》,《暦日0》,廿六／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《1763-2770》,《暦日2》,廿七／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1763-2780》,《暦日0》,廿八／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
