«1789-0000»,【 カンマ区切りテキスト形式です。】
«1789-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1789-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1789-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1789-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1789-0050»,【 外部リンク　】
«1789-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/211 ～ 216】
«1789-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1789h　(翻刻編集終了データを表成型して表示します)】
«1789-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1789ht (翻刻編集中データを表成型して表示します)】
«1789-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1789-0100»,«版元»,出版地○○,出版元□□□,　
«1789-0620»,«暦日0»,八〳,きのとのひつし,とる,,　,大みやう 五む日
«1789-0630»,«暦日2»,九〳,ひのえさる,やふる,火,　,神よし 月とく
«1789-0640»,«暦日0»,十〳,ひのとのとり,あやふ,,　,十し
«1789-0650»,«暦日1»,十一〳,つちのえいぬ,あやふ,木,　, かといてよし
«1789-0660»,«節中»,啓蟄二月せつうの二刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1789-0670»,«暦日1»,十二〳,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1789-0680»,«暦日2»,十三〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1789-0690»,«暦日0»,十四〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1789-0700»,«暦日2»,十五〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1789-0710»,«暦日0»,十六〳,みつのとのう,たつ,,　,天火 らうしやく
«1789-0720»,«暦日2»,十七〳,きのえたつ,のそく,火,　,●
«1789-0730»,«暦日0»,十八〳,きのとのみ,みつ,,　,十し
«1789-0740»,«暦日2»,十九〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1789-0750»,«暦日0»,廿〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1789-0760»,«暦日2»,廿一〳,つちのえさる,とる,土,社日|ひかんニなる,神よし  たねまきよし
«1789-0770»,«暦日0»,廿二〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1789-0780»,«暦日2»,廿三〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1789-0790»,«暦日0»,廿四〳,かのとのい,なる,,　,大みやう 天おん 母倉 ちう日 ふく日 わうまう
«1789-0800»,«暦日2»,廿五〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1789-0810»,«暦日0»,廿六〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1789-0820»,«節中»,春分二月中みの七刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1789-0830»,«暦日2»,廿七〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1789-0840»,«暦日0»,廿八〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1789-0850»,«暦日2»,廿九〳,ひのえたつ,のそく,土,ま日,●
«1789-0860»,«暦日0»,卅〳,ひのとのみ,みつ,,　,十し
«1789-0870»,«月序»,三月,小,建,戊辰,奎宿　牛　金よう
«1789-0880»,«暦日2»,一〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1789-0890»,«暦日0»,二〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1789-0900»,«暦日2»,三〳,かのえさる,とる,木,　,神よし 大みやう
«1789-0910»,«暦日0»,四〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1789-0920»,«暦日2»,五〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1789-0930»,«暦日0»,六〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1789-0940»,«暦日2»,七〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1789-0950»,«暦日0»,八〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1789-0960»,«暦日2»,九〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1789-0970»,«暦日0»,十〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1789-0980»,«暦日1»,十一〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1789-0990»,«節中»,清明三月せつさるの四刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1789-1000»,«暦日1»,十二〳,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
«1789-1010»,«暦日2»,十三〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1789-1020»,«暦日0»,十四〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1789-1030»,«暦日2»,十五〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1789-1040»,«暦日0»,十六〳,みつのとのとり,とる,,　,神よし 大みやう
«1789-1050»,«暦日2»,十七〳,きのえいぬ,やふる,火,　, くさかりよし
«1789-1060»,«暦日0»,十八〳,きのとのい,あやふ,,　,●
«1789-1070»,«暦日2»,十九〳,ひのえね,なる,水,　,きこ
«1789-1080»,«暦日0»,廿〳,ひのとのうし,おさん,,　,十し
«1789-1090»,«暦日2»,廿一〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1789-1100»,«暦日0»,廿二〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1789-1110»,«暦日2»,廿三〳,かのえたつ,たつ,金,とよういぬの五刻ニ入,くゑ日
«1789-1120»,«暦日0»,廿四〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1789-1130»,«暦日2»,廿五〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1789-1140»,«暦日0»,廿六〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1789-1150»,«節中»,穀雨三月中いの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1789-1160»,«暦日2»,廿七〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1789-1170»,«暦日0»,廿八〳,きのとのとり,とる,,　,神よし  くさかりよし
«1789-1180»,«暦日1»,廿九〳,ひのえいぬ,やふる,土,　,さい下しき 五む日
«1789-1190»,«月序»,四月,大,建,己巳,婁宿　女　土よう
«1789-1200»,«暦日1»,一〳,ひのとのい,あやふ,土,　,●
«1789-1210»,«暦日2»,二〳,つちのえね,なる,火,　,母倉 きこ ふく日 わうまう
«1789-1220»,«暦日0»,三〳,つちのとのうし,おさん,,　,十し
«1789-1230»,«暦日2»,四〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1789-1240»,«暦日0»,五〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1789-1250»,«暦日2»,六〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1789-1260»,«暦日0»,七〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1789-1270»,«暦日2»,八〳,きのえむま,みつ,金,八十八や,神よし 母倉 天火 らうしやく  ふねのりよし
«1789-1280»,«暦日0»,九〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1789-1290»,«暦日2»,十〳,ひのえさる,さたん,火,　,くゑ日
«1789-1300»,«暦日0»,十一〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1789-1310»,«暦日2»,十二〳,つちのえいぬ,やふる,木,　,ふく日
«1789-1320»,«暦日0»,十三〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1789-1330»,«節中»,立夏四月せつ今暁うしの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1789-1340»,«暦日2»,十四〳,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
«1789-1350»,«暦日0»,十五〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1789-1360»,«食記»,月帯そく,　
«1789-1370»,«暦日2»,十六〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1789-1380»,«暦日0»,十七〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1789-1390»,«暦日2»,十八〳,きのえたつ,とつ,火,　,大みやう
«1789-1400»,«暦日0»,十九〳,きのとのみ,たつ,,　,●
«1789-1410»,«暦日2»,廿〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日 わうまう
«1789-1420»,«暦日0»,廿一〳,ひのとのひつし,みつ,,　,くゑ日
«1789-1430»,«暦日2»,廿二〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1789-1440»,«暦日0»,廿三〳,つちのとのとり,さたん,,　,十し
«1789-1450»,«暦日2»,廿四〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1789-1460»,«暦日0»,廿五〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1789-1470»,«暦日2»,廿六〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1789-1480»,«暦日0»,廿七〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1789-1490»,«暦日1»,廿八〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1789-1500»,«節中»,小満四月中たつの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1789-1510»,«暦日1»,廿九〳,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
«1789-1520»,«暦日1»,卅〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1789-1530»,«月序»,五月,小,建,庚午,胃宿　危　月よう
«1789-1540»,«暦日1»,一〳,ひのとのみ,たつ,土,　,●
«1789-1550»,«暦日2»,二〳,つちのえむま,のそく,火,ま日,くゑ日
«1789-1560»,«暦日0»,三〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1789-1570»,«暦日2»,四〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1789-1580»,«暦日0»,五〳,かのとのとり,さたん,,　,十し
«1789-1590»,«暦日2»,六〳,みつのえいぬ,とる,水,ま日,ふく日
«1789-1600»,«暦日0»,七〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1789-1610»,«暦日2»,八〳,きのえね,あやふ,金,　,天おん
«1789-1620»,«暦日0»,九〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1789-1630»,«暦日2»,十〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1789-1640»,«暦日0»,十一〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1789-1650»,«暦日2»,十二〳,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
«1789-1660»,«暦日0»,十三〳,つちのとのみ,とつ,,　,十し
«1789-1670»,«節中»,芒種五月せつむまの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1789-1680»,«暦日2»,十四〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1789-1690»,«暦日0»,十五〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
