«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-0950»,«節中»,清明三月せついぬの八刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1794-0960»,«暦日1»,八〳,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
«1794-0970»,«暦日2»,九〳,ひのえさる,さたん,火,　,くゑ日
«1794-0980»,«暦日0»,十〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1794-0990»,«暦日2»,十一〳,つちのえいぬ,やふる,木,　,ふく日
«1794-1000»,«暦日0»,十二〳,つちのとのい,あやふ,,　,●
«1794-1010»,«暦日2»,十三〳,かのえね,なる,土,　,神よし きこ
«1794-1020»,«暦日0»,十四〳,かのとのうし,おさん,,　,十し
«1794-1030»,«暦日2»,十五〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1794-1040»,«暦日0»,十六〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1794-1050»,«暦日2»,十七〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1794-1060»,«暦日0»,十八〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1794-1070»,«暦日2»,十九〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1794-1080»,«暦日0»,廿〳,ひのとのひつし,たいら,,とよう今暁うしの一刻ニ入,神よし 月とく めつもん 地火
«1794-1090»,«暦日2»,廿一〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1794-1100»,«暦日0»,廿二〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1794-1110»,«暦日1»,廿三〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1794-1120»,«節中»,穀雨三月中今暁うしの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1794-1130»,«暦日1»,廿四〳,かのとのい,あやふ,金,　,●
«1794-1140»,«暦日2»,廿五〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1794-1150»,«暦日0»,廿六〳,みつのとのうし,おさん,,ま日,十し
«1794-1160»,«暦日2»,廿七〳,きのえとら,ひらく,水,　,ちいみ わうまう  やたて  つめとりよし
«1794-1170»,«暦日0»,廿八〳,きのとのう,とつ,,　,神よし  ものたちよし
«1794-1180»,«暦日2»,廿九〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1794-1190»,«暦日0»,卅〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1794-1200»,«月序»,四月,小,建,己巳,觜宿　參　水よう
«1794-1210»,«暦日2»,一〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1794-1220»,«暦日0»,二〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1794-1230»,«暦日2»,三〳,かのえさる,さたん,木,八十八や,きしく 大みやう くゑ日
«1794-1240»,«暦日0»,四〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1794-1250»,«暦日2»,五〳,みつのえいぬ,やふる,水,ま日,月とく
«1794-1260»,«暦日0»,六〳,みつのとのい,あやふ,,八せんのおはり,●
«1794-1270»,«暦日2»,七〳,きのえね,なる,金,　,くゑ日 きこ
«1794-1280»,«暦日0»,八〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1794-1290»,«節中»,立夏四月せつたつの二刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1794-1300»,«暦日2»,九〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
