«1747-0000»,【 カンマ区切りテキスト形式です。】
«1747-1800»,«暦日0»,廿八〳,ひのとのみ,とつ,,　,十し
«1747-1810»,«暦日2»,廿九〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1747-1820»,«暦日0»,卅〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1747-1830»,«節中»,小暑六月せつとりの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1747-1840»,«月序»,六月,小,建,丁未,昴宿　氐　土よう
«1747-1850»,«暦日2»,一〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1747-1860»,«暦日0»,二〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1747-1870»,«暦日2»,三〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1747-1880»,«暦日0»,四〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1747-1890»,«暦日2»,五〳,きのえね,とる,金,　,きこ 下しきたつの時
«1747-1900»,«暦日0»,六〳,きのとのうし,やふる,,　,十し
«1747-1910»,«暦日2»,七〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1747-1920»,«暦日0»,八〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1747-1930»,«暦日2»,九〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1747-1940»,«暦日0»,十〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1747-1950»,«暦日2»,十一〳,かのえむま,とつ,土,初伏,●
«1747-1960»,«暦日0»,十二〳,かのとのひつし,たつ,,とよういの五刻ニ入,大みやう  かといて ふねのりよし
«1747-1970»,«暦日2»,十三〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1747-1980»,«暦日0»,十四〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1747-1990»,«暦日1»,十五〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1747-2000»,«節中»,大暑六月中夜ねの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1747-2010»,«暦日1»,十六〳,きのとのい,さたん,火,　,ちう日
«1747-2020»,«暦日2»,十七〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1747-2030»,«暦日0»,十八〳,ひのとのうし,やふる,,　,十し
«1747-2040»,«暦日2»,十九〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1747-2050»,«暦日0»,廿〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1747-2060»,«暦日2»,廿一〳,かのえたつ,おさん,金,中伏,きしく めつもん  けんふくよし
«1747-2070»,«暦日0»,廿二〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1747-2080»,«暦日2»,廿三〳,みつのえむま,とつ,木,　,●
«1747-2090»,«暦日0»,廿四〳,みつのとのひつし,たつ,,　, たねまきよし
«1747-2100»,«暦日2»,廿五〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1747-2110»,«暦日0»,廿六〳,きのとのとり,みつ,,　,神よし ちいみ
«1747-2120»,«暦日2»,廿七〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1747-2130»,«暦日0»,廿八〳,ひのとのい,さたん,,　,大みやう ちう日
«1747-2140»,«暦日1»,廿九〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1747-2150»,«月序»,七月,大,建,戊申,畢宿　房　日よう
«1747-2160»,«暦日1»,一〳,つちのとのうし,やふる,火,　,十し
«1747-2170»,«節中»,立秋七月せつ翌とらの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1747-2180»,«食記»,日帯そく
«1747-2190»,«暦日2»,二〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1747-2200»,«暦日0»,三〳,かのとのう,あやふ,,　,神よし
