«1844-0000»,【 カンマ区切りテキスト形式です。】
«1844-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1844-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1844-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1844-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1844-0050»,【 外部リンク　】
«1844-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/168 ～ 172】
«1844-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1844h　(翻刻編集終了データを表成型して表示します)】
«1844-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1844ht (翻刻編集中データを表成型して表示します)】
«1844-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1844-0100»,«版元»,出版地○○,出版元□□□,　
«1844-1040»,«暦日2»,十五〳,みつのえむま,みつ,木,八十八や,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1844-1050»,«暦日0»,十六〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1844-1060»,«暦日2»,十七〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1844-1070»,«暦日0»,十八〳,きのとのとり,さたん,,　,十し
«1844-1080»,«節中»,立夏四月せつ暮六時四分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1844-1090»,«暦日2»,十九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1844-1100»,«暦日0»,廿〳,ひのとのい,やふる,,　,大みやう ちう日
«1844-1110»,«暦日2»,廿一〳,つちのえね,あやふ,火,　, けんふくよし
«1844-1120»,«暦日0»,廿二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1844-1130»,«暦日2»,廿三〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1844-1140»,«暦日0»,廿四〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1844-1150»,«暦日2»,廿五〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日 わうまう
«1844-1160»,«暦日0»,廿六〳,みつのとのみ,たつ,,天一天上,●
«1844-1170»,«暦日2»,廿七〳,きのえむま,のそく,金,　,天しや よろつよし
«1844-1180»,«暦日0»,廿八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1844-1190»,«暦日1»,廿九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1844-1200»,«月序»,四月,大,建,己巳,房宿　婁　金よう
«1844-1210»,«暦日1»,一〳,ひのとのとり,さたん,火,　,十し
«1844-1220»,«暦日2»,二〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1844-1230»,«暦日0»,三〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1844-1240»,«暦日2»,四〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1844-1250»,«暦日0»,五〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1844-1260»,«節中»,小満四月中朝五時九分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1844-1270»,«暦日2»,六〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1844-1280»,«暦日0»,七〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1844-1290»,«暦日2»,八〳,きのえたつ,とつ,火,　,きしく 大みやう
«1844-1300»,«暦日0»,九〳,きのとのみ,たつ,,　,●
«1844-1310»,«暦日2»,十〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1844-1320»,«暦日0»,十一〳,ひのとのひつし,みつ,,　,くゑ日
«1844-1330»,«暦日2»,十二〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1844-1340»,«暦日0»,十三〳,つちのとのとり,さたん,,　,十し
«1844-1350»,«暦日2»,十四〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1844-1360»,«暦日0»,十五〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1844-1370»,«暦日2»,十六〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1844-1380»,«暦日0»,十七〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1844-1390»,«暦日2»,十八〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1844-1400»,«暦日0»,十九〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1844-1410»,«暦日2»,廿〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1844-1420»,«暦日0»,廿一〳,ひのとのみ,とつ,,　,十し
«1844-1430»,«節中»,芒種五月せつ今暁九時七分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1844-1440»,«暦日2»,廿二〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1844-1450»,«暦日0»,廿三〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1844-1460»,«暦日2»,廿四〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1844-1470»,«暦日0»,廿五〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1844-1480»,«暦日2»,廿六〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1844-1490»,«暦日0»,廿七〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1844-1500»,«暦日2»,廿八〳,きのえね,やふる,金,　,●
«1844-1510»,«暦日0»,廿九〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1844-1520»,«暦日1»,卅〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1844-1530»,«月序»,五月,小,建,庚午,心宿　昴　日よう
«1844-1540»,«暦日1»,一〳,ひのとのう,おさん,火,　,天おん 母倉 ちいみ 大くわ ふく日
«1844-1550»,«暦日2»,二〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1844-1560»,«暦日0»,三〳,つちのとのみ,とつ,,　,十し
«1844-1570»,«暦日2»,四〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1844-1580»,«暦日0»,五〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
