«1703-0000»,【 カンマ区切りテキスト形式です。】
«1703-2490»,«暦日0»,十四〳,ひのとのい,みつ,,ひかんニなる,大みやう ちう日  入学よし
«1703-2500»,«暦日2»,十五〳,つちのえね,たいら,火,社日,大くわ 地火
«1703-2510»,«暦日0»,十六〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1703-2520»,«暦日2»,十七〳,かのえとら,とる,木,　,きこ  つめとりよし
«1703-2530»,«暦日0»,十八〳,かのとのう,やふる,,　,ふく日  田かりよし
«1703-2540»,«暦日2»,十九〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1703-2550»,«暦日0»,廿〳,みつのとのみ,なる,,天一天上,十し
«1703-2560»,«暦日2»,廿一〳,きのえむま,おさん,金,　,めつもん
«1703-2570»,«暦日0»,廿二〳,きのとのひつし,ひらく,,　,●
«1703-2580»,«暦日2»,廿三〳,ひのえさる,とつ,火,　,神よし
«1703-2590»,«暦日0»,廿四〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1703-2600»,«暦日2»,廿五〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1703-2610»,«暦日0»,廿六〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1703-2620»,«暦日2»,廿七〳,かのえね,みつ,土,かん露九月せつみの五刻ニ入,神よし きこ 天火 らうしやく
«1703-2630»,«暦日0»,廿八〳,かのとのうし,たいら,,　,十し
«1703-2640»,«暦日2»,廿九〳,みつのえとら,さたん,金,　,●
«1703-2650»,«暦日0»,卅〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
«1703-2660»,«月序»,九月,小,建,壬戌,星宿　奎　木よう
«1703-2670»,«暦日2»,一〳,きのえたつ,やふる,火,　,大みやう
«1703-2680»,«暦日0»,二〳,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1703-2690»,«暦日2»,三〳,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
«1703-2700»,«暦日0»,四〳,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
«1703-2710»,«暦日2»,五〳,つちのえさる,ひらく,土,　,天しや よろつよし
