《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1010》,《暦日0》,十八／,みつのとのとり,とる,,　,神よし 大みやう
《1020》,《暦日2》,十九／,きのえいぬ,やふる,火,　, くさかりよし
《1030》,《暦日0》,廿／,きのとのい,あやふ,,　,●
《1040》,《暦日2》,廿一／,ひのえね,なる,水,　,きこ
《1050》,《暦日0》,廿二／,ひのとのうし,おさん,,八十八や,十し
《1060》,《暦日2》,廿三／,つちのえとら,ひらく,土,　,天しや よろつよし
《1070》,《暦日0》,廿四／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1080》,《暦日2》,廿五／,かのえたつ,たつ,金,　,くゑ日
《1090》,《暦日0》,廿六／,かのとのみ,たつ,,立夏四月せつさるの初刻ニ入,●
《1100》,《暦日2》,廿七／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1110》,《暦日0》,廿八／,みつのとのひつし,みつ,,　,くゑ日
《1120》,《暦日1》,廿九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1130》,《月序》,四月,小,建,乙巳,觜宿　觜　火よう
《1140》,《暦日1》,一／,きのとのとり,さたん,水,　,十し
《1150》,《暦日2》,二／,ひのえいぬ,とる,土,　,さい下しき 五む日 ふく日  くさかりよし
《1160》,《暦日0》,三／,ひのとのい,やふる,,　,大みやう ちう日
《1170》,《暦日2》,四／,つちのえね,あやふ,火,　,きしく わうまう  けんふくよし
《1180》,《暦日0》,五／,つちのとのうし,なる,,　,きこ  つめとりよし
《1190》,《暦日2》,六／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1200》,《暦日0》,七／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1210》,《暦日2》,八／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1220》,《暦日0》,九／,みつのとのみ,たつ,,天一天上,●
《1230》,《暦日2》,十／,きのえむま,のそく,金,　,天しや よろつよし
《1240》,《暦日0》,十一／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1250》,《暦日2》,十二／,ひのえさる,たいら,火,四月中いぬの五刻,神よし ちいみ 大くわ ふく日 地火  入学よし
《1260》,《暦日0》,十三／,ひのとのとり,さたん,,　,十し
《1270》,《暦日2》,十四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1280》,《暦日0》,十五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1290》,《暦日2》,十六／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1300》,《暦日0》,十七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1310》,《暦日2》,十八／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1320》,《暦日0》,十九／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1330》,《暦日2》,廿／,きのえたつ,とつ,火,　,大みやう
《1340》,《暦日0》,廿一／,きのとのみ,たつ,,　,●
《1350》,《暦日2》,廿二／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1360》,《暦日0》,廿三／,ひのとのひつし,みつ,,　,くゑ日
《1370》,《暦日2》,廿四／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1380》,《暦日0》,廿五／,つちのとのとり,さたん,,　,十し
《1390》,《暦日2》,廿六／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1400》,《暦日0》,廿七／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1410》,《暦日2》,廿八／,みつのえね,やふる,木,五月せつうしの二刻ニ入/八せんのはしめ,●
《1420》,《暦日0》,廿九／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1430》,《月序》,五月,大,建,丙午,參宿　參　水よう
《1440》,《暦日2》,一／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1450》,《暦日0》,二／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1460》,《暦日2》,三／,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
《1470》,《暦日0》,四／,ひのとのみ,とつ,,　,十し
《1480》,《暦日2》,五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1490》,《暦日0》,六／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1500》,《暦日2》,七／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1510》,《暦日0》,八／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1520》,《暦日2》,九／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1530》,《暦日0》,十／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1540》,《暦日2》,十一／,きのえね,やふる,金,　,●
《1550》,《暦日0》,十二／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1560》,《暦日2》,十三／,ひのえとら,なる,火,　,きこ  つめとりよし
《1570》,《暦日0》,十四／,ひのとのう,おさん,,夏至五月中うの七刻,ちいみ 大くわ ふく日 わうまう
《1580》,《暦日2》,十五／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1590》,《暦日0》,十六／,つちのとのみ,とつ,,　,十し
《1600》,《暦日2》,十七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1610》,《暦日0》,十八／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1620》,《暦日2》,十九／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1630》,《暦日0》,廿／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1640》,《暦日2》,廿一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1650》,《暦日0》,廿二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1660》,《暦日2》,廿三／,ひのえね,やふる,水,　,●
《1670》,《暦日0》,廿四／,ひのとのうし,あやふ,,はんけしやう,神よし 大みやう ふく日  ものたち  つめとりよし
《1680》,《暦日2》,廿五／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1690》,《暦日0》,廿六／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1700》,《暦日2》,廿七／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1710》,《暦日0》,廿八／,かのとのみ,とつ,,　,十し
《1720》,《暦日2》,廿九／,みつのえむま,とつ,木,六月せつむまの四刻ニ入,●
《1730》,《暦日0》,卅／,みつのとのひつし,たつ,,　, たねまきよし
《1740》,《月序》,六月,小,建,丁未,井宿　鬼　金よう
《1750》,《暦日2》,一／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
