《1731-0000》,# カンマ区切りテキスト形式です。
《1731-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1731-0020》,# ・表の区画内での改行は“/”で表記します。
《1731-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1731-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1731-0050》,# 外部リンク
《1731-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/133 ～ 138
《1731-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1731g　(GitHub上データを表成型)
《1731-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1731h　(翻刻編集データを表成型 - 未実装)
《1731-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1731-0100》,《版元》,出版地○○,出版元□□□,　
《1731-1380》,《暦日1》,十九／,かのとのい,やふる,金,　,神よし 大みやう ちう日  さひらきよし
《1731-1390》,《暦日2》,廿／,みつのえね,あやふ,木,八せんのはしめ,神よし きしく ふく日  くらたてよし
《1731-1400》,《暦日0》,廿一／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1731-1410》,《暦日2》,廿二／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1731-1420》,《暦日0》,廿三／,きのとのう,ひらく,,　,神よし  さひらきよし
《1731-1430》,《暦日2》,廿四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1731-1440》,《暦日0》,廿五／,ひのとのみ,たつ,,　,●
《1731-1450》,《暦日2》,廿六／,つちのえむま,のそく,火,ま日,くゑ日
《1731-1460》,《暦日0》,廿七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1731-1470》,《暦日2》,廿八／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1731-1480》,《暦日0》,廿九／,かのとのとり,さたん,,　,十し
《1731-1490》,《暦日1》,卅／,みつのえいぬ,とる,水,ま日,ふく日
《1731-1500》,《月序》,五月,小,建,甲午,參宿　尾　火よう
《1731-1510》,《暦日1》,一／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1731-1520》,《暦日2》,二／,きのえね,あやふ,金,　
《1731-1530》,《暦日0》,三／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1731-1540》,《節中》,芒種五月せつみの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1731-1550》,《暦日2》,四／,ひのえとら,なる,火,　,きこ  つめとりよし
《1731-1560》,《暦日0》,五／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1731-1570》,《暦日2》,六／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1731-1580》,《暦日0》,七／,つちのとのみ,とつ,,　,十し
《1731-1590》,《暦日2》,八／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1731-1600》,《暦日0》,九／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1731-1610》,《暦日2》,十／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1731-1620》,《暦日0》,十一／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1731-1630》,《暦日2》,十二／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1731-1640》,《暦日0》,十三／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1731-1650》,《暦日2》,十四／,ひのえね,やふる,水,　,●
《1731-1660》,《暦日0》,十五／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1731-1670》,《暦日2》,十六／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1731-1680》,《暦日0》,十七／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1731-1690》,《暦日1》,十八／,かのえたつ,ひらく,金,　,きしく わうまう  けんふく かといてよし
《1731-1700》,《節中》,夏至五月中さるの四刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1731-1710》,《暦日1》,十九／,かのとのみ,とつ,金,　,十し
《1731-1720》,《暦日2》,廿／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1731-1730》,《暦日0》,廿一／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1731-1740》,《暦日2》,廿二／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1731-1750》,《暦日0》,廿三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1731-1760》,《暦日2》,廿四／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1731-1770》,《暦日0》,廿五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1731-1780》,《暦日2》,廿六／,つちのえね,やふる,火,　,●
《1731-1790》,《暦日0》,廿七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1731-1800》,《暦日2》,廿八／,かのえとら,なる,木,はんけしやう,きこ  井ほり  つめとりよし
《1731-1810》,《暦日0》,廿九／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1731-1820》,《月序》,六月,大,建,乙未,井宿　箕　水よう
《1731-1830》,《暦日2》,一／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1731-1840》,《暦日0》,二／,みつのとのみ,とつ,,天一天上,十し
《1731-1850》,《暦日2》,三／,きのえむま,たつ,金,　,天しや よろつよし
《1731-1860》,《暦日0》,四／,きのとのひつし,たつ,,　,大みやう 五む日
《1731-1870》,《節中》,小暑六月せついの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1731-1880》,《暦日2》,五／,ひのえさる,のそく,火,　,神よし
《1731-1890》,《暦日0》,六／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1731-1900》,《暦日2》,七／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1731-1910》,《暦日0》,八／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1731-1920》,《暦日2》,九／,かのえね,とる,土,初伏,さい下しき きこ 下しきたつの時
《1731-1930》,《暦日0》,十／,かのとのうし,やふる,,　,十し
《1731-1940》,《暦日2》,十一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1731-1950》,《暦日0》,十二／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1731-1960》,《暦日2》,十三／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1731-1970》,《暦日0》,十四／,きのとのみ,ひらく,,　,大みやう ちう日
《1731-1980》,《暦日2》,十五／,ひのえむま,とつ,水,　,●
《1731-1990》,《暦日0》,十六／,ひのとのひつし,たつ,,　,くゑ日
