《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0900》,《暦日2》,四／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0910》,《暦日0》,五／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0920》,《暦日2》,六／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0930》,《暦日0》,七／,みつのとのう,たつ,,　,天火 らうしやく
《0940》,《暦日2》,八／,きのえたつ,のそく,火,　,●
《0950》,《暦日0》,九／,きのとのみ,みつ,,　,十し
《0960》,《暦日2》,十／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0970》,《暦日0》,十一／,ひのとのひつし,さたん,,　,神よし ちいみ
《0980》,《暦日1》,十二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0990》,《節中》,清明三月せつたつの一刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1000》,《暦日1》,十三／,つちのとのとり,とる,土,　,神よし 大みやう 天おん ふく日
《1010》,《暦日2》,十四／,かのえいぬ,やふる,金,　,大みやう 天おん
《1020》,《暦日0》,十五／,かのとのい,あやふ,,　,●
《1030》,《暦日2》,十六／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1040》,《暦日0》,十七／,みつのとのうし,おさん,,ま日,十し
《1050》,《暦日2》,十八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1060》,《暦日0》,十九／,きのとのう,とつ,,　,神よし  ものたちよし
《1070》,《暦日2》,廿／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1080》,《暦日0》,廿一／,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
《1090》,《暦日2》,廿二／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1100》,《暦日0》,廿三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1110》,《暦日2》,廿四／,かのえさる,さたん,木,とようむまの二刻ニ入,大みやう くゑ日
《1120》,《暦日0》,廿五／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1130》,《暦日2》,廿六／,みつのえいぬ,やふる,水,ま日,月とく
《1140》,《暦日0》,廿七／,みつのとのい,あやふ,,八せんのおはり,●
《1150》,《節中》,穀雨三月中むまの六刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1160》,《暦日2》,廿八／,きのえね,なる,金,　,くゑ日 きこ
《1170》,《暦日0》,廿九／,きのとのうし,おさん,,　,十し
《1180》,《暦日1》,卅／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1190》,《月序》,四月,小,建,丁巳,觜宿　尾　火よう
《1200》,《暦日1》,一／,ひのとのう,とつ,火,　,くゑ日  たねまきよし
《1210》,《暦日2》,二／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日 わうまう
《1220》,《暦日0》,三／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1230》,《暦日2》,四／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1240》,《暦日0》,五／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1250》,《暦日2》,六／,みつのえさる,さたん,金,　,大みやう くゑ日
《1260》,《暦日0》,七／,みつのとのとり,とる,,　,神よし 大みやう
《1270》,《暦日2》,八／,きのえいぬ,やふる,火,八十八や, くさかりよし
《1280》,《暦日0》,九／,きのとのい,あやふ,,　,●
《1290》,《暦日2》,十／,ひのえね,なる,水,　,きこ
《1300》,《暦日0》,十一／,ひのとのうし,おさん,,　,十し
《1310》,《暦日1》,十二／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1320》,《節中》,立夏四月せつとりの三刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1330》,《暦日1》,十三／,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
《1340》,《暦日2》,十四／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1350》,《暦日0》,十五／,かのとのみ,たつ,,　,●
《1360》,《暦日2》,十六／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1370》,《暦日0》,十七／,みつのとのひつし,みつ,,　,くゑ日
《1380》,《暦日2》,十八／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1390》,《暦日0》,十九／,きのとのとり,さたん,,　,十し
《1400》,《暦日2》,廿／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1410》,《暦日0》,廿一／,ひのとのい,やふる,,　,大みやう ちう日
《1420》,《暦日2》,廿二／,つちのえね,あやふ,火,　, けんふくよし
《1430》,《暦日0》,廿三／,つちのとのうし,なる,,　,きこ  つめとりよし
《1440》,《暦日2》,廿四／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1450》,《暦日0》,廿五／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1460》,《暦日2》,廿六／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1470》,《暦日0》,廿七／,みつのとのみ,たつ,,天一天上,●
《1480》,《節中》,小満四月中いの八刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1490》,《暦日2》,廿八／,きのえむま,のそく,金,　,天しや よろつよし
《1500》,《暦日0》,廿九／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1510》,《月序》,五月,大,建,戊午,參宿　箕　水よう
《1520》,《暦日2》,一／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1530》,《暦日0》,二／,ひのとのとり,さたん,,　,十し
《1540》,《暦日2》,三／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1550》,《暦日0》,四／,つちのとのい,やふる,,　,くゑ日 ちう日
《1560》,《暦日2》,五／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1570》,《暦日0》,六／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1580》,《暦日2》,七／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1590》,《暦日0》,八／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1600》,《暦日2》,九／,きのえたつ,とつ,火,　,大みやう
《1610》,《暦日0》,十／,きのとのみ,たつ,,　,●
《1620》,《暦日2》,十一／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1630》,《暦日0》,十二／,ひのとのひつし,みつ,,　,くゑ日
《1640》,《暦日2》,十三／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1650》,《暦日0》,十四／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1660》,《節中》,芒種五月せつ今暁とらの五刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1670》,《暦日2》,十五／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1680》,《暦日0》,十六／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1690》,《暦日2》,十七／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1700》,《暦日0》,十八／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1710》,《暦日2》,十九／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1720》,《暦日0》,廿／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1730》,《暦日2》,廿一／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1740》,《暦日0》,廿二／,ひのとのみ,とつ,,　,十し
《1750》,《暦日2》,廿三／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1760》,《暦日0》,廿四／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1770》,《暦日2》,廿五／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1780》,《暦日0》,廿六／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1790》,《暦日2》,廿七／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1800》,《暦日0》,廿八／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1810》,《暦日1》,廿九／,きのえね,やふる,金,　,●
《1820》,《節中》,夏至五月中みの二刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1830》,《暦日1》,卅／,きのとのうし,あやふ,金,　,神よし 天おん  つめとりよし
《1840》,《月序》,六月,小,建,己未,井宿　牛　金よう
《1850》,《暦日2》,一／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1860》,《暦日0》,二／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1870》,《暦日2》,三／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1880》,《暦日0》,四／,つちのとのみ,とつ,,　,十し
《1890》,《暦日2》,五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1900》,《暦日0》,六／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1910》,《暦日2》,七／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1920》,《暦日0》,八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1930》,《暦日2》,九／,きのえいぬ,さたん,火,はんけしやう, わたまし くらたてよし
《1940》,《暦日0》,十／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1950》,《暦日2》,十一／,ひのえね,やふる,水,　,●
《1960》,《暦日0》,十二／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1970》,《暦日2》,十三／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1980》,《暦日0》,十四／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1990》,《節中》,小暑六月せつひつしの七刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2000》,《暦日2》,十五／,かのえたつ,おさん,金,　,きしく 天おん めつもん  けんふくよし
《2010》,《暦日0》,十六／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2020》,《暦日2》,十七／,みつのえむま,とつ,木,　,●
《2030》,《暦日0》,十八／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2040》,《暦日2》,十九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2050》,《暦日0》,廿／,きのとのとり,みつ,,　,神よし ちいみ
《2060》,《暦日2》,廿一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2070》,《暦日0》,廿二／,ひのとのい,さたん,,　,大みやう ちう日
《2080》,《暦日2》,廿三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2090》,《暦日0》,廿四／,つちのとのうし,やふる,,　,十し
《2100》,《暦日2》,廿五／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《2110》,《暦日0》,廿六／,かのとのう,なる,,とようとりの八刻ニ入,神よし 母倉 天火 らうしやく
《2120》,《暦日2》,廿七／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2130》,《暦日0》,廿八／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2140》,《暦日1》,廿九／,きのえむま,とつ,金,　,●
《2150》,《節中》,大暑六月中いぬの四刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2160》,《月序》,閏六月,大,隨節用之,女　土よう
《2170》,《暦日1》,一／,きのとのひつし,たつ,金,　,大みやう 五む日
《2180》,《暦日2》,二／,ひのえさる,のそく,火,　,神よし
《2190》,《暦日0》,三／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2200》,《暦日2》,四／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2210》,《暦日0》,五／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2220》,《暦日2》,六／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2230》,《暦日0》,七／,かのとのうし,やふる,,　,十し
《2240》,《暦日2》,八／,みつのえとら,あやふ,金,　,大みやう わうまう  けんふく  つめとりよし
《2250》,《暦日0》,九／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2260》,《暦日2》,十／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2270》,《暦日0》,十一／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2280》,《暦日2》,十二／,ひのえむま,とつ,水,　,●
《2290》,《暦日0》,十三／,ひのとのひつし,たつ,,　,くゑ日
《2300》,《暦日2》,十四／,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
《2310》,《暦日0》,十五／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2320》,《暦日1》,十六／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《2330》,《節中》,立秋七月せつ今暁うしの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2340》,《暦日1》,十七／,かのとのい,たいら,金,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2350》,《暦日2》,十八／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2360》,《暦日0》,十九／,みつのとのうし,とる,,ま日,●
《2370》,《暦日2》,廿／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2380》,《暦日0》,廿一／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2390》,《暦日2》,廿二／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2400》,《暦日0》,廿三／,ひのとのみ,おさん,,　,さい下しき 月とく 大くわ ちう日  ものたちよし
《2410》,《暦日2》,廿四／,つちのえむま,ひらく,火,ま日,天火 らうしやく わうまう  入学よし
《2420》,《暦日0》,廿五／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2430》,《暦日2》,廿六／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2440》,《暦日0》,廿七／,かのとのとり,のそく,,　,十し
《2450》,《暦日2》,廿八／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2460》,《暦日0》,廿九／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2470》,《暦日1》,卅／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2480》,《月序》,七月,小,建,庚申,鬼宿　危　月よう
《2490》,《暦日1》,一／,きのとのうし,とる,金,　,●
《2500》,《節中》,処暑七月中うの六刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2510》,《暦日2》,二／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2520》,《暦日0》,三／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2530》,《暦日2》,四／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2540》,《暦日0》,五／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2550》,《暦日2》,六／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2560》,《暦日0》,七／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2570》,《暦日2》,八／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2580》,《暦日0》,九／,みつのとのとり,のそく,,　,十し
《2590》,《暦日2》,十／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2600》,《暦日0》,十一／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2610》,《暦日2》,十二／,ひのえね,さたん,水,二百十日,きしく  田かりよし
