«1735-0000»,【 カンマ区切りテキスト形式です。】
«1735-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1735-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1735-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1735-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1735-0050»,【 外部リンク　】
«1735-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/156 ～ 160】
«1735-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1735h　(翻刻編集終了データを表成型して表示します)】
«1735-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1735ht (翻刻編集中データを表成型して表示します)】
«1735-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1735-0100»,«版元»,出版地○○,出版元□□□,　
«1735-0920»,«暦日2»,六〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1735-0930»,«暦日0»,七〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1735-0940»,«暦日2»,八〳,つちのえとら,とつ,土,　,天しや よろつよし
«1735-0950»,«暦日0»,九〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1735-0960»,«暦日2»,十〳,かのえたつ,のそく,金,　,●
«1735-0970»,«暦日0»,十一〳,かのとのみ,みつ,,　,十し
«1735-0980»,«暦日2»,十二〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1735-0990»,«暦日0»,十三〳,みつのとのひつし,さたん,,　,ちいみ
«1735-1000»,«暦日2»,十四〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1735-1010»,«暦日0»,十五〳,きのとのとり,とる,,　
«1735-1020»,«節中»,清明三月せつひつしの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1735-1030»,«食記»,月そく五分,　
«1735-1040»,«暦日2»,十六〳,ひのえいぬ,やふる,土,　,五む日
«1735-1050»,«暦日0»,十七〳,ひのとのい,あやふ,,　,●
«1735-1060»,«暦日2»,十八〳,つちのえね,なる,火,　,きこ ふく日
«1735-1070»,«暦日0»,十九〳,つちのとのうし,おさん,,　,十し
«1735-1080»,«暦日2»,廿〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1735-1090»,«暦日0»,廿一〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1735-1100»,«暦日2»,廿二〳,みつのえたつ,たつ,水,　,さい下しき 大みやう 五む日
«1735-1110»,«暦日0»,廿三〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1735-1120»,«暦日2»,廿四〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1735-1130»,«暦日0»,廿五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1735-1140»,«暦日2»,廿六〳,ひのえさる,さたん,火,　,くゑ日
«1735-1150»,«暦日0»,廿七〳,ひのとのとり,とる,,とようとりの初刻ニ入,神よし  いちたちよし
«1735-1160»,«暦日2»,廿八〳,つちのえいぬ,やふる,木,　,ふく日
«1735-1170»,«暦日0»,廿九〳,つちのとのい,あやふ,,　,●
«1735-1180»,«暦日1»,卅〳,かのえね,なる,土,　,神よし きしく きこ
«1735-1190»,«節中»,穀雨三月中とりの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1735-1200»,«月序»,閏三月,小,隨節用之,柳　土よう
«1735-1210»,«暦日1»,一〳,かのとのうし,おさん,土,　,十し
«1735-1220»,«暦日2»,二〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1735-1230»,«暦日0»,三〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1735-1240»,«暦日2»,四〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1735-1250»,«暦日0»,五〳,きのとのみ,のそく,,　,大みやう ちう日 わうまう  ふねのりよし
«1735-1260»,«暦日2»,六〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1735-1270»,«暦日0»,七〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1735-1280»,«暦日2»,八〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1735-1290»,«暦日0»,九〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1735-1300»,«暦日2»,十〳,かのえいぬ,やふる,金,　,大みやう
«1735-1310»,«暦日0»,十一〳,かのとのい,あやふ,,八十八や,●
«1735-1320»,«暦日2»,十二〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1735-1330»,«暦日0»,十三〳,みつのとのうし,おさん,,ま日,十し
«1735-1340»,«暦日2»,十四〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1735-1350»,«暦日0»,十五〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1735-1360»,«節中»,立夏四月せつ夜ねの二刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1735-1370»,«暦日2»,十六〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1735-1380»,«暦日0»,十七〳,ひのとのみ,たつ,,　,●
«1735-1390»,«暦日2»,十八〳,つちのえむま,のそく,火,ま日,くゑ日
«1735-1400»,«暦日0»,十九〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1735-1410»,«暦日2»,廿〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1735-1420»,«暦日0»,廿一〳,かのとのとり,さたん,,　,十し
«1735-1430»,«暦日2»,廿二〳,みつのえいぬ,とる,水,ま日,ふく日 わうまう
«1735-1440»,«暦日0»,廿三〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1735-1450»,«暦日2»,廿四〳,きのえね,あやふ,金,　
«1735-1460»,«暦日0»,廿五〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1735-1470»,«暦日2»,廿六〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1735-1480»,«暦日0»,廿七〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1735-1490»,«暦日2»,廿八〳,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
«1735-1500»,«暦日0»,廿九〳,つちのとのみ,たつ,,　,●
«1735-1510»,«月序»,四月,大,建,辛巳,危宿　星　日よう
«1735-1520»,«暦日2»,一〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1735-1530»,«暦日0»,二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1735-1540»,«節中»,小満四月中とらの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1735-1550»,«暦日2»,三〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1735-1560»,«暦日0»,四〳,みつのとのとり,さたん,,　,十し
«1735-1570»,«暦日2»,五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1735-1580»,«暦日0»,六〳,きのとのい,やふる,,　,ちう日
«1735-1590»,«暦日2»,七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1735-1600»,«暦日0»,八〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1735-1610»,«暦日2»,九〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1735-1620»,«暦日0»,十〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1735-1630»,«暦日2»,十一〳,かのえたつ,とつ,金,　, けんふくよし
«1735-1640»,«暦日0»,十二〳,かのとのみ,たつ,,　,●
«1735-1650»,«暦日2»,十三〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1735-1660»,«暦日0»,十四〳,みつのとのひつし,みつ,,　,くゑ日
«1735-1670»,«暦日2»,十五〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1735-1680»,«暦日0»,十六〳,きのとのとり,さたん,,　,十し
