《1829-0000》,# カンマ区切りテキスト形式です。
《1829-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1829-0020》,# ・表の区画内での改行は“/”で表記します。
《1829-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1829-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1829-0050》,# 外部リンク
《1829-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108
《1829-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1829g　(GitHub上データを表成型)
《1829-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1829h　(翻刻編集データを表成型 - 未実装)
《1829-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1829-0100》,《版元》,出版地○○,出版元□□□,　
《1829-1340》,《暦日0》,十四／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1829-1350》,《暦日2》,十五／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1829-1360》,《暦日0》,十六／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1829-1370》,《暦日2》,十七／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1829-1380》,《暦日0》,十八／,かのとのみ,たつ,,　,●
《1829-1390》,《暦日2》,十九／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1829-1400》,《暦日0》,廿／,みつのとのひつし,みつ,,　,くゑ日
《1829-1410》,《暦日1》,廿一／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1829-1420》,《節中》,小満四月中今暁うしの一刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1829-1430》,《暦日1》,廿二／,きのとのとり,さたん,水,　,十し
《1829-1440》,《暦日2》,廿三／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1829-1450》,《暦日0》,廿四／,ひのとのい,やふる,,　,大みやう ちう日
《1829-1460》,《暦日2》,廿五／,つちのえね,あやふ,火,　, けんふくよし
《1829-1470》,《暦日0》,廿六／,つちのとのうし,なる,,　,きこ  つめとりよし
《1829-1480》,《暦日2》,廿七／,かのえとら,おさん,木,　,さい下しき 母倉 月とく めつもん  さひらき  つめとりよし
《1829-1490》,《暦日0》,廿八／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1829-1500》,《暦日2》,廿九／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1829-1510》,《暦日0》,卅／,みつのとのみ,たつ,,天一天上,●
《1829-1520》,《月序》,五月,小,建,庚午,參宿　室　火よう
《1829-1530》,《暦日2》,一／,きのえむま,のそく,金,　,天しや よろつよし
《1829-1540》,《暦日0》,二／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1829-1550》,《暦日2》,三／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1829-1560》,《暦日0》,四／,ひのとのとり,さたん,,　,十し
《1829-1570》,《暦日2》,五／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1829-1580》,《暦日0》,六／,つちのとのい,とる,,　,神よし ちう日
《1829-1590》,《節中》,芒種五月せつうの六刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1829-1600》,《暦日2》,七／,かのえね,やふる,土,　,●
《1829-1610》,《暦日0》,八／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1829-1620》,《暦日2》,九／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1829-1630》,《暦日0》,十／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
