《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/63 ～ 68
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1758g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1758h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝暦八年つちのえとら乃宝暦甲戌元暦,牛宿/値年,凡三百五十五日
《0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,甲寅,心宿値月箕宿水曜値朔日
《0400》,《暦日0》,十八／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0410》,《暦日2》,十九／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0420》,《暦日0》,廿／,ひのとのひつし,とる,,　,神よし  かといてよし
《0430》,《暦日2》,廿一／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0440》,《暦日0》,廿二／,つちのとのとり,あやふ,,　,十し
《0450》,《暦日2》,廿三／,かのえいぬ,なる,金,　,●
《0460》,《暦日0》,廿四／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0470》,《暦日2》,廿五／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0480》,《暦日0》,廿六／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0490》,《暦日2》,廿七／,きのえとら,たつ,水,　,くゑ日 ふく日
《0500》,《暦日0》,廿八／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0510》,《節中》,啓蟄二月せつひつしの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0520》,《暦日2》,廿九／,ひのえたつ,のそく,土,ま日,●
《0530》,《暦日0》,卅／,ひのとのみ,みつ,,　,十し
《0540》,《月序》,二月,小,建,乙卯,尾宿　牛　金よう
《0550》,《暦日2》,一／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0560》,《暦日0》,二／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0570》,《暦日2》,三／,かのえさる,とる,木,　,神よし 大みやう
《0580》,《暦日0》,四／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0590》,《暦日2》,五／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0600》,《暦日0》,六／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0610》,《暦日2》,七／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0620》,《暦日0》,八／,きのとのうし,ひらく,,ひかんニなる,天おん ふく日  ものたち  つめとりよし
《0630》,《暦日2》,九／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0640》,《暦日0》,十／,ひのとのう,たつ,,　,さい下しき 天おん 天火 らうしやく
《0650》,《暦日2》,十一／,つちのえたつ,のそく,木,社日,●
《0660》,《暦日0》,十二／,つちのとのみ,みつ,,　,十し
《0670》,《暦日1》,十三／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0680》,《節中》,春分二月中いぬの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0690》,《暦日1》,十四／,かのとのひつし,さたん,土,　,大みやう ちいみ ふく日  くらたて 井ほりよし
