《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1750》,《暦日2》,廿二／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1760》,《暦日0》,廿三／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1770》,《暦日2》,廿四／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1780》,《暦日0》,廿五／,きのとのとり,たいら,,　,神よし めつもん 地火
《1790》,《暦日2》,廿六／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1800》,《暦日0》,廿七／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1810》,《暦日2》,廿八／,つちのえね,やふる,火,はんけしやう,●
《1820》,《暦日0》,廿九／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1830》,《暦日1》,卅／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1840》,《月序》,六月,小,建,癸未,昴宿　女　土よう
《1850》,《暦日1》,一／,かのとのう,おさん,木,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1860》,《暦日2》,二／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1870》,《暦日0》,三／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1880》,《節中》,小暑六月せつ夕七時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1890》,《暦日2》,四／,きのえむま,とつ,金,　,●
《1900》,《暦日0》,五／,きのとのひつし,たつ,,　,大みやう 五む日
《1910》,《暦日2》,六／,ひのえさる,のそく,火,　,神よし
《1920》,《暦日0》,七／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1930》,《暦日2》,八／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1940》,《暦日0》,九／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1950》,《暦日2》,十／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1960》,《暦日0》,十一／,かのとのうし,やふる,,　,十し
《1970》,《暦日2》,十二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1980》,《暦日0》,十三／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1990》,《暦日2》,十四／,きのえたつ,おさん,火,　,きしく 大みやう 月とく めつもん  わたましよし
《2000》,《暦日0》,十五／,きのとのみ,ひらく,,とよう夜五時三分ニ入,大みやう 母倉 ちう日
《2010》,《暦日2》,十六／,ひのえむま,とつ,水,　,●
《2020》,《暦日0》,十七／,ひのとのひつし,たつ,,　,くゑ日
《2030》,《暦日2》,十八／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2040》,《暦日0》,十九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2050》,《節中》,大暑六月中朝四時五分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2060》,《暦日2》,廿／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2070》,《暦日0》,廿一／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2080》,《暦日2》,廿二／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2090》,《暦日0》,廿三／,みつのとのうし,やふる,,ま日,十し
《2100》,《暦日2》,廿四／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2110》,《暦日0》,廿五／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2120》,《暦日2》,廿六／,ひのえたつ,おさん,土,ま日,大みやう めつもん わうまう  けんふくよし
《2130》,《暦日0》,廿七／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2140》,《暦日2》,廿八／,つちのえむま,とつ,火,ま日,●
《2150》,《暦日0》,廿九／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2160》,《月序》,七月,大,建,甲申,畢宿　虛　日よう
《2170》,《暦日2》,一／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《2180》,《暦日0》,二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
