《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1560》,《暦日0》,四／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1570》,《暦日2》,五／,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
《1580》,《暦日0》,六／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1590》,《暦日2》,七／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1600》,《暦日0》,八／,つちのとのい,とる,,　,神よし ちう日
《1610》,《暦日2》,九／,かのえね,やふる,土,　,●
《1620》,《暦日0》,十／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1630》,《暦日2》,十一／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1640》,《暦日0》,十二／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日 わうまう
《1650》,《暦日1》,十三／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1660》,《節中》,夏至五月中明六時二分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1670》,《暦日1》,十四／,きのとのみ,とつ,火,　,十し
《1680》,《暦日2》,十五／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1690》,《暦日0》,十六／,ひのとのひつし,のそく,,　,神よし ふく日
《1700》,《暦日2》,十七／,つちのえさる,みつ,土,　,神よし  入学よし
《1710》,《暦日0》,十八／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1720》,《暦日2》,十九／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1730》,《暦日0》,廿／,かのとのい,とる,,　,さい下しき 神よし 大みやう 天おん 月とく ちう日  入学よし
《1740》,《暦日2》,廿一／,みつのえね,やふる,木,八せんのはしめ,●
《1750》,《暦日0》,廿二／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1760》,《暦日2》,廿三／,きのえとら,なる,水,はんけしやう,母倉 きこ  田うへ  つめとりよし
《1770》,《暦日0》,廿四／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1780》,《暦日2》,廿五／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1790》,《暦日0》,廿六／,ひのとのみ,とつ,,　,十し
《1800》,《暦日2》,廿七／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1810》,《暦日0》,廿八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1820》,《節中》,小暑六月せつ夜五時八分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1830》,《暦日1》,廿九／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1840》,《月序》,六月,大,建,癸未,井宿　觜　火よう
《1850》,《暦日1》,一／,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1860》,《暦日2》,二／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1870》,《暦日0》,三／,みつのとのい,さたん,,八せんのおはり,ちう日
《1880》,《暦日2》,四／,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
《1890》,《暦日0》,五／,きのとのうし,やふる,,　,十し
《1900》,《暦日2》,六／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1910》,《暦日0》,七／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1920》,《暦日2》,八／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1930》,《暦日0》,九／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1940》,《暦日2》,十／,かのえむま,とつ,土,初伏,●
《1950》,《暦日0》,十一／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1960》,《暦日2》,十二／,みつのえさる,のそく,金,とよう今暁八時一分ニ入,神よし 大みやう  くさかりよし
《1970》,《暦日0》,十三／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1980》,《暦日2》,十四／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1990》,《暦日0》,十五／,きのとのい,さたん,,　,ちう日
