《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0960》,《暦日0》,十／,ひのとのひつし,さたん,,　,神よし ちいみ
《0970》,《暦日2》,十一／,つちのえさる,とる,土,　,神よし  たねまきよし
《0980》,《暦日0》,十二／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《0990》,《節中》,清明三月せつみの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1000》,《暦日2》,十三／,かのえいぬ,やふる,金,　,大みやう
《1010》,《暦日0》,十四／,かのとのい,あやふ,,　,●
《1020》,《暦日2》,十五／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1030》,《暦日0》,十六／,みつのとのうし,おさん,,ま日,十し
《1040》,《暦日2》,十七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1050》,《暦日0》,十八／,きのとのう,とつ,,　,神よし  ものたちよし
《1060》,《暦日2》,十九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1070》,《暦日0》,廿／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1080》,《暦日2》,廿一／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1090》,《暦日0》,廿二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1100》,《暦日2》,廿三／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1110》,《暦日0》,廿四／,かのとのとり,とる,,とようひつしの四刻ニ入,神よし 大みやう  井ほりよし
《1120》,《暦日2》,廿五／,みつのえいぬ,やふる,水,ま日
《1130》,《暦日0》,廿六／,みつのとのい,あやふ,,八せんのおはり,●
《1140》,《暦日1》,廿七／,きのえね,なる,金,　,くゑ日 きこ
《1150》,《節中》,穀雨三月中さるの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1160》,《暦日1》,廿八／,きのとのうし,おさん,金,　,十し
《1170》,《暦日2》,廿九／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1180》,《暦日0》,卅／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1190》,《月序》,四月,小,建,癸巳,斗宿　畢　月よう
《1200》,《暦日2》,一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1210》,《暦日0》,二／,つちのとのみ,のそく,,　,ちう日 ふく日 わうまう  かといてよし
《1220》,《暦日2》,三／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1230》,《暦日0》,四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1240》,《暦日2》,五／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1250》,《暦日0》,六／,みつのとのとり,とる,,　,神よし 大みやう
《1260》,《暦日2》,七／,きのえいぬ,やふる,火,　, くさかりよし
《1270》,《暦日0》,八／,きのとのい,あやふ,,八十八や,●
《1280》,《暦日2》,九／,ひのえね,なる,水,　,きこ
《1290》,《暦日0》,十／,ひのとのうし,おさん,,　,十し
《1300》,《暦日2》,十一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1310》,《暦日0》,十二／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1320》,《節中》,立夏四月せついぬの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1330》,《暦日2》,十三／,かのえたつ,とつ,金,　, けんふくよし
《1340》,《暦日0》,十四／,かのとのみ,たつ,,　,●
《1350》,《暦日2》,十五／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1360》,《暦日0》,十六／,みつのとのひつし,みつ,,　,くゑ日
《1370》,《暦日2》,十七／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1380》,《暦日0》,十八／,きのとのとり,さたん,,　,十し
《1390》,《暦日2》,十九／,ひのえいぬ,とる,土,　,五む日 ふく日 わうまう  くさかりよし
《1400》,《暦日0》,廿／,ひのとのい,やふる,,　,大みやう ちう日
《1410》,《暦日2》,廿一／,つちのえね,あやふ,火,　, けんふくよし
《1420》,《暦日0》,廿二／,つちのとのうし,なる,,　,きこ  つめとりよし
《1430》,《暦日2》,廿三／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1440》,《暦日0》,廿四／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1450》,《暦日2》,廿五／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1460》,《暦日0》,廿六／,みつのとのみ,たつ,,天一天上,●
《1470》,《暦日1》,廿七／,きのえむま,のそく,金,　,天しや よろつよし
《1480》,《節中》,小満四月中翌うしの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1490》,《暦日1》,廿八／,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
《1500》,《暦日1》,廿九／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1510》,《月序》,五月,小,建,甲午,牛宿　觜　火よう
《1520》,《暦日1》,一／,ひのとのとり,さたん,火,　,十し
《1530》,《暦日2》,二／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1540》,《暦日0》,三／,つちのとのい,やふる,,　,くゑ日 ちう日
《1550》,《暦日2》,四／,かのえね,あやふ,土,　,神よし きしく  わたまし たねまきよし
《1560》,《暦日0》,五／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1570》,《暦日2》,六／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1580》,《暦日0》,七／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1590》,《暦日2》,八／,きのえたつ,とつ,火,　,大みやう
《1600》,《暦日0》,九／,きのとのみ,たつ,,　,●
《1610》,《暦日2》,十／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1620》,《暦日0》,十一／,ひのとのひつし,みつ,,　,くゑ日
