«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-0940»,«暦日2»,十二〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1696-0950»,«暦日0»,十三〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1696-0960»,«暦日2»,十四〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1696-0970»,«暦日0»,十五〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1696-0980»,«暦日2»,十六〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1696-0990»,«暦日0»,十七〳,みつのとのとり,とる,,とようたつの初刻ニ入,神よし 大みやう
«1696-1000»,«暦日2»,十八〳,きのえいぬ,やふる,火,　, くさかりよし
«1696-1010»,«暦日0»,十九〳,きのとのい,あやふ,,　,●
«1696-1020»,«暦日2»,廿〳,ひのえね,なる,水,三月中たつの四刻,きこ
«1696-1030»,«暦日0»,廿一〳,ひのとのうし,おさん,,　,十し
«1696-1040»,«暦日2»,廿二〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1696-1050»,«暦日0»,廿三〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1696-1060»,«暦日2»,廿四〳,かのえたつ,たつ,金,　,くゑ日
«1696-1070»,«暦日0»,廿五〳,かのとのみ,のそく,,　,ちう日 わうまう
«1696-1080»,«暦日2»,廿六〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1696-1090»,«暦日0»,廿七〳,みつのとのひつし,たいら,,　,めつもん 地火
«1696-1100»,«暦日2»,廿八〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1696-1110»,«暦日0»,廿九〳,きのとのとり,とる,,　,神よし  くさかりよし
«1696-1120»,«月序»,四月,大,建,癸巳,觜宿　室　火よう
«1696-1130»,«暦日2»,一〳,ひのえいぬ,やふる,土,　,五む日
«1696-1140»,«暦日0»,二〳,ひのとのい,あやふ,,八十八や,●
«1696-1150»,«暦日2»,三〳,つちのえね,なる,火,　,きこ ふく日
«1696-1160»,«暦日0»,四〳,つちのとのうし,おさん,,　,十し
«1696-1170»,«暦日2»,五〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1696-1180»,«暦日0»,六〳,かのとのう,ひらく,,立夏四月せつひつしの一刻ニ入,神よし  やたて ものたちよし
«1696-1190»,«暦日2»,七〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1696-1200»,«暦日0»,八〳,みつのとのみ,たつ,,天一天上,●
«1696-1210»,«暦日2»,九〳,きのえむま,のそく,金,　,天しや よろつよし
«1696-1220»,«暦日0»,十〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1696-1230»,«暦日2»,十一〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1696-1240»,«暦日0»,十二〳,ひのとのとり,さたん,,　,十し
«1696-1250»,«暦日2»,十三〳,つちのえいぬ,とる,木,　,わうまう  くらたて かまぬりよし
«1696-1260»,«暦日0»,十四〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1696-1270»,«暦日2»,十五〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1696-1280»,«暦日0»,十六〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1696-1290»,«暦日2»,十七〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1696-1300»,«暦日0»,十八〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1696-1310»,«暦日2»,十九〳,きのえたつ,とつ,火,　,大みやう
«1696-1320»,«暦日0»,廿〳,きのとのみ,たつ,,　,●
«1696-1330»,«暦日2»,廿一〳,ひのえむま,のそく,水,四月中とりの六刻,大みやう くゑ日 ふく日
