《1790-0000》,# カンマ区切りテキスト形式です。
《1790-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1790-0020》,# ・表の区画内での改行は“/”で表記します。
《1790-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1790-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1790-0050》,# 外部リンク
《1790-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/216 ～ 220
《1790-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1790g　(GitHub上データを表成型)
《1790-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1790h　(翻刻編集データを表成型 - 未実装)
《1790-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1790-0100》,《版元》,出版地○○,出版元□□□,　
《1790-0570》,《暦日2》,三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1790-0580》,《暦日0》,四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1790-0590》,《暦日2》,五／,ひのえたつ,のそく,土,ま日,●
《1790-0600》,《暦日0》,六／,ひのとのみ,みつ,,　,十し
《1790-0610》,《暦日1》,七／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1790-0620》,《節中》,春分二月中さるの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1790-0630》,《暦日1》,八／,つちのとのひつし,さたん,火,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1790-0640》,《暦日2》,九／,かのえさる,とる,木,　,神よし 大みやう
《1790-0650》,《暦日0》,十／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1790-0660》,《暦日2》,十一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1790-0670》,《暦日0》,十二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1790-0680》,《暦日2》,十三／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1790-0690》,《暦日0》,十四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1790-0700》,《暦日2》,十五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1790-0710》,《暦日0》,十六／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1790-0720》,《暦日2》,十七／,つちのえたつ,のそく,木,　,●
《1790-0730》,《暦日0》,十八／,つちのとのみ,みつ,,　,十し
《1790-0740》,《暦日2》,十九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1790-0750》,《暦日0》,廿／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1790-0760》,《暦日2》,廿一／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1790-0770》,《暦日0》,廿二／,みつのとのとり,とる,,　,神よし 大みやう
《1790-0780》,《節中》,清明三月せついの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1790-0790》,《暦日2》,廿三／,きのえいぬ,やふる,火,　, くさかりよし
《1790-0800》,《暦日0》,廿四／,きのとのい,あやふ,,　,●
《1790-0810》,《暦日2》,廿五／,ひのえね,なる,水,　,きしく きこ
《1790-0820》,《暦日0》,廿六／,ひのとのうし,おさん,,　,十し
《1790-0830》,《暦日2》,廿七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1790-0840》,《暦日0》,廿八／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1790-0850》,《暦日1》,廿九／,かのえたつ,たつ,金,　,くゑ日
《1790-0860》,《月序》,三月,大,建,庚辰,翼宿　軫　水よう
《1790-0870》,《暦日1》,一／,かのとのみ,のそく,金,　,天おん 母倉 ちう日
《1790-0880》,《暦日2》,二／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1790-0890》,《暦日0》,三／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1790-0900》,《暦日2》,四／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
