《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1390》,《暦日2》,廿／,きのえいぬ,とる,火,　, やたて くらたてよし
《1400》,《暦日0》,廿一／,きのとのい,やふる,,　,月とく ちう日
《1410》,《暦日2》,廿二／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1420》,《暦日0》,廿三／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1430》,《暦日2》,廿四／,つちのえとら,おさん,土,　,母倉 めつもん わうまう  たねまき  つめとりよし
《1440》,《暦日0》,廿五／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1450》,《暦日2》,廿六／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1460》,《暦日0》,廿七／,かのとのみ,たつ,,　,●
《1470》,《暦日2》,廿八／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1480》,《暦日0》,廿九／,みつのとのひつし,みつ,,　,くゑ日
《1490》,《暦日1》,卅／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1500》,《月序》,四月,小,建,癸巳,柳宿　婁　金よう
《1510》,《暦日1》,一／,きのとのとり,さたん,水,　,十し
《1520》,《暦日1》,二／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1530》,《節中》,小満四月中いの八刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1540》,《暦日1》,三／,ひのとのい,やふる,土,　,大みやう ちう日
《1550》,《暦日2》,四／,つちのえね,あやふ,火,　, けんふくよし
《1560》,《暦日0》,五／,つちのとのうし,なる,,　,きこ  つめとりよし
《1570》,《暦日2》,六／,かのえとら,おさん,木,　,さい下しき 母倉 月とく めつもん  さひらき  つめとりよし
《1580》,《暦日0》,七／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1590》,《暦日2》,八／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1600》,《暦日0》,九／,みつのとのみ,たつ,,天一天上,●
《1610》,《暦日2》,十／,きのえむま,のそく,金,　,天しや よろつよし
《1620》,《暦日0》,十一／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1630》,《暦日2》,十二／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1640》,《暦日0》,十三／,ひのとのとり,さたん,,　,十し
《1650》,《暦日2》,十四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1660》,《暦日0》,十五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1670》,《暦日2》,十六／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1680》,《暦日0》,十七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1690》,《暦日1》,十八／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1700》,《節中》,芒種五月せつ今暁とらの五刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1710》,《暦日1》,十九／,みつのとのう,おさん,金,　,母倉 ちいみ 大くわ ふく日
《1720》,《暦日2》,廿／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1730》,《暦日0》,廿一／,きのとのみ,とつ,,　,十し
《1740》,《暦日2》,廿二／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1750》,《暦日0》,廿三／,ひのとのひつし,のそく,,　,神よし ふく日
《1760》,《暦日2》,廿四／,つちのえさる,みつ,土,　,神よし  入学よし
《1770》,《暦日0》,廿五／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1780》,《暦日2》,廿六／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1790》,《暦日0》,廿七／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1800》,《暦日2》,廿八／,みつのえね,やふる,木,八せんのはしめ,●
《1810》,《暦日0》,廿九／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1820》,《月序》,五月,小,建,甲午,星宿　胃　土よう
《1830》,《暦日2》,一／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1840》,《暦日0》,二／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
