«1811-0000»,【 カンマ区切りテキスト形式です。】
«1811-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1811-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1811-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1811-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1811-0050»,【 外部リンク　】
«1811-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/28 ～ 31】
«1811-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1811h　(翻刻編集終了データを表成型して表示します)】
«1811-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1811ht (翻刻編集中データを表成型して表示します)】
«1811-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1811-0100»,«版元»,出版地○○,出版元□□□,　
«1811-1790»,«暦日0»,廿八〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1811-1800»,«暦日2»,廿九〳,ひのえね,やふる,水,　,●
«1811-1810»,«暦日0»,卅〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1811-1820»,«月序»,五月,小,建,甲午,角宿　牛　金よう
«1811-1830»,«暦日2»,一〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1811-1840»,«暦日0»,二〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ わうまう
«1811-1850»,«暦日1»,三〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1811-1860»,«節中»,夏至五月中今暁うしの八刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1811-1870»,«暦日1»,四〳,かのとのみ,とつ,金,　,十し
«1811-1880»,«暦日2»,五〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1811-1890»,«暦日0»,六〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1811-1900»,«暦日2»,七〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1811-1910»,«暦日0»,八〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1811-1920»,«暦日2»,九〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1811-1930»,«暦日0»,十〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1811-1940»,«暦日2»,十一〳,つちのえね,やふる,火,　,●
«1811-1950»,«暦日0»,十二〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1811-1960»,«暦日2»,十三〳,かのえとら,なる,木,はんけしやう,母倉 きこ  井ほり  つめとりよし
«1811-1970»,«暦日0»,十四〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1811-1980»,«暦日2»,十五〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1811-1990»,«暦日0»,十六〳,みつのとのみ,とつ,,天一天上,十し
«1811-2000»,«暦日2»,十七〳,きのえむま,たつ,金,　,天しや よろつよし
«1811-2010»,«暦日0»,十八〳,きのとのひつし,たつ,,　,大みやう 五む日
«1811-2020»,«節中»,小暑六月せつたつの五刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1811-2030»,«暦日2»,十九〳,ひのえさる,のそく,火,　,神よし
«1811-2040»,«暦日0»,廿〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1811-2050»,«暦日2»,廿一〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1811-2060»,«暦日0»,廿二〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1811-2070»,«暦日2»,廿三〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1811-2080»,«暦日0»,廿四〳,かのとのうし,やふる,,　,十し
«1811-2090»,«暦日2»,廿五〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1811-2100»,«暦日0»,廿六〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1811-2110»,«暦日2»,廿七〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1811-2120»,«暦日0»,廿八〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1811-2130»,«暦日1»,廿九〳,ひのえむま,とつ,水,　,●
«1811-2140»,«月序»,六月,大,建,乙未,亢宿　女　土よう
«1811-2150»,«暦日1»,一〳,ひのとのひつし,たつ,水,とようむまの六刻ニ入,くゑ日
«1811-2160»,«暦日2»,二〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1811-2170»,«暦日0»,三〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1811-2180»,«暦日1»,四〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1811-2190»,«節中»,大暑六月中ひつしの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1811-2200»,«暦日1»,五〳,かのとのい,さたん,金,　,大みやう 天おん ちう日
«1811-2210»,«暦日2»,六〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1811-2220»,«暦日0»,七〳,みつのとのうし,やふる,,ま日,十し
«1811-2230»,«暦日2»,八〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1811-2240»,«暦日0»,九〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1811-2250»,«暦日2»,十〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1811-2260»,«暦日0»,十一〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1811-2270»,«暦日2»,十二〳,つちのえむま,とつ,火,ま日,●
«1811-2280»,«暦日0»,十三〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1811-2290»,«暦日2»,十四〳,かのえさる,のそく,木,　,さい下しき 神よし きしく 大みやう  くさかりよし
«1811-2300»,«暦日0»,十五〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1811-2310»,«暦日2»,十六〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1811-2320»,«暦日0»,十七〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1811-2330»,«暦日2»,十八〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1811-2340»,«暦日0»,十九〳,きのとのうし,とる,,　,●
«1811-2350»,«節中»,立秋七月せつとりの七刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1811-2360»,«暦日2»,廿〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1811-2370»,«暦日0»,廿一〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1811-2380»,«暦日2»,廿二〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1811-2390»,«暦日0»,廿三〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1811-2400»,«暦日2»,廿四〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1811-2410»,«暦日0»,廿五〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1811-2420»,«暦日2»,廿六〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1811-2430»,«暦日0»,廿七〳,みつのとのとり,のそく,,　,十し
«1811-2440»,«暦日2»,廿八〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1811-2450»,«暦日0»,廿九〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1811-2460»,«暦日1»,卅〳,ひのえね,さたん,水,　, 田かりよし
«1811-2470»,«月序»,七月,大,建,丙申,氐宿　危　月よう
«1811-2480»,«暦日1»,一〳,ひのとのうし,とる,水,　,●
«1811-2490»,«暦日2»,二〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1811-2500»,«暦日0»,三〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1811-2510»,«暦日1»,四〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
