《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-1550》,《暦日2》,十／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1718-1560》,《暦日0》,十一／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1718-1570》,《暦日2》,十二／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1718-1580》,《暦日0》,十三／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1718-1590》,《暦日2》,十四／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1718-1600》,《暦日0》,十五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1718-1610》,《暦日2》,十六／,きのえね,やふる,金,　,●
《1718-1620》,《暦日0》,十七／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1718-1630》,《暦日2》,十八／,ひのえとら,なる,火,　,きこ  つめとりよし
《1718-1640》,《暦日0》,十九／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1718-1650》,《暦日2》,廿／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1718-1660》,《暦日0》,廿一／,つちのとのみ,とつ,,　,十し
《1718-1670》,《暦日2》,廿二／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1718-1680》,《暦日0》,廿三／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1718-1690》,《暦日2》,廿四／,みつのえさる,みつ,金,夏至五月中むまの六刻,大みやう わうまう  くさかりよし
《1718-1700》,《暦日0》,廿五／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1718-1710》,《暦日2》,廿六／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1718-1720》,《暦日0》,廿七／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1718-1730》,《暦日2》,廿八／,ひのえね,やふる,水,　,●
《1718-1740》,《暦日0》,廿九／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1718-1750》,《月序》,六月,大,建,己未,尾宿　室　火よう
《1718-1760》,《暦日2》,一／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1718-1770》,《暦日0》,二／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1718-1780》,《暦日2》,三／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1718-1790》,《暦日0》,四／,かのとのみ,とつ,,　,十し
《1718-1800》,《暦日2》,五／,みつのえむま,たつ,木,はんけしやう,大みやう 下しきうの時
《1718-1810》,《暦日0》,六／,みつのとのひつし,のそく,,　,ふく日  田うへよし
