《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1300》,《暦日0》,十一／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1310》,《暦日2》,十二／,きのえたつ,とつ,火,　,大みやう
《1320》,《暦日0》,十三／,きのとのみ,たつ,,　,●
《1330》,《暦日2》,十四／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1340》,《暦日0》,十五／,ひのとのひつし,みつ,,　,くゑ日
《1350》,《暦日2》,十六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1360》,《暦日0》,十七／,つちのとのとり,さたん,,　,十し
《1370》,《暦日2》,十八／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1380》,《暦日0》,十九／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1390》,《暦日2》,廿／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1400》,《暦日0》,廿一／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1410》,《暦日1》,廿二／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1420》,《節中》,芒種五月せつ昼八時八分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1430》,《暦日1》,廿三／,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
《1440》,《暦日2》,廿四／,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
《1450》,《暦日0》,廿五／,ひのとのみ,とつ,,　,十し
《1460》,《暦日2》,廿六／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1470》,《暦日0》,廿七／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1480》,《暦日2》,廿八／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1490》,《暦日0》,廿九／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1500》,《月序》,五月,大,建,壬午,星宿　角　木よう
《1510》,《暦日2》,一／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1520》,《暦日0》,二／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1530》,《暦日2》,三／,きのえね,やふる,金,　,●
《1540》,《暦日0》,四／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1550》,《暦日2》,五／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1560》,《暦日0》,六／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1570》,《暦日2》,七／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1580》,《暦日0》,八／,つちのとのみ,とつ,,　,十し
《1590》,《暦日1》,九／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1600》,《節中》,夏至五月中朝四時一分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1610》,《暦日1》,十／,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
《1620》,《暦日2》,十一／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1630》,《暦日0》,十二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1640》,《暦日2》,十三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1650》,《暦日0》,十四／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1660》,《暦日2》,十五／,ひのえね,やふる,水,　,●
《1670》,《暦日0》,十六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1680》,《暦日2》,十七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
