«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-0870»,«月序»,三月,大,建,庚辰,畢宿　婁　金よう
«1745-0880»,«暦日1»,一〳,みつのとのとり,やふる,金,　,大みやう
«1745-0890»,«食記»,日そく二分,　
«1745-0900»,«暦日2»,二〳,きのえいぬ,あやふ,火,　, かといてよし
«1745-0910»,«暦日0»,三〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1745-0920»,«暦日2»,四〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1745-0930»,«暦日0»,五〳,ひのとのうし,おさん,,　,十し
«1745-0940»,«節中»,清明三月せつ夜ねの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1745-0950»,«暦日2»,六〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1745-0960»,«暦日0»,七〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1745-0970»,«暦日2»,八〳,かのえたつ,たつ,金,　,きしく くゑ日
«1745-0980»,«暦日0»,九〳,かのとのみ,のそく,,　,ちう日
«1745-0990»,«暦日2»,十〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1745-1000»,«暦日0»,十一〳,みつのとのひつし,たいら,,　,めつもん 地火
«1745-1010»,«暦日2»,十二〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1745-1020»,«暦日0»,十三〳,きのとのとり,とる,,　,神よし  くさかりよし
«1745-1030»,«暦日2»,十四〳,ひのえいぬ,やふる,土,　,五む日
«1745-1040»,«暦日0»,十五〳,ひのとのい,あやふ,,　,●
«1745-1050»,«暦日2»,十六〳,つちのえね,なる,火,　,きこ ふく日
«1745-1060»,«暦日0»,十七〳,つちのとのうし,おさん,,とよう翌とらの初刻ニ入,十し
«1745-1070»,«暦日2»,十八〳,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
«1745-1080»,«暦日0»,十九〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1745-1090»,«暦日1»,廿〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1745-1100»,«節中»,穀雨三月中翌とらの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1745-1110»,«暦日1»,廿一〳,みつのとのみ,のそく,水,天一天上,ちう日  けんふくよし
«1745-1120»,«暦日2»,廿二〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1745-1130»,«暦日0»,廿三〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1745-1140»,«暦日2»,廿四〳,ひのえさる,さたん,火,　,くゑ日
«1745-1150»,«暦日0»,廿五〳,ひのとのとり,とる,,　,わうまう  いちたちよし
«1745-1160»,«暦日2»,廿六〳,つちのえいぬ,やふる,木,　,ふく日
«1745-1170»,«暦日0»,廿七〳,つちのとのい,あやふ,,　,●
«1745-1180»,«暦日2»,廿八〳,かのえね,なる,土,　,神よし きこ
«1745-1190»,«暦日0»,廿九〳,かのとのうし,おさん,,　,十し
«1745-1200»,«暦日1»,卅〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1745-1210»,«月序»,四月,小,建,辛巳,觜宿　昴　日よう
«1745-1220»,«暦日1»,一〳,みつのとのう,とつ,金,　,神よし  けんふく かといてよし
«1745-1230»,«暦日2»,二〳,きのえたつ,たつ,火,八十八や,大みやう くゑ日
«1745-1240»,«暦日0»,三〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1745-1250»,«暦日2»,四〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
