《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535422/13 ～ 18
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1706g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1706h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1910》,《暦日2》,十八／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1920》,《暦日0》,十九／,きのとのみ,ひらく,,　,大みやう ちう日
《1930》,《暦日2》,廿／,ひのえむま,とつ,水,　,●
《1940》,《暦日0》,廿一／,ひのとのひつし,たつ,,　,くゑ日 わうまう
《1950》,《暦日2》,廿二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1960》,《暦日0》,廿三／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1970》,《暦日2》,廿四／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《1980》,《暦日0》,廿五／,かのとのい,さたん,,　,さい下しき 大みやう ちう日
《1990》,《暦日2》,廿六／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《2000》,《暦日0》,廿七／,みつのとのうし,やふる,,ま日,十し
《2010》,《暦日2》,廿八／,きのえとら,あやふ,水,　, やたて  つめとりよし
《2020》,《暦日0》,廿九／,きのとのう,あやふ,,立秋七月せつうの七刻ニ入,神よし  くらたて かまぬりよし
《2030》,《月序》,七月,大,建,丙申,氐宿　虛　日よう
《2040》,《暦日2》,一／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2050》,《暦日0》,二／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《2060》,《暦日2》,三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2070》,《暦日0》,四／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2080》,《暦日2》,五／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2090》,《暦日0》,六／,かのとのとり,のそく,,　,十し
《2100》,《暦日2》,七／,みつのえいぬ,みつ,水,ま日
《2110》,《暦日0》,八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火 わうまう
《2120》,《暦日2》,九／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2130》,《暦日0》,十／,きのとのうし,とる,,　,●
《2140》,《暦日2》,十一／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2150》,《暦日0》,十二／,ひのとのう,あやふ,,　,神よし  わたましよし
《2160》,《暦日2》,十三／,つちのえたつ,なる,木,　,きしく 五む日 ちいみ  いちたちよし
《2170》,《暦日0》,十四／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2180》,《暦日2》,十五／,かのえむま,ひらく,土,七月中むまの四刻,神よし ふく日 天火 らうしやく
《2190》,《暦日0》,十六／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2200》,《暦日2》,十七／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2210》,《暦日0》,十八／,みつのとのとり,のそく,,　,十し
《2220》,《暦日2》,十九／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2230》,《暦日0》,廿／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2240》,《暦日2》,廿一／,ひのえね,さたん,水,　, 田かりよし
《2250》,《暦日0》,廿二／,ひのとのうし,とる,,　,●
《2260》,《暦日2》,廿三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2270》,《暦日0》,廿四／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《2280》,《暦日2》,廿五／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《2290》,《暦日0》,廿六／,かのとのみ,おさん,,二百十日,大くわ ちう日
《2300》,《暦日2》,廿七／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2310》,《暦日0》,廿八／,みつのとのひつし,とつ,,　
《2320》,《暦日2》,廿九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2330》,《暦日0》,卅／,きのとのとり,たつ,,八月せつとりの一刻ニ入,ふく日 天火 らうしやく 下しきむまの時
《2340》,《月序》,八月,大,建,丁酉,房宿　室　火よう
《2350》,《暦日2》,一／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2360》,《暦日0》,二／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2370》,《暦日2》,三／,つちのえね,たいら,火,　,大くわ 地火
《2380》,《暦日0》,四／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《2390》,《暦日2》,五／,かのえとら,とる,木,　,きこ  つめとりよし
《2400》,《暦日0》,六／,かのとのう,やふる,,二百廿日,ふく日  田かりよし
《2410》,《暦日2》,七／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2420》,《暦日0》,八／,みつのとのみ,なる,,天一天上,十し
《2430》,《暦日2》,九／,きのえむま,おさん,金,　,めつもん
《2440》,《暦日0》,十／,きのとのひつし,ひらく,,　,●
《2450》,《暦日2》,十一／,ひのえさる,とつ,火,　,神よし きしく
《2460》,《暦日0》,十二／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2470》,《暦日2》,十三／,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
《2480》,《暦日0》,十四／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2490》,《暦日2》,十五／,かのえね,たいら,土,秋分八月中いの六刻,神よし 大くわ 地火
《2500》,《暦日0》,十六／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2510》,《暦日2》,十七／,みつのえとら,とる,金,ひかんニなる,大みやう きこ わうまう  やたて  つめとりよし
《2520》,《暦日0》,十八／,みつのとのう,やふる,,　, くらたて 田かりよし
《2530》,《暦日2》,十九／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2540》,《暦日0》,廿／,きのとのみ,なる,,　,十し
