《1690-0000》,# カンマ区切りテキスト形式です。
《1690-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1690-1330》,《暦日2》,十九／,かのえたつ,とつ,金,　, けんふくよし
《1690-1340》,《暦日0》,廿／,かのとのみ,たつ,,　,●
《1690-1350》,《暦日2》,廿一／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1690-1360》,《暦日0》,廿二／,みつのとのひつし,みつ,,　,くゑ日
《1690-1370》,《暦日2》,廿三／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1690-1380》,《暦日0》,廿四／,きのとのとり,さたん,,　,十し
《1690-1390》,《暦日2》,廿五／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1690-1400》,《暦日0》,廿六／,ひのとのい,やふる,,　,大みやう ちう日
《1690-1410》,《暦日2》,廿七／,つちのえね,あやふ,火,　, けんふくよし
《1690-1420》,《暦日0》,廿八／,つちのとのうし,なる,,　,きこ  つめとりよし
《1690-1430》,《暦日1》,廿九／,かのえとら,なる,木,五月せつひつしの初刻ニ入,きこ  井ほり  つめとりよし
《1690-1440》,《月序》,五月,小,建,壬午,心宿　壁　水よう
《1690-1450》,《暦日1》,一／,かのとのう,おさん,木,　,ちいみ 大くわ  ものたちよし
《1690-1460》,《暦日2》,二／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1690-1470》,《暦日0》,三／,みつのとのみ,とつ,,天一天上,十し
《1690-1480》,《暦日2》,四／,きのえむま,たつ,金,　,天しや よろつよし
《1690-1490》,《暦日0》,五／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1690-1500》,《暦日2》,六／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1690-1510》,《暦日0》,七／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1690-1520》,《暦日2》,八／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1690-1530》,《暦日0》,九／,つちのとのい,とる,,　,神よし ちう日
《1690-1540》,《暦日2》,十／,かのえね,やふる,土,　,●
《1690-1550》,《暦日0》,十一／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1690-1560》,《暦日2》,十二／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1690-1570》,《暦日0》,十三／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1690-1580》,《暦日2》,十四／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1690-1590》,《暦日0》,十五／,きのとのみ,とつ,,夏至五月中とりの五刻,十し
《1690-1600》,《暦日2》,十六／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1690-1610》,《暦日0》,十七／,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
《1690-1620》,《暦日2》,十八／,つちのえさる,みつ,土,　,神よし  入学よし
《1690-1630》,《暦日0》,十九／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1690-1640》,《暦日2》,廿／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1690-1650》,《暦日0》,廿一／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
