《1691-0000》,# カンマ区切りテキスト形式です。
《1691-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1691-0640》,《暦日0》,十一／,ひのとのう,たつ,,　,天火 らうしやく
《1691-0650》,《暦日2》,十二／,つちのえたつ,のそく,木,　,●
《1691-0660》,《暦日0》,十三／,つちのとのみ,みつ,,　,十し
《1691-0670》,《暦日2》,十四／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1691-0680》,《暦日0》,十五／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1691-0690》,《暦日2》,十六／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1691-0700》,《暦日0》,十七／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1691-0710》,《暦日2》,十八／,きのえいぬ,あやふ,火,　, かといてよし
《1691-0720》,《暦日0》,十九／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1691-0730》,《暦日2》,廿／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1691-0740》,《暦日0》,廿一／,ひのとのうし,ひらく,,　,大みやう わうまう  ものたち  つめとりよし
《1691-0750》,《暦日2》,廿二／,つちのえとら,とつ,土,社日,天しや よろつよし
《1691-0760》,《暦日0》,廿三／,つちのとのう,たつ,,春分二月中さるの六刻,大みやう くゑ日 天火 らうしやく
《1691-0770》,《暦日2》,廿四／,かのえたつ,のそく,金,　,●
《1691-0780》,《暦日0》,廿五／,かのとのみ,みつ,,ひかんニなる,十し
《1691-0790》,《暦日2》,廿六／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1691-0800》,《暦日0》,廿七／,みつのとのひつし,さたん,,　,ちいみ
《1691-0810》,《暦日2》,廿八／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1691-0820》,《暦日0》,廿九／,きのとのとり,やふる,,　,ふく日
《1691-0830》,《暦日1》,卅／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1691-0840》,《月序》,三月,小,建,壬辰,奎宿　亢　金よう
《1691-0850》,《暦日1》,一／,ひのとのい,なる,土,　,大みやう ちう日
《1691-0860》,《暦日2》,二／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《1691-0870》,《暦日0》,三／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1691-0880》,《暦日2》,四／,かのえとら,とつ,木,　,きこ  つめとりよし
《1691-0890》,《暦日0》,五／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1691-0900》,《暦日2》,六／,みつのえたつ,のそく,水,　,●
《1691-0910》,《暦日0》,七／,みつのとのみ,みつ,,天一天上,十し
《1691-0920》,《暦日2》,八／,きのえむま,みつ,金,三月せついの三刻ニ入,神よし 天火 らうしやく  ふねのりよし
《1691-0930》,《暦日0》,九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1691-0940》,《暦日2》,十／,ひのえさる,さたん,火,　,くゑ日
《1691-0950》,《暦日0》,十一／,ひのとのとり,とる,,　,神よし  いちたちよし
《1691-0960》,《暦日2》,十二／,つちのえいぬ,やふる,木,　,ふく日
《1691-0970》,《暦日0》,十三／,つちのとのい,あやふ,,　,●
《1691-0980》,《暦日2》,十四／,かのえね,なる,土,　,神よし きこ
《1691-0990》,《暦日0》,十五／,かのとのうし,おさん,,　,十し
《1691-1000》,《暦日2》,十六／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
