«1780-0000»,【 カンマ区切りテキスト形式です。】
«1780-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1780-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1780-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1780-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1780-0050»,【 外部リンク　】
«1780-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/169 ～ 173】
«1780-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1780h　(翻刻編集終了データを表成型して表示します)】
«1780-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1780ht (翻刻編集中データを表成型して表示します)】
«1780-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1780-0100»,«版元»,出版地○○,出版元□□□,　
«1780-1860»,«暦日2»,一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1780-1870»,«暦日0»,二〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1780-1880»,«暦日2»,三〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1780-1890»,«暦日0»,四〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1780-1900»,«暦日1»,五〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1780-1910»,«節中»,小暑六月せついぬの一刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1780-1920»,«暦日1»,六〳,みつのとのうし,やふる,木,ま日,十し
«1780-1930»,«暦日2»,七〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1780-1940»,«暦日0»,八〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1780-1950»,«暦日2»,九〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1780-1960»,«暦日0»,十〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
