«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-0810»,«暦日0»,廿六〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1777-0820»,«暦日2»,廿七〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1777-0830»,«暦日0»,廿八〳,きのとのうし,おさん,,　,十し
«1777-0840»,«節中»,清明三月せつとりの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1777-0850»,«暦日1»,廿九〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1777-0860»,«月序»,三月,小,建,甲辰,虛宿　尾　火よう
«1777-0870»,«暦日1»,一〳,ひのとのう,とつ,火,　,くゑ日  たねまきよし
«1777-0880»,«暦日2»,二〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1777-0890»,«暦日0»,三〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1777-0900»,«暦日2»,四〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1777-0910»,«暦日0»,五〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1777-0920»,«暦日2»,六〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1777-0930»,«暦日0»,七〳,みつのとのとり,とる,,　,神よし 大みやう
«1777-0940»,«暦日2»,八〳,きのえいぬ,やふる,火,　, くさかりよし
«1777-0950»,«暦日0»,九〳,きのとのい,あやふ,,　,●
«1777-0960»,«暦日2»,十〳,ひのえね,なる,水,　,きこ
«1777-0970»,«暦日0»,十一〳,ひのとのうし,おさん,,とよういの七刻ニ入,十し
«1777-0980»,«暦日2»,十二〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1777-0990»,«暦日0»,十三〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1777-1000»,«暦日1»,十四〳,かのえたつ,たつ,金,　,くゑ日
«1777-1010»,«節中»,穀雨三月中今夜ねの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1777-1020»,«暦日1»,十五〳,かのとのみ,のそく,金,　,天おん 母倉 ちう日
«1777-1030»,«暦日2»,十六〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1777-1040»,«暦日0»,十七〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1777-1050»,«暦日2»,十八〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1777-1060»,«暦日0»,十九〳,きのとのとり,とる,,　,わうまう  くさかりよし
«1777-1070»,«暦日2»,廿〳,ひのえいぬ,やふる,土,　,さい下しき 五む日
«1777-1080»,«暦日0»,廿一〳,ひのとのい,あやふ,,　,●
«1777-1090»,«暦日2»,廿二〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1777-1100»,«暦日0»,廿三〳,つちのとのうし,おさん,,　,十し
«1777-1110»,«暦日2»,廿四〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
