«1695-0000»,【 カンマ区切りテキスト形式です。】
«1695-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1695-2060»,«月序»,七月,小,建,甲申,虛宿　軫　水よう
«1695-2070»,«暦日1»,一〳,かのとのとり,のそく,木,　,十し
«1695-2080»,«暦日2»,二〳,みつのえいぬ,みつ,水,ま日
«1695-2090»,«暦日0»,三〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1695-2100»,«暦日2»,四〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1695-2110»,«暦日0»,五〳,きのとのうし,とる,,　,●
«1695-2120»,«暦日2»,六〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1695-2130»,«暦日0»,七〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1695-2140»,«暦日2»,八〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1695-2150»,«暦日0»,九〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1695-2160»,«暦日2»,十〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1695-2170»,«暦日0»,十一〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1695-2180»,«暦日2»,十二〳,みつのえさる,たつ,金,七月中いぬの五刻,神よし 大みやう 下しきみの時
«1695-2190»,«暦日0»,十三〳,みつのとのとり,のそく,,　,十し
«1695-2200»,«暦日2»,十四〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1695-2210»,«暦日0»,十五〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1695-2220»,«暦日2»,十六〳,ひのえね,さたん,水,　, 田かりよし
«1695-2230»,«暦日0»,十七〳,ひのとのうし,とる,,　,●
«1695-2240»,«暦日2»,十八〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1695-2250»,«暦日0»,十九〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1695-2260»,«暦日2»,廿〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1695-2270»,«暦日0»,廿一〳,かのとのみ,おさん,,　,大くわ ちう日
«1695-2280»,«暦日2»,廿二〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1695-2290»,«暦日0»,廿三〳,みつのとのひつし,とつ,,　
«1695-2300»,«暦日2»,廿四〳,きのえさる,たつ,水,二百十日|十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
«1695-2310»,«暦日0»,廿五〳,きのとのとり,のそく,,　,十し
«1695-2320»,«暦日2»,廿六〳,ひのえいぬ,みつ,土,　,五む日
«1695-2330»,«暦日0»,廿七〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1695-2340»,«暦日2»,廿八〳,つちのえね,たいら,火,八月せつうしの一刻ニ入,大くわ 地火
«1695-2350»,«暦日0»,廿九〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1695-2360»,«月序»,八月,大,建,乙酉,危宿　角　木よう
«1695-2370»,«暦日2»,一〳,かのえとら,とる,木,　,きこ  つめとりよし
«1695-2380»,«暦日0»,二〳,かのとのう,やふる,,　,ふく日  田かりよし
«1695-2390»,«暦日2»,三〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1695-2400»,«暦日0»,四〳,みつのとのみ,なる,,天一天上,十し
«1695-2410»,«暦日2»,五〳,きのえむま,おさん,金,二百廿日,めつもん
«1695-2420»,«暦日0»,六〳,きのとのひつし,ひらく,,　,●
«1695-2430»,«暦日2»,七〳,ひのえさる,とつ,火,　,神よし
«1695-2440»,«暦日0»,八〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1695-2450»,«暦日2»,九〳,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
«1695-2460»,«暦日0»,十〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1695-2470»,«暦日2»,十一〳,かのえね,たいら,土,　,さい下しき 神よし 大くわ 地火
«1695-2480»,«暦日0»,十二〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1695-2490»,«暦日2»,十三〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1695-2500»,«暦日0»,十四〳,みつのとのう,やふる,,秋分八月中うの七刻, くらたて 田かりよし
«1695-2510»,«暦日2»,十五〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1695-2520»,«暦日0»,十六〳,きのとのみ,なる,,ひかんニなる,十し
«1695-2530»,«暦日2»,十七〳,ひのえむま,おさん,水,　,大みやう めつもん
«1695-2540»,«暦日0»,十八〳,ひのとのひつし,ひらく,,　,●
«1695-2550»,«暦日2»,十九〳,つちのえさる,とつ,土,　,天しや よろつよし
«1695-2560»,«暦日0»,廿〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1695-2570»,«暦日2»,廿一〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1695-2580»,«暦日0»,廿二〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1695-2590»,«暦日2»,廿三〳,みつのえね,たいら,木,八せんのはしめ,神よし きしく 大くわ 地火
«1695-2600»,«暦日0»,廿四〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1695-2610»,«暦日2»,廿五〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1695-2620»,«暦日0»,廿六〳,きのとのう,やふる,,　,くゑ日 ふく日
«1695-2630»,«暦日2»,廿七〳,ひのえたつ,あやふ,土,ま日,大みやう
«1695-2640»,«暦日0»,廿八〳,ひのとのみ,なる,,　,十し
«1695-2650»,«暦日2»,廿九〳,つちのえむま,なる,火,かん露九月せつむまの三刻ニ入|ま日,神よし ふく日
«1695-2660»,«暦日0»,卅〳,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
«1695-2670»,«月序»,九月,大,建,丙戌,室宿　氐　土よう
«1695-2680»,«暦日2»,一〳,かのえさる,ひらく,木,　,大みやう
«1695-2690»,«暦日0»,二〳,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
«1695-2700»,«暦日2»,三〳,みつのえいぬ,たつ,水,ま日, 田かりよし
«1695-2710»,«暦日0»,四〳,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
«1695-2720»,«暦日2»,五〳,きのえね,みつ,金,　,きこ 天火 らうしやく
«1695-2730»,«暦日0»,六〳,きのとのうし,たいら,,　,十し
«1695-2740»,«暦日2»,七〳,ひのえとら,さたん,火,　,●
«1695-2750»,«暦日0»,八〳,ひのとのう,とる,,　,神よし  田かりよし
«1695-2760»,«暦日2»,九〳,つちのえたつ,やふる,木,　,五む日 ふく日
«1695-2770»,«暦日0»,十〳,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
«1695-2780»,«暦日2»,十一〳,かのえむま,なる,土,とようさるの四刻ニ入,神よし  みそすつくりよし
«1695-2790»,«暦日0»,十二〳,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
«1695-2800»,«暦日2»,十三〳,みつのえさる,ひらく,金,　,大みやう  むきまきよし
«1695-2810»,«暦日0»,十四〳,みつのとのとり,とつ,,九月中とりの初刻,神よし 大みやう
«1695-2820»,«暦日2»,十五〳,きのえいぬ,たつ,火,　,くゑ日
«1695-2830»,«暦日0»,十六〳,きのとのい,のそく,,　,ちう日  田かりよし
«1695-2840»,«暦日2»,十七〳,ひのえね,みつ,水,　,きこ 天火 らうしやく
«1695-2850»,«暦日0»,十八〳,ひのとのうし,たいら,,　,十し
«1695-2860»,«暦日2»,十九〳,つちのえとら,さたん,土,　,●
«1695-2870»,«暦日0»,廿〳,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
«1695-2880»,«暦日2»,廿一〳,かのえたつ,やふる,金,　,きしく
«1695-2890»,«暦日0»,廿二〳,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
«1695-2900»,«暦日2»,廿三〳,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
