《1870-0000》,# カンマ区切りテキスト形式です。
《1870-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1870-0860》,《月序》,三月,大,建,庚辰,箕宿　亢　金よう
《1870-0870》,《暦日1》,一／,ひのとのう,たつ,火,　,天おん 天火 らうしやく
《1870-0880》,《暦日2》,二／,つちのえたつ,のそく,木,　,●
《1870-0890》,《暦日0》,三／,つちのとのみ,みつ,,　,十し
《1870-0900》,《暦日2》,四／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1870-0910》,《暦日0》,五／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1870-0920》,《節中》,清明三月せつ朝五時六分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1870-0930》,《暦日2》,六／,みつのえさる,さたん,金,　,大みやう くゑ日
《1870-0940》,《暦日0》,七／,みつのとのとり,とる,,　,神よし 大みやう
《1870-0950》,《暦日2》,八／,きのえいぬ,やふる,火,　, くさかりよし
《1870-0960》,《暦日0》,九／,きのとのい,あやふ,,　,●
《1870-0970》,《暦日2》,十／,ひのえね,なる,水,　,きこ
《1870-0980》,《暦日0》,十一／,ひのとのうし,おさん,,　,十し
《1870-0990》,《暦日2》,十二／,つちのえとら,ひらく,土,　,天しや よろつよし
《1870-1000》,《暦日0》,十三／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1870-1010》,《暦日2》,十四／,かのえたつ,たつ,金,　,くゑ日
《1870-1020》,《暦日0》,十五／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1870-1030》,《暦日2》,十六／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1870-1040》,《暦日0》,十七／,みつのとのひつし,たいら,,とよう昼九時八分ニ入,天おん めつもん 地火
《1870-1050》,《暦日2》,十八／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1870-1060》,《暦日0》,十九／,きのとのとり,とる,,　,神よし  くさかりよし
《1870-1070》,《暦日1》,廿／,ひのえいぬ,やふる,土,　,五む日
《1870-1080》,《節中》,穀雨三月中昼八時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1870-1090》,《暦日1》,廿一／,ひのとのい,あやふ,土,　,●
《1870-1100》,《暦日2》,廿二／,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
《1870-1110》,《暦日0》,廿三／,つちのとのうし,おさん,,　,十し
《1870-1120》,《暦日2》,廿四／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1870-1130》,《暦日0》,廿五／,かのとのう,とつ,,　,わうまう  わたまし ものたちよし
《1870-1140》,《暦日2》,廿六／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1870-1150》,《暦日0》,廿七／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1870-1160》,《暦日2》,廿八／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1870-1170》,《暦日0》,廿九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1870-1180》,《暦日1》,卅／,ひのえさる,さたん,火,　,くゑ日
《1870-1190》,《月序》,四月,小,建,辛巳,斗宿　房　日よう
《1870-1200》,《暦日1》,一／,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
《1870-1210》,《暦日2》,二／,つちのえいぬ,やふる,木,八十八や,ふく日
《1870-1220》,《暦日0》,三／,つちのとのい,あやふ,,　,●
《1870-1230》,《暦日2》,四／,かのえね,なる,土,　,神よし きこ
《1870-1240》,《暦日0》,五／,かのとのうし,おさん,,　,十し
《1870-1250》,《暦日1》,六／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1870-1260》,《節中》,立夏四月せつ今暁七時ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1870-1270》,《暦日1》,七／,みつのとのう,ひらく,金,　,神よし 母倉  かといて さひらきよし
《1870-1280》,《暦日2》,八／,きのえたつ,とつ,火,　,大みやう
《1870-1290》,《暦日0》,九／,きのとのみ,たつ,,　,●
《1870-1300》,《暦日2》,十／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1870-1310》,《暦日0》,十一／,ひのとのひつし,みつ,,　,さい下しき くゑ日
《1870-1320》,《暦日2》,十二／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1870-1330》,《暦日0》,十三／,つちのとのとり,さたん,,　,十し
