《1744-0000》,# カンマ区切りテキスト形式です。
《1744-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1744-0020》,# ・表の区画内での改行は“/”で表記します。
《1744-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1744-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1744-0050》,# 外部リンク
《1744-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535427/44 ～ 50
《1744-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1744g　(GitHub上データを表成型)
《1744-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1744h　(翻刻編集データを表成型 - 未実装)
《1744-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1744-0100》,《版元》,出版地○○,出版元□□□,　
《1744-1720》,《暦日2》,十九／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1744-1730》,《暦日0》,廿／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1744-1740》,《暦日2》,廿一／,つちのえいぬ,さたん,木,はんけしやう, かまぬり 田うへよし
《1744-1750》,《暦日0》,廿二／,つちのとのい,とる,,　,神よし ちう日
《1744-1760》,《暦日2》,廿三／,かのえね,やふる,土,　,●
《1744-1770》,《暦日0》,廿四／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1744-1780》,《暦日2》,廿五／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1744-1790》,《暦日0》,廿六／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1744-1800》,《節中》,小暑六月せつ翌ねの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1744-1810》,《暦日2》,廿七／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1744-1820》,《暦日0》,廿八／,きのとのみ,ひらく,,　,大みやう ちう日
《1744-1830》,《暦日1》,廿九／,ひのえむま,とつ,水,　,●
《1744-1840》,《月序》,六月,小,建,辛未,女宿　亢　金よう
《1744-1850》,《暦日1》,一／,ひのとのひつし,たつ,水,　,くゑ日
《1744-1860》,《暦日2》,二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1744-1870》,《暦日0》,三／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1744-1880》,《暦日2》,四／,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
《1744-1890》,《暦日0》,五／,かのとのい,さたん,,　,大みやう ちう日
《1744-1900》,《暦日2》,六／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1744-1910》,《暦日0》,七／,みつのとのうし,やふる,,ま日,十し
《1744-1920》,《暦日2》,八／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1744-1930》,《暦日0》,九／,きのとのう,なる,,とよう翌とらの七刻ニ入,神よし 天火 らうしやく
《1744-1940》,《暦日2》,十／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1744-1950》,《暦日0》,十一／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1744-1960》,《暦日1》,十二／,つちのえむま,とつ,火,ま日,●
《1744-1970》,《節中》,大暑六月中翌うの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1744-1980》,《暦日1》,十三／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《1744-1990》,《暦日2》,十四／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1744-2000》,《暦日0》,十五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1744-2010》,《暦日2》,十六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1744-2020》,《暦日0》,十七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1744-2030》,《暦日2》,十八／,きのえね,とる,金,　,きこ 下しきたつの時
《1744-2040》,《暦日0》,十九／,きのとのうし,やふる,,　,十し
《1744-2050》,《暦日2》,廿／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1744-2060》,《暦日0》,廿一／,ひのとのう,なる,,　,天火 らうしやく わうまう
《1744-2070》,《暦日2》,廿二／,つちのえたつ,おさん,木,　,きしく 五む日 ふく日 めつもん
《1744-2080》,《暦日0》,廿三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1744-2090》,《暦日2》,廿四／,かのえむま,とつ,土,　,●
《1744-2100》,《暦日0》,廿五／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1744-2110》,《暦日2》,廿六／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1744-2120》,《暦日0》,廿七／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1744-2130》,《暦日1》,廿八／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1744-2140》,《節中》,立秋七月せつむまの初刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1744-2150》,《暦日1》,廿九／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《1744-2160》,《月序》,七月,大,建,壬申,虛宿　氐　土よう
《1744-2170》,《暦日2》,一／,ひのえね,さたん,水,　, 田かりよし
《1744-2180》,《暦日0》,二／,ひのとのうし,とる,,　,●
《1744-2190》,《暦日2》,三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1744-2200》,《暦日0》,四／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1744-2210》,《暦日2》,五／,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
《1744-2220》,《暦日0》,六／,かのとのみ,おさん,,　,大くわ ちう日
《1744-2230》,《暦日2》,七／,みつのえむま,ひらく,木,　,大みやう 天火 らうしやく わうまう
《1744-2240》,《暦日0》,八／,みつのとのひつし,とつ,,　
《1744-2250》,《暦日2》,九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1744-2260》,《暦日0》,十／,きのとのとり,のそく,,　,十し
《1744-2270》,《暦日2》,十一／,ひのえいぬ,みつ,土,　,五む日
《1744-2280》,《暦日0》,十二／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1744-2290》,《暦日2》,十三／,つちのえね,さたん,火,　, けんふく くさかりよし
《1744-2300》,《暦日0》,十四／,つちのとのうし,とる,,　,●
《1744-2310》,《節中》,処暑七月中さるの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1744-2320》,《暦日2》,十五／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1744-2330》,《暦日0》,十六／,かのとのう,あやふ,,　,神よし
