《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-0880》,《暦日2》,二／,かのえむま,みつ,土,とようたつの七刻ニ入,神よし 母倉 天火 らうしやく  みそすつくりよし
《1787-0890》,《暦日0》,三／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1787-0900》,《暦日2》,四／,みつのえさる,さたん,金,　,大みやう くゑ日
《1787-0910》,《暦日0》,五／,みつのとのとり,とる,,　,神よし 大みやう
《1787-0920》,《節中》,穀雨三月中みの三刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1787-0930》,《暦日2》,六／,きのえいぬ,やふる,火,　, くさかりよし
《1787-0940》,《暦日0》,七／,きのとのい,あやふ,,　,●
《1787-0950》,《暦日2》,八／,ひのえね,なる,水,　,きこ
《1787-0960》,《暦日0》,九／,ひのとのうし,おさん,,　,十し
《1787-0970》,《暦日2》,十／,つちのえとら,ひらく,土,　,天しや よろつよし
《1787-0980》,《暦日0》,十一／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1787-0990》,《暦日2》,十二／,かのえたつ,たつ,金,　,くゑ日
《1787-1000》,《暦日0》,十三／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1787-1010》,《暦日2》,十四／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1787-1020》,《暦日0》,十五／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1787-1030》,《暦日2》,十六／,きのえさる,さたん,水,八十八や/十方くれニ入,大みやう くゑ日
《1787-1040》,《暦日0》,十七／,きのとのとり,とる,,　,神よし  くさかりよし
《1787-1050》,《暦日2》,十八／,ひのえいぬ,やふる,土,　,五む日
《1787-1060》,《暦日0》,十九／,ひのとのい,あやふ,,　,●
《1787-1070》,《暦日1》,廿／,つちのえね,あやふ,火,　, けんふくよし
《1787-1080》,《節中》,立夏四月せつひつしの八刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1787-1090》,《暦日1》,廿一／,つちのとのうし,なる,火,　,きこ  つめとりよし
《1787-1100》,《暦日2》,廿二／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1787-1110》,《暦日0》,廿三／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1787-1120》,《暦日2》,廿四／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1787-1130》,《暦日0》,廿五／,みつのとのみ,たつ,,天一天上,●
《1787-1140》,《暦日2》,廿六／,きのえむま,のそく,金,　,天しや よろつよし
