《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-0910》,《暦日0》,六／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1719-0920》,《暦日2》,七／,かのえたつ,たつ,金,　,くゑ日
《1719-0930》,《暦日0》,八／,かのとのみ,のそく,,　,ちう日 わうまう
《1719-0940》,《暦日2》,九／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1719-0950》,《暦日0》,十／,みつのとのひつし,たいら,,　,めつもん 地火
《1719-0960》,《暦日2》,十一／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1719-0970》,《暦日0》,十二／,きのとのとり,とる,,　,神よし  くさかりよし
《1719-0980》,《暦日2》,十三／,ひのえいぬ,やふる,土,　,五む日
《1719-0990》,《暦日0》,十四／,ひのとのい,あやふ,,八十八や,●
《1719-1000》,《暦日2》,十五／,つちのえね,なる,火,　,きこ ふく日
《1719-1010》,《暦日0》,十六／,つちのとのうし,おさん,,　,十し
《1719-1020》,《暦日2》,十七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1719-1030》,《暦日0》,十八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1719-1040》,《暦日2》,十九／,みつのえたつ,とつ,水,立夏四月せつうしの七刻ニ入,大みやう 五む日 ふく日
《1719-1050》,《暦日0》,廿／,みつのとのみ,たつ,,天一天上,●
《1719-1060》,《暦日2》,廿一／,きのえむま,のそく,金,　,天しや よろつよし
《1719-1070》,《暦日0》,廿二／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1719-1080》,《暦日2》,廿三／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1719-1090》,《暦日0》,廿四／,ひのとのとり,さたん,,　,十し
《1719-1100》,《暦日2》,廿五／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1719-1110》,《暦日0》,廿六／,つちのとのい,やふる,,　,くゑ日 ちう日 わうまう
《1719-1120》,《暦日2》,廿七／,かのえね,あやふ,土,　,さい下しき 神よし  わたまし たねまきよし
《1719-1130》,《暦日0》,廿八／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1719-1140》,《暦日1》,廿九／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1719-1150》,《月序》,四月,大,建,己巳,婁宿　亢　金よう
《1719-1160》,《暦日1》,一／,みつのとのう,ひらく,金,　,神よし  かといて さひらきよし
《1719-1170》,《暦日2》,二／,きのえたつ,とつ,火,　,大みやう
《1719-1180》,《暦日0》,三／,きのとのみ,たつ,,　,●
《1719-1190》,《暦日2》,四／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1719-1200》,《暦日0》,五／,ひのとのひつし,みつ,,四月中たつの四刻,くゑ日
《1719-1210》,《暦日2》,六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1719-1220》,《暦日0》,七／,つちのとのとり,さたん,,　,十し
《1719-1230》,《暦日2》,八／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1719-1240》,《暦日0》,九／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1719-1250》,《暦日2》,十／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1719-1260》,《暦日0》,十一／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1719-1270》,《暦日2》,十二／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1719-1280》,《暦日0》,十三／,きのとのう,ひらく,,　,神よし  さひらきよし
《1719-1290》,《暦日2》,十四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1719-1300》,《暦日0》,十五／,ひのとのみ,たつ,,　,●
《1719-1310》,《暦日2》,十六／,つちのえむま,のそく,火,ま日,くゑ日
《1719-1320》,《暦日0》,十七／,つちのとのひつし,みつ,,　,大みやう くゑ日
