《1858-0000》,# カンマ区切りテキスト形式です。
《1858-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1858-0020》,# ・表の区画内での改行は“/”で表記します。
《1858-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1858-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1858-0050》,# 外部リンク
《1858-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/47 ～ 55
《1858-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1858g　(GitHub上データを表成型)
《1858-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1858h　(翻刻編集データを表成型 - 未実装)
《1858-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1858-0100》,《版元》,出版地○○,出版元□□□,　
《1858-0820》,《暦日2》,廿六／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1858-0830》,《暦日0》,廿七／,みつのとのとり,とる,,　,神よし 大みやう
《1858-0840》,《暦日2》,廿八／,きのえいぬ,やふる,火,　, くさかりよし
《1858-0850》,《暦日0》,廿九／,きのとのい,あやふ,,　,●
《1858-0860》,《暦日1》,卅／,ひのえね,なる,水,　,きこ
《1858-0870》,《月序》,三月,小,建,丙辰,氐宿　軫　水よう
《1858-0880》,《暦日1》,一／,ひのとのうし,おさん,水,　,十し
《1858-0890》,《暦日2》,二／,つちのえとら,ひらく,土,　,天しや よろつよし
《1858-0900》,《暦日0》,三／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1858-0910》,《暦日2》,四／,かのえたつ,たつ,金,とよう昼八時三分ニ入,くゑ日
《1858-0920》,《暦日0》,五／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1858-0930》,《暦日2》,六／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1858-0940》,《暦日0》,七／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1858-0950》,《節中》,穀雨三月中夕七時七分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1858-0960》,《暦日2》,八／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1858-0970》,《暦日0》,九／,きのとのとり,とる,,　,神よし  くさかりよし
《1858-0980》,《暦日2》,十／,ひのえいぬ,やふる,土,　,五む日
《1858-0990》,《暦日0》,十一／,ひのとのい,あやふ,,　,●
《1858-1000》,《暦日2》,十二／,つちのえね,なる,火,　,母倉 きこ ふく日 わうまう
《1858-1010》,《暦日0》,十三／,つちのとのうし,おさん,,　,十し
《1858-1020》,《暦日2》,十四／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1858-1030》,《暦日0》,十五／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1858-1040》,《暦日2》,十六／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1858-1050》,《暦日0》,十七／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1858-1060》,《暦日2》,十八／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1858-1070》,《暦日0》,十九／,きのとのひつし,たいら,,八十八や,大みやう 五む日 めつもん 地火  ものたちよし
《1858-1080》,《暦日2》,廿／,ひのえさる,さたん,火,　,くゑ日
《1858-1090》,《暦日0》,廿一／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1858-1100》,《暦日2》,廿二／,つちのえいぬ,やふる,木,　,ふく日
《1858-1110》,《暦日0》,廿三／,つちのとのい,やふる,,　,くゑ日 ちう日
《1858-1120》,《節中》,立夏四月せつ明六時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1858-1130》,《暦日2》,廿四／,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
《1858-1140》,《暦日0》,廿五／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1858-1150》,《暦日2》,廿六／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1858-1160》,《暦日0》,廿七／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1858-1170》,《暦日2》,廿八／,きのえたつ,とつ,火,　,大みやう
《1858-1180》,《暦日0》,廿九／,きのとのみ,たつ,,　,●
《1858-1190》,《月序》,四月,小,建,丁巳,房宿　角　木よう
《1858-1200》,《暦日2》,一／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日 わうまう
《1858-1210》,《暦日0》,二／,ひのとのひつし,みつ,,　,さい下しき くゑ日
《1858-1220》,《暦日2》,三／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1858-1230》,《暦日0》,四／,つちのとのとり,さたん,,　,十し
《1858-1240》,《暦日2》,五／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
