«1713-0000»,【 カンマ区切りテキスト形式です。】
«1713-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1713-0870»,«暦日2»,五〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1713-0880»,«暦日0»,六〳,みつのとのひつし,さたん,,　,ちいみ
«1713-0890»,«暦日2»,七〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1713-0900»,«暦日0»,八〳,きのとのとり,やふる,,　,ふく日
«1713-0910»,«暦日2»,九〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1713-0920»,«暦日0»,十〳,ひのとのい,なる,,　,大みやう ちう日
«1713-0930»,«暦日2»,十一〳,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
«1713-0940»,«暦日0»,十二〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1713-0950»,«暦日2»,十三〳,かのえとら,ひらく,木,三月せつうの一刻ニ入,ちいみ  いちたち  つめとりよし
«1713-0960»,«暦日0»,十四〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1713-0970»,«暦日2»,十五〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1713-0980»,«暦日0»,十六〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1713-0990»,«暦日2»,十七〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1713-1000»,«暦日0»,十八〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1713-1010»,«暦日2»,十九〳,ひのえさる,さたん,火,　,くゑ日
«1713-1020»,«暦日0»,廿〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1713-1030»,«暦日2»,廿一〳,つちのえいぬ,やふる,木,　,ふく日
«1713-1040»,«暦日0»,廿二〳,つちのとのい,あやふ,,　,●
«1713-1050»,«暦日2»,廿三〳,かのえね,なる,土,　,神よし きこ
«1713-1060»,«暦日0»,廿四〳,かのとのうし,おさん,,　,十し
«1713-1070»,«暦日2»,廿五〳,みつのえとら,ひらく,金,とようみの二刻ニ入,大みやう ちいみ  つめとりよし
«1713-1080»,«暦日0»,廿六〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1713-1090»,«暦日2»,廿七〳,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
«1713-1100»,«暦日0»,廿八〳,きのとのみ,のそく,,三月中みの七刻,神よし 大みやう ちう日  ふねのりよし
«1713-1110»,«暦日2»,廿九〳,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 天火 らうしやく
«1713-1120»,«暦日0»,卅〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1713-1130»,«月序»,四月,小,建,丁巳,軫宿　翼　火よう
«1713-1140»,«暦日2»,一〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1713-1150»,«暦日0»,二〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1713-1160»,«暦日2»,三〳,かのえいぬ,やふる,金,　,大みやう わうまう
«1713-1170»,«暦日0»,四〳,かのとのい,あやふ,,　,●
«1713-1180»,«暦日2»,五〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1713-1190»,«暦日0»,六〳,みつのとのうし,おさん,,ま日,十し
«1713-1200»,«暦日2»,七〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1713-1210»,«暦日0»,八〳,きのとのう,とつ,,　,神よし  ものたちよし
«1713-1220»,«暦日2»,九〳,ひのえたつ,たつ,土,八十八や|ま日,大みやう  わたましよし
«1713-1230»,«暦日0»,十〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1713-1240»,«暦日2»,十一〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1713-1250»,«暦日0»,十二〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1713-1260»,«暦日2»,十三〳,かのえさる,たいら,木,立夏四月せつさるの三刻ニ入,神よし 大みやう ちいみ 大くわ 地火
«1713-1270»,«暦日0»,十四〳,かのとのとり,さたん,,　,十し
«1713-1280»,«暦日2»,十五〳,みつのえいぬ,とる,水,ま日,ふく日
«1713-1290»,«暦日0»,十六〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1713-1300»,«暦日2»,十七〳,きのえね,あやふ,金,　
«1713-1310»,«暦日0»,十八〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1713-1320»,«暦日2»,十九〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1713-1330»,«暦日0»,廿〳,ひのとのう,ひらく,,　,わうまう  わたましよし
«1713-1340»,«暦日2»,廿一〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1713-1350»,«暦日0»,廿二〳,つちのとのみ,たつ,,　,●
«1713-1360»,«暦日2»,廿三〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1713-1370»,«暦日0»,廿四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1713-1380»,«暦日2»,廿五〳,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
«1713-1390»,«暦日0»,廿六〳,みつのとのとり,さたん,,　,十し
«1713-1400»,«暦日2»,廿七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1713-1410»,«暦日0»,廿八〳,きのとのい,やふる,,四月中いの初刻,ちう日
«1713-1420»,«暦日1»,廿九〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1713-1430»,«月序»,五月,大,建,戊午,角宿　軫　水よう
«1713-1440»,«暦日1»,一〳,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
«1713-1450»,«暦日2»,二〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1713-1460»,«暦日0»,三〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1713-1470»,«暦日2»,四〳,かのえたつ,とつ,金,　, けんふくよし
«1713-1480»,«暦日0»,五〳,かのとのみ,たつ,,　,●
«1713-1490»,«暦日2»,六〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1713-1500»,«暦日0»,七〳,みつのとのひつし,みつ,,　,くゑ日
«1713-1510»,«暦日2»,八〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1713-1520»,«暦日0»,九〳,きのとのとり,さたん,,　,十し
«1713-1530»,«暦日2»,十〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1713-1540»,«暦日0»,十一〳,ひのとのい,やふる,,　,大みやう ちう日
«1713-1550»,«暦日2»,十二〳,つちのえね,あやふ,火,　, けんふくよし
«1713-1560»,«暦日0»,十三〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1713-1570»,«暦日2»,十四〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1713-1580»,«暦日0»,十五〳,かのとのう,おさん,,五月せつうしの五刻ニ入,ちいみ 大くわ  ものたちよし
«1713-1590»,«暦日1»,十六〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1713-1600»,«食記»,月帯蝕三分,　
«1713-1610»,«暦日1»,十七〳,みつのとのみ,とつ,水,天一天上,十し
«1713-1620»,«暦日2»,十八〳,きのえむま,たつ,金,　,天しや よろつよし
«1713-1630»,«暦日0»,十九〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1713-1640»,«暦日2»,廿〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1713-1650»,«暦日0»,廿一〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1713-1660»,«暦日2»,廿二〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1713-1670»,«暦日0»,廿三〳,つちのとのい,とる,,　,神よし ちう日
«1713-1680»,«暦日2»,廿四〳,かのえね,やふる,土,　,●
«1713-1690»,«暦日0»,廿五〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1713-1700»,«暦日2»,廿六〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1713-1710»,«暦日0»,廿七〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1713-1720»,«暦日2»,廿八〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1713-1730»,«暦日0»,廿九〳,きのとのみ,とつ,,　,十し
«1713-1740»,«暦日1»,卅〳,ひのえむま,たつ,水,夏至五月中たつの二刻,さい下しき 大みやう くゑ日 わうまう 下しきうの時
«1713-1750»,«月序»,閏五月,小,隨節用之,亢　金よう
«1713-1760»,«暦日1»,一〳,ひのとのひつし,のそく,水,　,神よし ふく日
«1713-1770»,«暦日2»,二〳,つちのえさる,みつ,土,　,神よし  入学よし
«1713-1780»,«暦日0»,三〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1713-1790»,«暦日2»,四〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1713-1800»,«暦日0»,五〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1713-1810»,«暦日2»,六〳,みつのえね,やふる,木,八せんのはしめ,●
«1713-1820»,«暦日0»,七〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1713-1830»,«暦日2»,八〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1713-1840»,«暦日0»,九〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1713-1850»,«暦日2»,十〳,ひのえたつ,ひらく,土,はんけしやう|ま日,大みやう  けんふく いちたちよし
«1713-1860»,«暦日0»,十一〳,ひのとのみ,とつ,,　,十し
«1713-1870»,«暦日2»,十二〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1713-1880»,«暦日0»,十三〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1713-1890»,«暦日2»,十四〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1713-1900»,«暦日0»,十五〳,かのとのとり,みつ,,六月せつむまの七刻ニ入,神よし 大みやう ちいみ  ものたち 井ほりよし
«1713-1910»,«暦日2»,十六〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1713-1920»,«暦日0»,十七〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1713-1930»,«暦日2»,十八〳,きのえね,とる,金,　,きこ 下しきたつの時
«1713-1940»,«暦日0»,十九〳,きのとのうし,やふる,,　,十し
«1713-1950»,«暦日2»,廿〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1713-1960»,«暦日0»,廿一〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1713-1970»,«暦日2»,廿二〳,つちのえたつ,おさん,木,　,きしく 五む日 ふく日 めつもん
«1713-1980»,«暦日0»,廿三〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1713-1990»,«暦日2»,廿四〳,かのえむま,とつ,土,初伏,●
«1713-2000»,«暦日0»,廿五〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1713-2010»,«暦日2»,廿六〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1713-2020»,«暦日0»,廿七〳,みつのとのとり,みつ,,とようとりの初刻ニ入,神よし 大みやう ちいみ  みそすつくりよし
«1713-2030»,«暦日2»,廿八〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1713-2040»,«暦日0»,廿九〳,きのとのい,さたん,,　,ちう日
«1713-2050»,«月序»,六月,大,建,己未,亢宿　氐　土よう
«1713-2060»,«暦日2»,一〳,ひのえね,とる,水,六月中とりの四刻,きこ 下しきたつの時
«1713-2070»,«暦日0»,二〳,ひのとのうし,やふる,,　,十し
«1713-2080»,«暦日2»,三〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1713-2090»,«暦日0»,四〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1713-2100»,«暦日2»,五〳,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
«1713-2110»,«暦日0»,六〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1713-2120»,«暦日2»,七〳,みつのえむま,とつ,木,　,●
«1713-2130»,«暦日0»,八〳,みつのとのひつし,たつ,,　, たねまきよし
«1713-2140»,«暦日2»,九〳,きのえさる,のそく,水,十方くれニ入,大みやう わうまう
«1713-2150»,«暦日0»,十〳,きのとのとり,みつ,,　,神よし ちいみ
«1713-2160»,«暦日2»,十一〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1713-2170»,«暦日0»,十二〳,ひのとのい,さたん,,　,大みやう ちう日
«1713-2180»,«暦日2»,十三〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1713-2190»,«暦日0»,十四〳,つちのとのうし,やふる,,　,十し
«1713-2200»,«暦日2»,十五〳,かのえとら,あやふ,木,　, やたて  つめとりよし
«1713-2210»,«暦日0»,十六〳,かのとのう,あやふ,,立秋七月せつ夜ねの一刻ニ入,神よし
«1713-2220»,«暦日2»,十七〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1713-2230»,«暦日0»,十八〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1713-2240»,«暦日2»,十九〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1713-2250»,«暦日0»,廿〳,きのとのひつし,とつ,,　,大みやう 五む日
«1713-2260»,«暦日2»,廿一〳,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
«1713-2270»,«暦日0»,廿二〳,ひのとのとり,のそく,,　,十し
«1713-2280»,«暦日2»,廿三〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1713-2290»,«暦日0»,廿四〳,つちのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
«1713-2300»,«暦日2»,廿五〳,かのえね,さたん,土,末伏,神よし ふく日
«1713-2310»,«暦日0»,廿六〳,かのとのうし,とる,,　,●
«1713-2320»,«暦日2»,廿七〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1713-2330»,«暦日0»,廿八〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1713-2340»,«暦日2»,廿九〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
