《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0980》,《暦日2》,十五／,きのえね,なる,金,　,くゑ日 きこ
《0990》,《暦日0》,十六／,きのとのうし,おさん,,　,十し
《1000》,《暦日2》,十七／,ひのえとら,ひらく,火,八十八や,くゑ日 ちいみ
《1010》,《暦日0》,十八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1020》,《暦日2》,十九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1030》,《暦日0》,廿／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1040》,《暦日2》,廿一／,かのえむま,のそく,土,立夏四月せつひつしの四刻ニ入,神よし  さひらき みそすつくりよし
《1050》,《暦日0》,廿二／,かのとのひつし,みつ,,　,大みやう くゑ日
《1060》,《暦日2》,廿三／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1070》,《暦日0》,廿四／,みつのとのとり,さたん,,　,十し
《1080》,《暦日2》,廿五／,きのえいぬ,とる,火,　, やたて くらたてよし
《1090》,《暦日0》,廿六／,きのとのい,やふる,,　,ちう日
《1100》,《暦日2》,廿七／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1110》,《暦日0》,廿八／,ひのとのうし,なる,,　,大みやう きこ わうまう  ものたち  つめとりよし
《1120》,《暦日2》,廿九／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1130》,《暦日0》,卅／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1140》,《月序》,四月,大,建,乙巳,軫宿　鬼　金よう
《1150》,《暦日2》,一／,かのえたつ,とつ,金,　,きしく  けんふくよし
《1160》,《暦日0》,二／,かのとのみ,たつ,,　,●
《1170》,《暦日2》,三／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1180》,《暦日0》,四／,みつのとのひつし,みつ,,　,くゑ日
《1190》,《暦日2》,五／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1200》,《暦日0》,六／,きのとのとり,さたん,,四月中いぬの一刻,十し
《1210》,《暦日2》,七／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1220》,《暦日0》,八／,ひのとのい,やふる,,　,大みやう ちう日
《1230》,《暦日2》,九／,つちのえね,あやふ,火,　, けんふくよし
《1240》,《暦日0》,十／,つちのとのうし,なる,,　,きこ  つめとりよし
《1250》,《暦日2》,十一／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1260》,《暦日0》,十二／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1270》,《暦日2》,十三／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1280》,《暦日0》,十四／,みつのとのみ,たつ,,天一天上,●
《1290》,《暦日2》,十五／,きのえむま,のそく,金,　,天しや よろつよし
《1300》,《暦日0》,十六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1310》,《暦日2》,十七／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1320》,《暦日0》,十八／,ひのとのとり,さたん,,　,十し
《1330》,《暦日2》,十九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1340》,《暦日0》,廿／,つちのとのい,やふる,,　,くゑ日 ちう日
《1350》,《暦日2》,廿一／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1360》,《暦日0》,廿二／,かのとのうし,あやふ,,五月せつねの六刻ニ入,神よし 五む日  つめとりよし
《1370》,《暦日2》,廿三／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1380》,《暦日0》,廿四／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1390》,《暦日2》,廿五／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1400》,《暦日0》,廿六／,きのとのみ,とつ,,　,十し
《1410》,《暦日2》,廿七／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1420》,《暦日0》,廿八／,ひのとのひつし,のそく,,　,神よし ふく日
《1430》,《暦日2》,廿九／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1440》,《暦日0》,卅／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1450》,《月序》,五月,小,建,丙午,角宿　星　日よう
《1460》,《暦日2》,一／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1470》,《暦日0》,二／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1480》,《暦日2》,三／,みつのえね,やふる,木,八せんのはしめ,●
《1490》,《暦日0》,四／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1500》,《暦日2》,五／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1510》,《暦日0》,六／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1520》,《暦日2》,七／,ひのえたつ,ひらく,土,夏至五月中うの三刻/ま日,大みやう わうまう  けんふく いちたちよし
《1530》,《暦日0》,八／,ひのとのみ,とつ,,　,十し
《1540》,《暦日2》,九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1550》,《暦日0》,十／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1560》,《暦日2》,十一／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1570》,《暦日0》,十二／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1580》,《暦日2》,十三／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1590》,《暦日0》,十四／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1600》,《暦日2》,十五／,きのえね,やふる,金,　,●
《1610》,《暦日0》,十六／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1620》,《暦日2》,十七／,ひのえとら,なる,火,はんけしやう,きこ  つめとりよし
《1630》,《暦日0》,十八／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1640》,《暦日2》,十九／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1650》,《暦日0》,廿／,つちのとのみ,とつ,,　,十し
《1660》,《暦日2》,廿一／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1670》,《暦日0》,廿二／,かのとのひつし,たつ,,六月せつむまの初刻ニ入,大みやう  かといて ふねのりよし
《1680》,《暦日2》,廿三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1690》,《暦日0》,廿四／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1700》,《暦日2》,廿五／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
