«1694-0000»,【 カンマ区切りテキスト形式です。】
«1694-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1694-1030»,«暦日2»,廿〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1694-1040»,«暦日0»,廿一〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1694-1050»,«暦日2»,廿二〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1694-1060»,«暦日0»,廿三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1694-1070»,«暦日2»,廿四〳,みつのえいぬ,やふる,水,ま日|とよういぬの一刻ニ入
«1694-1080»,«暦日0»,廿五〳,みつのとのい,あやふ,,八せんのおはり,●
«1694-1090»,«暦日2»,廿六〳,きのえね,なる,金,　,くゑ日 きこ
«1694-1100»,«暦日0»,廿七〳,きのとのうし,おさん,,三月中いぬの六刻,十し
«1694-1110»,«暦日2»,廿八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1694-1120»,«暦日0»,廿九〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1694-1130»,«月序»,四月,大,建,己巳,柳宿　氐　土よう
«1694-1140»,«暦日2»,一〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1694-1150»,«暦日0»,二〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1694-1160»,«暦日2»,三〳,かのえむま,みつ,土,　,天火 らうしやく わうまう  みそすつくりよし
«1694-1170»,«暦日0»,四〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1694-1180»,«暦日2»,五〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1694-1190»,«暦日0»,六〳,みつのとのとり,とる,,　,神よし 大みやう
«1694-1200»,«暦日2»,七〳,きのえいぬ,やふる,火,　, くさかりよし
«1694-1210»,«暦日0»,八〳,きのとのい,あやふ,,　,●
«1694-1220»,«暦日2»,九〳,ひのえね,なる,水,八十八や,きこ
«1694-1230»,«暦日0»,十〳,ひのとのうし,おさん,,　,十し
«1694-1240»,«暦日2»,十一〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1694-1250»,«暦日0»,十二〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1694-1260»,«暦日2»,十三〳,かのえたつ,たつ,金,　,くゑ日
«1694-1270»,«暦日0»,十四〳,かのとのみ,たつ,,立夏四月せつうしの三刻ニ入,●
«1694-1280»,«暦日2»,十五〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1694-1290»,«暦日0»,十六〳,みつのとのひつし,みつ,,　,くゑ日
«1694-1300»,«暦日2»,十七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1694-1310»,«暦日0»,十八〳,きのとのとり,さたん,,　,十し
«1694-1320»,«暦日2»,十九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1694-1330»,«暦日0»,廿〳,ひのとのい,やふる,,　,大みやう ちう日
«1694-1340»,«暦日2»,廿一〳,つちのえね,あやふ,火,　,きしく わうまう  けんふくよし
«1694-1350»,«暦日0»,廿二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1694-1360»,«暦日2»,廿三〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1694-1370»,«暦日0»,廿四〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1694-1380»,«暦日2»,廿五〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1694-1390»,«暦日0»,廿六〳,みつのとのみ,たつ,,天一天上,●
«1694-1400»,«暦日2»,廿七〳,きのえむま,のそく,金,　,天しや よろつよし
«1694-1410»,«暦日0»,廿八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1694-1420»,«暦日2»,廿九〳,ひのえさる,たいら,火,四月中うの八刻,神よし ちいみ 大くわ ふく日 地火  入学よし
«1694-1430»,«暦日0»,卅〳,ひのとのとり,さたん,,　,十し
«1694-1440»,«月序»,五月,大,建,庚午,星宿　心　月よう
«1694-1450»,«暦日2»,一〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1694-1460»,«暦日0»,二〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1694-1470»,«暦日2»,三〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1694-1480»,«暦日0»,四〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1694-1490»,«暦日2»,五〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1694-1500»,«暦日0»,六〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1694-1510»,«暦日2»,七〳,きのえたつ,とつ,火,　,大みやう
«1694-1520»,«暦日0»,八〳,きのとのみ,たつ,,　,●
«1694-1530»,«暦日2»,九〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1694-1540»,«暦日0»,十〳,ひのとのひつし,みつ,,　,くゑ日
«1694-1550»,«暦日2»,十一〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1694-1560»,«暦日0»,十二〳,つちのとのとり,さたん,,　,十し
«1694-1570»,«暦日2»,十三〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1694-1580»,«暦日0»,十四〳,かのとのい,とる,,五月せつむまの五刻ニ入,さい下しき 神よし 大みやう ちう日  入学よし
«1694-1590»,«暦日2»,十五〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1694-1600»,«暦日0»,十六〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1694-1610»,«暦日2»,十七〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1694-1620»,«暦日0»,十八〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1694-1630»,«暦日2»,十九〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
«1694-1640»,«暦日0»,廿〳,ひのとのみ,とつ,,　,十し
«1694-1650»,«暦日2»,廿一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1694-1660»,«暦日0»,廿二〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1694-1670»,«暦日2»,廿三〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1694-1680»,«暦日0»,廿四〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1694-1690»,«暦日2»,廿五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1694-1700»,«暦日0»,廿六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1694-1710»,«暦日2»,廿七〳,きのえね,やふる,金,　,●
«1694-1720»,«暦日0»,廿八〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1694-1730»,«暦日2»,廿九〳,ひのえとら,なる,火,夏至五月中とりの一刻,きこ わうまう  つめとりよし
«1694-1740»,«暦日0»,卅〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1694-1750»,«月序»,閏五月,小,箕　水よう
«1694-1760»,«暦日2»,一〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1694-1770»,«暦日0»,二〳,つちのとのみ,とつ,,　,十し
«1694-1780»,«暦日2»,三〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1694-1790»,«暦日0»,四〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1694-1800»,«暦日2»,五〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1694-1810»,«暦日0»,六〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1694-1820»,«暦日2»,七〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1694-1830»,«暦日0»,八〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1694-1840»,«暦日2»,九〳,ひのえね,やふる,水,はんけしやう,●
«1694-1850»,«暦日0»,十〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1694-1860»,«暦日2»,十一〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1694-1870»,«暦日0»,十二〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1694-1880»,«暦日2»,十三〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1694-1890»,«暦日0»,十四〳,かのとのみ,ひらく,,六月せついの七刻ニ入,ちう日  ものたちよし
«1694-1900»,«暦日2»,十五〳,みつのえむま,とつ,木,　,●
«1694-1910»,«暦日0»,十六〳,みつのとのひつし,たつ,,　, たねまきよし
«1694-1920»,«暦日2»,十七〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
«1694-1930»,«暦日0»,十八〳,きのとのとり,みつ,,　,神よし ちいみ
«1694-1940»,«暦日2»,十九〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1694-1950»,«暦日0»,廿〳,ひのとのい,さたん,,　,大みやう ちう日
«1694-1960»,«暦日2»,廿一〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1694-1970»,«暦日0»,廿二〳,つちのとのうし,やふる,,　,十し
«1694-1980»,«暦日2»,廿三〳,かのえとら,あやふ,木,初伏, やたて  つめとりよし
«1694-1990»,«暦日0»,廿四〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1694-2000»,«暦日2»,廿五〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1694-2010»,«暦日0»,廿六〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1694-2020»,«暦日2»,廿七〳,きのえむま,とつ,金,とよううしの七刻ニ入,●
«1694-2030»,«暦日0»,廿八〳,きのとのひつし,たつ,,　,大みやう 五む日
«1694-2040»,«暦日1»,廿九〳,ひのえさる,のそく,火,　,神よし
«1694-2050»,«月序»,六月,大,建,辛未,張宿　斗　木よう
«1694-2060»,«暦日1»,一〳,ひのとのとり,みつ,火,六月中とらの三刻,神よし ちいみ  くさかりよし
«1694-2070»,«暦日2»,二〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1694-2080»,«暦日0»,三〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1694-2090»,«暦日2»,四〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1694-2100»,«暦日0»,五〳,かのとのうし,やふる,,　,十し
«1694-2110»,«暦日2»,六〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1694-2120»,«暦日0»,七〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1694-2130»,«暦日2»,八〳,きのえたつ,おさん,火,　,大みやう めつもん わうまう  わたましよし
«1694-2140»,«暦日0»,九〳,きのとのみ,ひらく,,　,大みやう ちう日
«1694-2150»,«暦日2»,十〳,ひのえむま,とつ,水,　,●
«1694-2160»,«暦日0»,十一〳,ひのとのひつし,たつ,,　,くゑ日
«1694-2170»,«暦日2»,十二〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1694-2180»,«暦日0»,十三〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1694-2190»,«暦日2»,十四〳,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
