«1721-0000»,【 カンマ区切りテキスト形式です。】
«1721-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1721-1090»,«暦日2»,廿七〳,つちのえね,なる,火,　,きこ ふく日
«1721-1100»,«暦日0»,廿八〳,つちのとのうし,おさん,,　,十し
«1721-1110»,«暦日1»,廿九〳,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
«1721-1120»,«月序»,四月,大,建,癸巳,危宿　女　土よう
«1721-1130»,«暦日1»,一〳,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
«1721-1140»,«暦日2»,二〳,みつのえたつ,たつ,水,　,大みやう 五む日 わうまう
«1721-1150»,«暦日0»,三〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1721-1160»,«暦日2»,四〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1721-1170»,«暦日0»,五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1721-1180»,«暦日2»,六〳,ひのえさる,さたん,火,　,くゑ日
«1721-1190»,«暦日0»,七〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1721-1200»,«暦日2»,八〳,つちのえいぬ,やふる,木,八十八や,ふく日
«1721-1210»,«暦日0»,九〳,つちのとのい,あやふ,,　,●
«1721-1220»,«暦日2»,十〳,かのえね,なる,土,　,神よし きこ
«1721-1230»,«暦日0»,十一〳,かのとのうし,おさん,,　,十し
«1721-1240»,«暦日2»,十二〳,みつのえとら,おさん,金,立夏四月せつひつしの五刻ニ入,大みやう ふく日 めつもん  つめとりよし
«1721-1250»,«暦日0»,十三〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1721-1260»,«暦日2»,十四〳,きのえたつ,とつ,火,　,きしく 大みやう
«1721-1270»,«暦日0»,十五〳,きのとのみ,たつ,,　,●
«1721-1280»,«暦日2»,十六〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1721-1290»,«暦日0»,十七〳,ひのとのひつし,みつ,,　,くゑ日
«1721-1300»,«暦日2»,十八〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1721-1310»,«暦日0»,十九〳,つちのとのとり,さたん,,　,十し
«1721-1320»,«暦日2»,廿〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1721-1330»,«暦日0»,廿一〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1721-1340»,«暦日2»,廿二〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1721-1350»,«暦日0»,廿三〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1721-1360»,«暦日2»,廿四〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1721-1370»,«暦日0»,廿五〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1721-1380»,«暦日2»,廿六〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1721-1390»,«暦日0»,廿七〳,ひのとのみ,たつ,,四月中いぬの二刻,●
«1721-1400»,«暦日2»,廿八〳,つちのえむま,のそく,火,ま日,くゑ日
«1721-1410»,«暦日0»,廿九〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1721-1420»,«暦日1»,卅〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1721-1430»,«月序»,五月,大,建,甲午,室宿　危　月よう
«1721-1440»,«暦日1»,一〳,かのとのとり,さたん,木,　,十し
«1721-1450»,«暦日2»,二〳,みつのえいぬ,とる,水,ま日,ふく日
«1721-1460»,«暦日0»,三〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1721-1470»,«暦日2»,四〳,きのえね,あやふ,金,　
«1721-1480»,«暦日0»,五〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1721-1490»,«暦日2»,六〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1721-1500»,«暦日0»,七〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1721-1510»,«暦日2»,八〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1721-1520»,«暦日0»,九〳,つちのとのみ,たつ,,　,●
«1721-1530»,«暦日2»,十〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1721-1540»,«暦日0»,十一〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1721-1550»,«暦日2»,十二〳,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
«1721-1560»,«暦日0»,十三〳,みつのとのとり,たいら,,五月せつねの七刻ニ入,神よし 大みやう ふく日 めつもん 地火
«1721-1570»,«暦日2»,十四〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1721-1580»,«暦日0»,十五〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1721-1590»,«暦日2»,十六〳,ひのえね,やふる,水,　,●
«1721-1600»,«暦日0»,十七〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1721-1610»,«暦日2»,十八〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1721-1620»,«暦日0»,十九〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1721-1630»,«暦日2»,廿〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1721-1640»,«暦日0»,廿一〳,かのとのみ,とつ,,　,十し
«1721-1650»,«暦日2»,廿二〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1721-1660»,«暦日0»,廿三〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
