«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-0890»,«暦日2»,七〳,きのえいぬ,あやふ,火,　, かといてよし
«1689-0900»,«暦日0»,八〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1689-0910»,«暦日2»,九〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1689-0920»,«暦日0»,十〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1689-0930»,«暦日2»,十一〳,つちのえとら,とつ,土,　,天しや よろつよし
«1689-0940»,«暦日0»,十二〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1689-0950»,«暦日2»,十三〳,かのえたつ,のそく,金,　,●
«1689-0960»,«暦日0»,十四〳,かのとのみ,みつ,,　,十し
«1689-0970»,«暦日1»,十五〳,みつのえむま,たいら,木,　,大みやう 大くわ 地火
«1689-0980»,«食記»,月そく皆つくる
«1689-0990»,«暦日1»,十六〳,みつのとのひつし,さたん,木,　,ちいみ
«1689-1000»,«暦日2»,十七〳,きのえさる,さたん,水,三月せつみの五刻ニ入|十方くれニ入,大みやう くゑ日
«1689-1010»,«暦日0»,十八〳,きのとのとり,とる,,　,神よし  くさかりよし
«1689-1020»,«暦日2»,十九〳,ひのえいぬ,やふる,土,　,五む日
«1689-1030»,«暦日0»,廿〳,ひのとのい,あやふ,,　,●
«1689-1040»,«暦日2»,廿一〳,つちのえね,なる,火,　,きこ ふく日
«1689-1050»,«暦日0»,廿二〳,つちのとのうし,おさん,,　,十し
«1689-1060»,«暦日2»,廿三〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1689-1070»,«暦日0»,廿四〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1689-1080»,«暦日2»,廿五〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1689-1090»,«暦日0»,廿六〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1689-1100»,«暦日2»,廿七〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1689-1110»,«暦日0»,廿八〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1689-1120»,«暦日2»,廿九〳,ひのえさる,さたん,火,とようひつしの六刻ニ入,くゑ日
«1689-1130»,«暦日0»,卅〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1689-1140»,«月序»,三月,小,建,戊辰,畢宿　參　水よう
«1689-1150»,«暦日2»,一〳,つちのえいぬ,やふる,木,　,ふく日
«1689-1160»,«暦日0»,二〳,つちのとのい,あやふ,,三月中さるの二刻,●
«1689-1170»,«暦日2»,三〳,かのえね,なる,土,　,神よし きしく きこ
«1689-1180»,«暦日0»,四〳,かのとのうし,おさん,,　,十し
«1689-1190»,«暦日2»,五〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1689-1200»,«暦日0»,六〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1689-1210»,«暦日2»,七〳,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
«1689-1220»,«暦日0»,八〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1689-1230»,«暦日2»,九〳,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 天火 らうしやく
«1689-1240»,«暦日0»,十〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1689-1250»,«暦日2»,十一〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1689-1260»,«暦日0»,十二〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
