«1809-0000»,【 カンマ区切りテキスト形式です。】
«1809-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1809-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1809-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1809-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1809-0050»,【 外部リンク　】
«1809-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/20 ～ 23】
«1809-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1809h　(翻刻編集終了データを表成型して表示します)】
«1809-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1809ht (翻刻編集中データを表成型して表示します)】
«1809-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1809-0100»,«版元»,出版地○○,出版元□□□,　
«1809-1580»,«暦日0»,六〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1809-1590»,«暦日2»,七〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1809-1600»,«暦日0»,八〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1809-1610»,«暦日2»,九〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1809-1620»,«暦日0»,十〳,つちのとのみ,とつ,,　,十し
«1809-1630»,«節中»,夏至五月中さるの一刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1809-1640»,«暦日2»,十一〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1809-1650»,«暦日0»,十二〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1809-1660»,«暦日2»,十三〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1809-1670»,«暦日0»,十四〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1809-1680»,«暦日2»,十五〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1809-1690»,«暦日0»,十六〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1809-1700»,«暦日2»,十七〳,ひのえね,やふる,水,　,●
«1809-1710»,«暦日0»,十八〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1809-1720»,«暦日2»,十九〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1809-1730»,«暦日0»,廿〳,つちのとのう,おさん,,はんけしやう,大みやう 天おん 母倉 ちいみ 大くわ
«1809-1740»,«暦日2»,廿一〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1809-1750»,«暦日0»,廿二〳,かのとのみ,とつ,,　,十し
«1809-1760»,«暦日2»,廿三〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1809-1770»,«暦日0»,廿四〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1809-1780»,«暦日1»,廿五〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
«1809-1790»,«節中»,小暑六月せついぬの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1809-1800»,«暦日1»,廿六〳,きのとのとり,みつ,水,　,神よし ちいみ
«1809-1810»,«暦日2»,廿七〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1809-1820»,«暦日0»,廿八〳,ひのとのい,さたん,,　,大みやう ちう日
«1809-1830»,«暦日2»,廿九〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1809-1840»,«暦日0»,卅〳,つちのとのうし,やふる,,　,十し
«1809-1850»,«月序»,六月,小,建,辛未,尾宿　角　木よう
«1809-1860»,«暦日2»,一〳,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
«1809-1870»,«暦日0»,二〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1809-1880»,«暦日2»,三〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1809-1890»,«暦日0»,四〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1809-1900»,«暦日2»,五〳,きのえむま,とつ,金,　,●
«1809-1910»,«暦日0»,六〳,きのとのひつし,たつ,,　,大みやう 五む日
«1809-1920»,«暦日2»,七〳,ひのえさる,のそく,火,　,神よし
«1809-1930»,«暦日0»,八〳,ひのとのとり,みつ,,とよう今暁ねの七刻ニ入,神よし ちいみ  くさかりよし
«1809-1940»,«暦日2»,九〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1809-1950»,«暦日0»,十〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1809-1960»,«暦日1»,十一〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1809-1970»,«節中»,大暑六月中今暁うしの三刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1809-1980»,«暦日1»,十二〳,かのとのうし,やふる,土,　,十し
«1809-1990»,«暦日2»,十三〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1809-2000»,«暦日0»,十四〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1809-2010»,«暦日2»,十五〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1809-2020»,«暦日0»,十六〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1809-2030»,«暦日2»,十七〳,ひのえむま,とつ,水,　,●
«1809-2040»,«暦日0»,十八〳,ひのとのひつし,たつ,,　,くゑ日 わうまう
«1809-2050»,«暦日2»,十九〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1809-2060»,«暦日0»,廿〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1809-2070»,«暦日2»,廿一〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1809-2080»,«暦日0»,廿二〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1809-2090»,«暦日2»,廿三〳,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
«1809-2100»,«暦日0»,廿四〳,みつのとのうし,やふる,,ま日,十し
«1809-2110»,«暦日2»,廿五〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1809-2120»,«暦日0»,廿六〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1809-2130»,«節中»,立秋七月せつたつの初刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1809-2140»,«暦日2»,廿七〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1809-2150»,«暦日0»,廿八〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1809-2160»,«暦日1»,廿九〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1809-2170»,«月序»,七月,大,建,壬申,箕宿　亢　金よう
«1809-2180»,«暦日1»,一〳,つちのとのひつし,とつ,火,　,神よし 大みやう 母倉  みそすつくりよし
«1809-2190»,«暦日2»,二〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
«1809-2200»,«暦日0»,三〳,かのとのとり,のそく,,　,十し
«1809-2210»,«暦日2»,四〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1809-2220»,«暦日0»,五〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火 わうまう
«1809-2230»,«暦日2»,六〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1809-2240»,«暦日0»,七〳,きのとのうし,とる,,　,●
«1809-2250»,«暦日2»,八〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1809-2260»,«暦日0»,九〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1809-2270»,«暦日2»,十〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1809-2280»,«暦日0»,十一〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1809-2290»,«暦日1»,十二〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1809-2300»,«節中»,処暑七月中むまの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1809-2310»,«暦日1»,十三〳,かのとのひつし,とつ,土,　,大みやう 母倉  ものたちよし
«1809-2320»,«暦日2»,十四〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1809-2330»,«暦日0»,十五〳,みつのとのとり,のそく,,　,十し
«1809-2340»,«暦日2»,十六〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1809-2350»,«暦日0»,十七〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1809-2360»,«暦日2»,十八〳,ひのえね,さたん,水,　, 田かりよし
«1809-2370»,«暦日0»,十九〳,ひのとのうし,とる,,　,●
«1809-2380»,«暦日2»,廿〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1809-2390»,«暦日0»,廿一〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1809-2400»,«暦日2»,廿二〳,かのえたつ,なる,金,　,きしく 天おん 母倉 ちいみ ふく日  かといてよし
«1809-2410»,«暦日0»,廿三〳,かのとのみ,おさん,,二百十日,天おん 大くわ ちう日
