«1800-0000»,【 カンマ区切りテキスト形式です。】
«1800-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1800-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1800-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1800-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1800-0050»,【 外部リンク　】
«1800-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/261 ～ 266】
«1800-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1800h　(翻刻編集終了データを表成型して表示します)】
«1800-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1800ht (翻刻編集中データを表成型して表示します)】
«1800-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1800-0100»,«版元»,出版地○○,出版元□□□,　
«1800-1830»,«暦日2»,廿八〳,かのえたつ,ひらく,金,　,きしく 天おん  けんふく かといてよし
«1800-1840»,«暦日0»,廿九〳,かのとのみ,とつ,,　,十し
«1800-1850»,«月序»,五月,大,建,壬午,牛宿　星　日よう
«1800-1860»,«暦日1»,一〳,みつのえむま,たつ,木,　,大みやう 天おん わうまう 下しきうの時
«1800-1870»,«節中»,夏至五月中みの八刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1800-1880»,«暦日1»,二〳,みつのとのひつし,のそく,木,　,天おん ふく日  田うへよし
«1800-1890»,«暦日2»,三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1800-1900»,«暦日0»,四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1800-1910»,«暦日2»,五〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1800-1920»,«暦日0»,六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1800-1930»,«暦日2»,七〳,つちのえね,やふる,火,　,●
«1800-1940»,«暦日0»,八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1800-1950»,«暦日2»,九〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1800-1960»,«暦日0»,十〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1800-1970»,«暦日2»,十一〳,みつのえたつ,ひらく,水,はんけしやう,大みやう 五む日
«1800-1980»,«暦日0»,十二〳,みつのとのみ,とつ,,天一天上,十し
«1800-1990»,«暦日2»,十三〳,きのえむま,たつ,金,　,天しや よろつよし
«1800-2000»,«暦日0»,十四〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1800-2010»,«暦日2»,十五〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1800-2020»,«暦日0»,十六〳,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
«1800-2030»,«節中»,小暑六月せつさるの五刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1800-2040»,«暦日2»,十七〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1800-2050»,«暦日0»,十八〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1800-2060»,«暦日2»,十九〳,かのえね,とる,土,　,きこ 下しきたつの時
«1800-2070»,«暦日0»,廿〳,かのとのうし,やふる,,　,十し
«1800-2080»,«暦日2»,廿一〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1800-2090»,«暦日0»,廿二〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1800-2100»,«暦日2»,廿三〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1800-2110»,«暦日0»,廿四〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1800-2120»,«暦日2»,廿五〳,ひのえむま,とつ,水,　,●
«1800-2130»,«暦日0»,廿六〳,ひのとのひつし,たつ,,　,くゑ日
«1800-2140»,«暦日2»,廿七〳,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
«1800-2150»,«暦日0»,廿八〳,つちのとのとり,みつ,,とよういぬの六刻ニ入,神よし 大みやう 天おん 月とく ちいみ ふく日
«1800-2160»,«暦日2»,廿九〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1800-2170»,«暦日0»,卅〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1800-2180»,«月序»,六月,小,建,癸未,女宿　翼　火よう
«1800-2190»,«暦日1»,一〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1800-2200»,«節中»,大暑六月中いの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1800-2210»,«暦日1»,二〳,みつのとのうし,やふる,木,ま日,十し
«1800-2220»,«暦日2»,三〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1800-2230»,«暦日0»,四〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1800-2240»,«暦日2»,五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1800-2250»,«暦日0»,六〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1800-2260»,«暦日2»,七〳,つちのえむま,とつ,火,ま日,●
«1800-2270»,«暦日0»,八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1800-2280»,«暦日2»,九〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1800-2290»,«暦日0»,十〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1800-2300»,«暦日2»,十一〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1800-2310»,«暦日0»,十二〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1800-2320»,«暦日2»,十三〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1800-2330»,«暦日0»,十四〳,きのとのうし,やふる,,　,十し
«1800-2340»,«暦日2»,十五〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1800-2350»,«暦日0»,十六〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1800-2360»,«暦日1»,十七〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1800-2370»,«節中»,立秋七月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1800-2380»,«暦日1»,十八〳,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
«1800-2390»,«暦日2»,十九〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1800-2400»,«暦日0»,廿〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1800-2410»,«暦日2»,廿一〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1800-2420»,«暦日0»,廿二〳,みつのとのとり,のそく,,　,十し
«1800-2430»,«暦日2»,廿三〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1800-2440»,«暦日0»,廿四〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1800-2450»,«暦日2»,廿五〳,ひのえね,さたん,水,　,きしく わうまう  田かりよし
«1800-2460»,«暦日0»,廿六〳,ひのとのうし,とる,,　,●
«1800-2470»,«暦日2»,廿七〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1800-2480»,«暦日0»,廿八〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1800-2490»,«暦日1»,廿九〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1800-2500»,«月序»,七月,大,建,甲申,虛宿　軫　水よう
«1800-2510»,«暦日1»,一〳,かのとのみ,おさん,金,　,天おん 大くわ ちう日
«1800-2520»,«暦日2»,二〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1800-2530»,«暦日0»,三〳,みつのとのひつし,とつ,,　,天おん 母倉
«1800-2540»,«節中»,処暑七月中たつの四刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1800-2550»,«暦日2»,四〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1800-2560»,«暦日0»,五〳,きのとのとり,のそく,,　,十し
«1800-2570»,«暦日2»,六〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1800-2580»,«暦日0»,七〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
