《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-1130》,《暦日1》,一／,きのとのう,ひらく,水,　,神よし  さひらきよし
《1722-1140》,《暦日2》,二／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1722-1150》,《暦日0》,三／,ひのとのみ,たつ,,　,●
《1722-1160》,《暦日2》,四／,つちのえむま,のそく,火,ま日,くゑ日
《1722-1170》,《暦日0》,五／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1722-1180》,《暦日2》,六／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1722-1190》,《暦日0》,七／,かのとのとり,さたん,,　,十し
《1722-1200》,《暦日2》,八／,みつのえいぬ,とる,水,ま日,ふく日
《1722-1210》,《暦日0》,九／,みつのとのい,やふる,,四月中うしの一刻/八せんのおはり,くゑ日 ちう日
《1722-1220》,《暦日2》,十／,きのえね,あやふ,金,　
《1722-1230》,《暦日0》,十一／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1722-1240》,《暦日2》,十二／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1722-1250》,《暦日0》,十三／,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
《1722-1260》,《暦日2》,十四／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1722-1270》,《暦日0》,十五／,つちのとのみ,たつ,,　,●
《1722-1280》,《暦日2》,十六／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1722-1290》,《暦日0》,十七／,かのとのひつし,みつ,,　,大みやう くゑ日
《1722-1300》,《暦日2》,十八／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1722-1310》,《暦日0》,十九／,みつのとのとり,さたん,,　,十し
《1722-1320》,《暦日2》,廿／,きのえいぬ,とる,火,　, やたて くらたてよし
《1722-1330》,《暦日0》,廿一／,きのとのい,やふる,,　,ちう日
《1722-1340》,《暦日2》,廿二／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
《1722-1350》,《暦日0》,廿三／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1722-1360》,《暦日2》,廿四／,つちのえとら,なる,土,五月せつうの六刻ニ入,きこ  みそすつくり  つめとりよし
《1722-1370》,《暦日0》,廿五／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1722-1380》,《暦日2》,廿六／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1722-1390》,《暦日0》,廿七／,かのとのみ,とつ,,　,十し
《1722-1400》,《暦日2》,廿八／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1722-1410》,《暦日0》,廿九／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1722-1420》,《暦日1》,卅／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1722-1430》,《月序》,五月,小,建,丙午,星宿　房　日よう
《1722-1440》,《暦日1》,一／,きのとのとり,たいら,水,　,神よし めつもん 地火
《1722-1450》,《暦日2》,二／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1722-1460》,《暦日0》,三／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1722-1470》,《暦日2》,四／,つちのえね,やふる,火,　,●
《1722-1480》,《暦日0》,五／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1722-1490》,《暦日2》,六／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1722-1500》,《暦日0》,七／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1722-1510》,《暦日2》,八／,みつのえたつ,ひらく,水,　,大みやう 五む日
