《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1930》,《節中》,小暑六月せつむまの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1940》,《暦日1》,八／,かのとのい,さたん,金,　,大みやう 天おん ちう日
《1950》,《暦日2》,九／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1960》,《暦日0》,十／,みつのとのうし,やふる,,ま日,十し
《1970》,《暦日2》,十一／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1980》,《暦日0》,十二／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1990》,《暦日2》,十三／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2000》,《暦日0》,十四／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2010》,《暦日2》,十五／,つちのえむま,とつ,火,ま日,●
《2020》,《暦日0》,十六／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2030》,《暦日2》,十七／,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
《2040》,《暦日0》,十八／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2050》,《暦日2》,十九／,みつのえいぬ,たいら,水,ま日/とようさるの一刻ニ入,大くわ 地火
《2060》,《暦日0》,廿／,みつのとのい,さたん,,八せんのおはり,ちう日
《2070》,《暦日2》,廿一／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2080》,《暦日0》,廿二／,きのとのうし,やふる,,　,十し
《2090》,《節中》,大暑六月中さるの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2100》,《暦日2》,廿三／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2110》,《暦日0》,廿四／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2120》,《暦日2》,廿五／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2130》,《暦日0》,廿六／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2140》,《暦日2》,廿七／,かのえむま,とつ,土,中伏,●
《2150》,《暦日0》,廿八／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2160》,《暦日2》,廿九／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《2170》,《暦日0》,卅／,みつのとのとり,みつ,,　,大みやう ちいみ わうまう  みそすつくりよし
《2180》,《月序》,七月,小,建,丙申,奎宿　星　日よう
《2190》,《暦日2》,一／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2200》,《暦日0》,二／,きのとのい,さたん,,　,ちう日
《2210》,《暦日2》,三／,ひのえね,とる,水,　,きこ 下しきたつの時
《2220》,《暦日0》,四／,ひのとのうし,やふる,,　,十し
《2230》,《暦日2》,五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2240》,《暦日0》,六／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2250》,《暦日1》,七／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《2260》,《節中》,立秋七月せついの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2270》,《暦日1》,八／,かのとのみ,おさん,金,　,天おん 大くわ ちう日
《2280》,《暦日2》,九／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2290》,《暦日0》,十／,みつのとのひつし,とつ,,　,天おん 母倉
《2300》,《暦日2》,十一／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2310》,《暦日0》,十二／,きのとのとり,のそく,,　,十し
《2320》,《暦日2》,十三／,ひのえいぬ,みつ,土,　,母倉 五む日
《2330》,《暦日0》,十四／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2340》,《暦日2》,十五／,つちのえね,さたん,火,　, けんふく くさかりよし
《2350》,《暦日0》,十六／,つちのとのうし,とる,,　,●
《2360》,《暦日2》,十七／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2370》,《暦日0》,十八／,かのとのう,あやふ,,　,神よし
《2380》,《暦日2》,十九／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2390》,《暦日0》,廿／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2400》,《暦日2》,廿一／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2410》,《暦日0》,廿二／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2420》,《暦日1》,廿三／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2430》,《節中》,処暑七月中今暁うしの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2440》,《暦日1》,廿四／,ひのとのとり,のそく,火,　,十し
《2450》,《暦日2》,廿五／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2460》,《暦日0》,廿六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2470》,《暦日2》,廿七／,かのえね,さたん,土,　,さい下しき 神よし きしく ふく日
《2480》,《暦日0》,廿八／,かのとのうし,とる,,　,●
《2490》,《暦日1》,廿九／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2500》,《月序》,八月,大,建,丁酉,婁宿　張　月よう
《2510》,《暦日1》,一／,みつのとのう,あやふ,金,　,神よし  わたまし みそすつくりよし
《2520》,《暦日2》,二／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2530》,《暦日0》,三／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2540》,《暦日2》,四／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2550》,《暦日0》,五／,ひのとのひつし,とつ,,二百十日,神よし 母倉 月とく  いちたちよし
《2560》,《暦日2》,六／,つちのえさる,たつ,土,　,天しや よろつよし
《2570》,《暦日0》,七／,つちのとのとり,のそく,,　,十し
《2580》,《暦日2》,八／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2590》,《暦日0》,九／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2600》,《節中》,白露八月せつたつの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2610》,《暦日2》,十／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
