«1835-0000»,【 カンマ区切りテキスト形式です。】
«1835-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1835-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1835-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1835-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1835-0050»,【 外部リンク　】
«1835-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/130 ～ 134】
«1835-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1835h　(翻刻編集終了データを表成型して表示します)】
«1835-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1835ht (翻刻編集中データを表成型して表示します)】
«1835-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1835-0100»,«版元»,出版地○○,出版元□□□,　
«1835-1690»,«暦日0»,十七〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1835-1700»,«暦日2»,十八〳,ひのえね,やふる,水,　,●
«1835-1710»,«暦日0»,十九〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1835-1720»,«暦日2»,廿〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1835-1730»,«暦日0»,廿一〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1835-1740»,«暦日2»,廿二〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1835-1750»,«暦日0»,廿三〳,かのとのみ,とつ,,　,十し
«1835-1760»,«暦日2»,廿四〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1835-1770»,«暦日0»,廿五〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1835-1780»,«暦日2»,廿六〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1835-1790»,«暦日0»,廿七〳,きのとのとり,たいら,,　,めつもん 地火 わうまう
«1835-1800»,«節中»,夏至五月中いの六刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1835-1810»,«暦日2»,廿八〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1835-1820»,«暦日0»,廿九〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1835-1830»,«暦日1»,卅〳,つちのえね,やふる,火,　,●
«1835-1840»,«月序»,六月,大,建,癸未,女宿　婁　金よう
«1835-1850»,«暦日1»,一〳,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
«1835-1860»,«暦日2»,二〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1835-1870»,«暦日0»,三〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1835-1880»,«暦日2»,四〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1835-1890»,«暦日0»,五〳,みつのとのみ,とつ,,天一天上,十し
«1835-1900»,«暦日2»,六〳,きのえむま,たつ,金,　,天しや よろつよし
