《1849-0000》,# カンマ区切りテキスト形式です。
《1849-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1849-0020》,# ・表の区画内での改行は“/”で表記します。
《1849-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1849-1730》,《暦日0》,廿／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1849-1740》,《暦日2》,廿一／,つちのえね,やふる,火,　,●
《1849-1750》,《暦日0》,廿二／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1849-1760》,《暦日2》,廿三／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1849-1770》,《暦日0》,廿四／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1849-1780》,《暦日2》,廿五／,みつのえたつ,ひらく,水,入梅,きしく 大みやう 五む日
《1849-1790》,《暦日0》,廿六／,みつのとのみ,とつ,,天一天上,十し
《1849-1800》,《暦日2》,廿七／,きのえむま,たつ,金,　,天しや よろつよし
《1849-1810》,《暦日0》,廿八／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1849-1820》,《暦日1》,廿九／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1849-1830》,《月序》,五月,大,建,庚午,牛宿　軫　水よう
《1849-1840》,《暦日1》,一／,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
《1849-1850》,《暦日1》,二／,つちのえいぬ,さたん,木,　,わうまう  かまぬり 田うへよし
《1849-1860》,《節中》,夏至五月中夜四時二分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1849-1870》,《暦日1》,三／,つちのとのい,とる,木,　,神よし ちう日
《1849-1880》,《暦日2》,四／,かのえね,やふる,土,　,●
《1849-1890》,《暦日0》,五／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1849-1900》,《暦日2》,六／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1849-1910》,《暦日0》,七／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1849-1920》,《暦日2》,八／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1849-1930》,《暦日0》,九／,きのとのみ,とつ,,　,十し
《1849-1940》,《暦日2》,十／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1849-1950》,《暦日0》,十一／,ひのとのひつし,のそく,,　,神よし ふく日
《1849-1960》,《暦日2》,十二／,つちのえさる,みつ,土,　,神よし  入学よし
《1849-1970》,《暦日0》,十三／,つちのとのとり,たいら,,はんけしやう,神よし 大みやう 天おん めつもん 地火
《1849-1980》,《暦日2》,十四／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1849-1990》,《暦日0》,十五／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1849-2000》,《暦日2》,十六／,みつのえね,やふる,木,八せんのはしめ,●
《1849-2010》,《暦日0》,十七／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1849-2020》,《暦日1》,十八／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1849-2030》,《節中》,小暑六月せつ昼八時七分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
