《1742-0000》,# カンマ区切りテキスト形式です。
《1742-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1742-0020》,# ・表の区画内での改行は“/”で表記します。
《1742-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1742-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1742-0050》,# 外部リンク
《1742-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/196 ～ 204
《1742-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1742g　(GitHub上データを表成型)
《1742-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1742h　(翻刻編集データを表成型 - 未実装)
《1742-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1742-0100》,《版元》,出版地○○,出版元□□□,　
《1742-0960》,《暦日2》,九／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1742-0970》,《暦日0》,十／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1742-0980》,《暦日2》,十一／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1742-0990》,《暦日0》,十二／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1742-1000》,《暦日2》,十三／,みつのえさる,さたん,金,　,大みやう くゑ日
《1742-1010》,《暦日0》,十四／,みつのとのとり,とる,,　,神よし 大みやう
《1742-1020》,《暦日2》,十五／,きのえいぬ,やふる,火,とようみの三刻ニ入, くさかりよし
《1742-1030》,《暦日0》,十六／,きのとのい,あやふ,,　,●
《1742-1040》,《暦日2》,十七／,ひのえね,なる,水,　,きこ
《1742-1050》,《暦日0》,十八／,ひのとのうし,おさん,,　,十し
《1742-1060》,《節中》,穀雨三月中みの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1742-1070》,《暦日2》,十九／,つちのえとら,ひらく,土,　,天しや よろつよし
《1742-1080》,《暦日0》,廿／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1742-1090》,《暦日2》,廿一／,かのえたつ,たつ,金,　,くゑ日
《1742-1100》,《暦日0》,廿二／,かのとのみ,のそく,,　,ちう日
《1742-1110》,《暦日2》,廿三／,みつのえむま,みつ,木,　,大みやう 天火 らうしやく わうまう
《1742-1120》,《暦日0》,廿四／,みつのとのひつし,たいら,,　,めつもん 地火
《1742-1130》,《暦日2》,廿五／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1742-1140》,《暦日0》,廿六／,きのとのとり,とる,,　,神よし  くさかりよし
《1742-1150》,《暦日2》,廿七／,ひのえいぬ,やふる,土,　,五む日
《1742-1160》,《暦日0》,廿八／,ひのとのい,あやふ,,　,●
《1742-1170》,《暦日2》,廿九／,つちのえね,なる,火,八十八や,きこ ふく日
《1742-1180》,《暦日0》,卅／,つちのとのうし,おさん,,　,十し
《1742-1190》,《月序》,四月,小,建,乙巳,危宿　胃　土よう
《1742-1200》,《暦日2》,一／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1742-1210》,《暦日0》,二／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1742-1220》,《暦日1》,三／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1742-1230》,《節中》,立夏四月せつさるの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1742-1240》,《暦日1》,四／,みつのとのみ,たつ,水,天一天上,●
《1742-1250》,《暦日2》,五／,きのえむま,のそく,金,　,天しや よろつよし
《1742-1260》,《暦日0》,六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1742-1270》,《暦日2》,七／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1742-1280》,《暦日0》,八／,ひのとのとり,さたん,,　,十し
《1742-1290》,《暦日2》,九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1742-1300》,《暦日0》,十／,つちのとのい,やふる,,　,くゑ日 ちう日 わうまう
《1742-1310》,《暦日2》,十一／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1742-1320》,《暦日0》,十二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1742-1330》,《暦日2》,十三／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1742-1340》,《暦日0》,十四／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1742-1350》,《暦日1》,十五／,きのえたつ,とつ,火,　,大みやう
《1742-1360》,《食記》,月そく四分
《1742-1370》,《暦日1》,十六／,きのとのみ,たつ,火,　,●
《1742-1380》,《暦日2》,十七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1742-1390》,《暦日0》,十八／,ひのとのひつし,みつ,,　,くゑ日
《1742-1400》,《節中》,小満四月中いの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1742-1410》,《暦日2》,十九／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1742-1420》,《暦日0》,廿／,つちのとのとり,さたん,,　,十し
《1742-1430》,《暦日2》,廿一／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1742-1440》,《暦日0》,廿二／,かのとのい,やふる,,　,さい下しき 神よし 大みやう ちう日  さひらきよし
《1742-1450》,《暦日2》,廿三／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1742-1460》,《暦日0》,廿四／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1742-1470》,《暦日2》,廿五／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1742-1480》,《暦日0》,廿六／,きのとのう,ひらく,,　,神よし  さひらきよし
《1742-1490》,《暦日2》,廿七／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1742-1500》,《暦日0》,廿八／,ひのとのみ,たつ,,　,●
《1742-1510》,《暦日1》,廿九／,つちのえむま,のそく,火,ま日,くゑ日
《1742-1520》,《月序》,五月,小,建,丙午,室宿　昴　日よう
《1742-1530》,《暦日1》,一／,つちのとのひつし,みつ,火,　,大みやう くゑ日
《1742-1540》,《食記》,日そく八分,たつの八刻西の方よりかけはしめミの初刻甚/ミの五刻東の方におはる
《1742-1550》,《暦日2》,二／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1742-1560》,《暦日0》,三／,かのとのとり,さたん,,　,十し
《1742-1570》,《暦日1》,四／,みつのえいぬ,とる,水,ま日,ふく日
《1742-1580》,《節中》,芒種五月せつ翌うしの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1742-1590》,《暦日1》,五／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1742-1600》,《暦日2》,六／,きのえね,やふる,金,　,●
《1742-1610》,《暦日0》,七／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1742-1620》,《暦日2》,八／,ひのえとら,なる,火,　,きこ  つめとりよし
《1742-1630》,《暦日0》,九／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1742-1640》,《暦日2》,十／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1742-1650》,《暦日0》,十一／,つちのとのみ,とつ,,　,十し
《1742-1660》,《暦日2》,十二／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1742-1670》,《暦日0》,十三／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1742-1680》,《暦日2》,十四／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1742-1690》,《暦日0》,十五／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1742-1700》,《暦日2》,十六／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1742-1710》,《暦日0》,十七／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1742-1720》,《暦日2》,十八／,ひのえね,やふる,水,　,●
《1742-1730》,《暦日0》,十九／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1742-1740》,《暦日1》,廿／,つちのえとら,なる,土,　,きこ わうまう  みそすつくり  つめとりよし
《1742-1750》,《節中》,夏至五月中たつの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1742-1760》,《暦日1》,廿一／,つちのとのう,おさん,土,　,大みやう ちいみ 大くわ
《1742-1770》,《暦日2》,廿二／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1742-1780》,《暦日0》,廿三／,かのとのみ,とつ,,　,十し
《1742-1790》,《暦日2》,廿四／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1742-1800》,《暦日0》,廿五／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1742-1810》,《暦日2》,廿六／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1742-1820》,《暦日0》,廿七／,きのとのとり,たいら,,　,神よし めつもん 地火
《1742-1830》,《暦日2》,廿八／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1742-1840》,《暦日0》,廿九／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1742-1850》,《月序》,六月,大,建,丁未,壁宿　畢　月よう
《1742-1860》,《暦日2》,一／,つちのえね,やふる,火,はんけしやう,●
《1742-1870》,《暦日0》,二／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1742-1880》,《暦日2》,三／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1742-1890》,《暦日0》,四／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1742-1900》,《暦日2》,五／,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
《1742-1910》,《暦日0》,六／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1742-1920》,《節中》,小暑六月せつひつしの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1742-1930》,《暦日2》,七／,きのえむま,とつ,金,　,●
《1742-1940》,《暦日0》,八／,きのとのひつし,たつ,,　,大みやう 五む日
《1742-1950》,《暦日2》,九／,ひのえさる,のそく,火,　,神よし
《1742-1960》,《暦日0》,十／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1742-1970》,《暦日2》,十一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1742-1980》,《暦日0》,十二／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1742-1990》,《暦日2》,十三／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1742-2000》,《暦日0》,十四／,かのとのうし,やふる,,　,十し
《1742-2010》,《暦日2》,十五／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1742-2020》,《暦日0》,十六／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1742-2030》,《暦日2》,十七／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1742-2040》,《暦日0》,十八／,きのとのみ,ひらく,,とようとりの一刻ニ入,大みやう ちう日
《1742-2050》,《暦日2》,十九／,ひのえむま,とつ,水,　,●
《1742-2060》,《暦日0》,廿／,ひのとのひつし,たつ,,　,くゑ日
《1742-2070》,《暦日1》,廿一／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1742-2080》,《節中》,大暑六月中とりの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1742-2090》,《暦日1》,廿二／,つちのとのとり,みつ,土,　,神よし 大みやう ちいみ ふく日
《1742-2100》,《暦日2》,廿三／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
《1742-2110》,《暦日0》,廿四／,かのとのい,さたん,,　,さい下しき 大みやう ちう日
《1742-2120》,《暦日2》,廿五／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1742-2130》,《暦日0》,廿六／,みつのとのうし,やふる,,ま日,十し
《1742-2140》,《暦日2》,廿七／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1742-2150》,《暦日0》,廿八／,きのとのう,なる,,　,神よし 天火 らうしやく
《1742-2160》,《暦日2》,廿九／,ひのえたつ,おさん,土,ま日,大みやう めつもん わうまう  けんふくよし
《1742-2170》,《暦日0》,卅／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1742-2180》,《月序》,七月,小,建,戊申,奎宿　參　水よう
《1742-2190》,《暦日2》,一／,つちのえむま,とつ,火,ま日,●
《1742-2200》,《暦日0》,二／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1742-2210》,《暦日2》,三／,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
《1742-2220》,《暦日0》,四／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1742-2230》,《暦日2》,五／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1742-2240》,《暦日0》,六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1742-2250》,《節中》,立秋七月せつ夜ねの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1742-2260》,《暦日2》,七／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1742-2270》,《暦日0》,八／,きのとのうし,とる,,　,●
《1742-2280》,《暦日2》,九／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1742-2290》,《暦日0》,十／,ひのとのう,あやふ,,　,神よし  わたましよし
《1742-2300》,《暦日2》,十一／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1742-2310》,《暦日0》,十二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1742-2320》,《暦日2》,十三／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1742-2330》,《暦日0》,十四／,かのとのひつし,とつ,,　,大みやう わうまう  ものたちよし
《1742-2340》,《暦日2》,十五／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1742-2350》,《暦日0》,十六／,みつのとのとり,のそく,,　,十し
《1742-2360》,《暦日2》,十七／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1742-2370》,《暦日0》,十八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1742-2380》,《暦日2》,十九／,ひのえね,さたん,水,　, 田かりよし
《1742-2390》,《暦日0》,廿／,ひのとのうし,とる,,　,●
《1742-2400》,《暦日1》,廿一／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1742-2410》,《節中》,処暑七月中翌とらの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1742-2420》,《暦日1》,廿二／,つちのとのう,あやふ,土,　,神よし 大みやう  みそすつくりよし
《1742-2430》,《暦日2》,廿三／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1742-2440》,《暦日0》,廿四／,かのとのみ,おさん,,　,大くわ ちう日
《1742-2450》,《暦日2》,廿五／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1742-2460》,《暦日0》,廿六／,みつのとのひつし,とつ,,　
《1742-2470》,《暦日2》,廿七／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1742-2480》,《暦日0》,廿八／,きのとのとり,のそく,,　,十し
《1742-2490》,《暦日1》,廿九／,ひのえいぬ,みつ,土,　,五む日
《1742-2500》,《月序》,八月,大,建,己酉,婁宿　井　木よう
《1742-2510》,《暦日1》,一／,ひのとのい,たいら,土,　,大みやう ちう日 めつもん 地火
《1742-2520》,《暦日2》,二／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《1742-2530》,《暦日0》,三／,つちのとのうし,とる,,　,●
《1742-2540》,《暦日2》,四／,かのえとら,やふる,木,二百十日,ふく日  つめとりよし
《1742-2550》,《暦日0》,五／,かのとのう,あやふ,,　,神よし
《1742-2560》,《暦日2》,六／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1742-2570》,《暦日0》,七／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1742-2580》,《暦日1》,八／,きのえむま,おさん,金,　,めつもん
《1742-2590》,《節中》,白露八月せつみの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1742-2600》,《暦日1》,九／,きのとのひつし,ひらく,金,　,●
《1742-2610》,《暦日2》,十／,ひのえさる,とつ,火,　,神よし
《1742-2620》,《暦日0》,十一／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1742-2630》,《暦日2》,十二／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1742-2640》,《暦日0》,十三／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1742-2650》,《暦日2》,十四／,かのえね,たいら,土,二百廿日,神よし 大くわ 地火
《1742-2660》,《暦日0》,十五／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1742-2670》,《暦日2》,十六／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1742-2680》,《暦日0》,十七／,みつのとのう,やふる,,　, くらたて 田かりよし
《1742-2690》,《暦日2》,十八／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1742-2700》,《暦日0》,十九／,きのとのみ,なる,,　,十し
《1742-2710》,《暦日2》,廿／,ひのえむま,おさん,水,　,大みやう めつもん
《1742-2720》,《暦日0》,廿一／,ひのとのひつし,ひらく,,　,●
《1742-2730》,《暦日2》,廿二／,つちのえさる,とつ,土,社日,天しや よろつよし
《1742-2740》,《暦日0》,廿三／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
