《1793-0000》,# カンマ区切りテキスト形式です。
《1793-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1793-0020》,# ・表の区画内での改行は“/”で表記します。
《1793-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1793-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1793-0050》,# 外部リンク
《1793-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/229 ～ 233
《1793-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1793g　(GitHub上データを表成型)
《1793-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1793h　(翻刻編集データを表成型 - 未実装)
《1793-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1793-0100》,《版元》,出版地○○,出版元□□□,　
《1793-1730》,《暦日2》,廿／,みつのえね,やふる,木,八せんのはしめ,●
《1793-1740》,《暦日0》,廿一／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1793-1750》,《暦日2》,廿二／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1793-1760》,《暦日0》,廿三／,きのとのう,おさん,,はんけしやう,母倉 ちいみ 大くわ  ものたちよし
《1793-1770》,《暦日2》,廿四／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1793-1780》,《暦日0》,廿五／,ひのとのみ,とつ,,　,十し
《1793-1790》,《暦日2》,廿六／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1793-1800》,《暦日0》,廿七／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1793-1810》,《暦日1》,廿八／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1793-1820》,《節中》,小暑六月せついの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1793-1830》,《暦日1》,廿九／,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1793-1840》,《月序》,六月,大,建,己未,女宿　心　月よう
《1793-1850》,《暦日2》,一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1793-1860》,《暦日0》,二／,みつのとのい,さたん,,八せんのおはり,ちう日
《1793-1870》,《暦日2》,三／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1793-1880》,《暦日0》,四／,きのとのうし,やふる,,　,十し
《1793-1890》,《暦日2》,五／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1793-1900》,《暦日0》,六／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1793-1910》,《暦日2》,七／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1793-1920》,《暦日0》,八／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1793-1930》,《暦日2》,九／,かのえむま,とつ,土,初伏,●
《1793-1940》,《暦日0》,十／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1793-1950》,《暦日2》,十一／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1793-1960》,《暦日0》,十二／,みつのとのとり,みつ,,とよう今暁うしの八刻ニ入,神よし 大みやう ちいみ  みそすつくりよし
《1793-1970》,《暦日2》,十三／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1793-1980》,《暦日0》,十四／,きのとのい,さたん,,　,ちう日
《1793-1990》,《暦日1》,十五／,ひのえね,とる,水,　,きこ 下しきたつの時
《1793-2000》,《節中》,大暑六月中今暁とらの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1793-2010》,《暦日1》,十六／,ひのとのうし,やふる,水,　,十し
《1793-2020》,《暦日2》,十七／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1793-2030》,《暦日0》,十八／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1793-2040》,《暦日2》,十九／,かのえたつ,おさん,金,中伏,きしく 天おん めつもん  けんふくよし
《1793-2050》,《暦日0》,廿／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1793-2060》,《暦日2》,廿一／,みつのえむま,とつ,木,　,●
《1793-2070》,《暦日0》,廿二／,みつのとのひつし,たつ,,　,天おん わうまう  たねまきよし
《1793-2080》,《暦日2》,廿三／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1793-2090》,《暦日0》,廿四／,きのとのとり,みつ,,　,神よし ちいみ
《1793-2100》,《暦日2》,廿五／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1793-2110》,《暦日0》,廿六／,ひのとのい,さたん,,　,大みやう ちう日
《1793-2120》,《暦日2》,廿七／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1793-2130》,《暦日0》,廿八／,つちのとのうし,やふる,,　,十し
《1793-2140》,《暦日2》,廿九／,かのえとら,あやふ,木,　,さい下しき 母倉  やたて  つめとりよし
《1793-2150》,《暦日0》,卅／,かのとのう,あやふ,,　,神よし
《1793-2160》,《節中》,立秋七月せつみの初刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1793-2170》,《月序》,七月,小,建,庚申,虛宿　箕　水よう
《1793-2180》,《暦日2》,一／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1793-2190》,《暦日0》,二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1793-2200》,《暦日2》,三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1793-2210》,《暦日0》,四／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1793-2220》,《暦日2》,五／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1793-2230》,《暦日0》,六／,ひのとのとり,のそく,,　,十し
《1793-2240》,《暦日2》,七／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1793-2250》,《暦日0》,八／,つちのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
《1793-2260》,《暦日2》,九／,かのえね,さたん,土,末伏,神よし ふく日
《1793-2270》,《暦日0》,十／,かのとのうし,とる,,　,●
《1793-2280》,《暦日2》,十一／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1793-2290》,《暦日0》,十二／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1793-2300》,《暦日2》,十三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1793-2310》,《暦日0》,十四／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1793-2320》,《暦日1》,十五／,ひのえむま,ひらく,水,　,大みやう 天火 らうしやく
《1793-2330》,《節中》,処暑七月中ひつしの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1793-2340》,《食記》,月そく六分半
《1793-2350》,《暦日1》,十六／,ひのとのひつし,とつ,水,　,神よし 母倉 月とく  いちたちよし
《1793-2360》,《暦日2》,十七／,つちのえさる,たつ,土,　,天しや よろつよし
《1793-2370》,《暦日0》,十八／,つちのとのとり,のそく,,　,十し
《1793-2380》,《暦日2》,十九／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1793-2390》,《暦日0》,廿／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1793-2400》,《暦日2》,廿一／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1793-2410》,《暦日0》,廿二／,みつのとのうし,とる,,ま日,●
《1793-2420》,《暦日2》,廿三／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1793-2430》,《暦日0》,廿四／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1793-2440》,《暦日2》,廿五／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1793-2450》,《暦日0》,廿六／,ひのとのみ,おさん,,二百十日,月とく 大くわ ちう日  ものたちよし
《1793-2460》,《暦日2》,廿七／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1793-2470》,《暦日0》,廿八／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1793-2480》,《暦日1》,廿九／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1793-2490》,《月序》,八月,大,建,辛酉,危宿　斗　木よう
《1793-2500》,《暦日1》,一／,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1793-2510》,《節中》,白露八月せついぬの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1793-2520》,《暦日2》,二／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1793-2530》,《暦日0》,三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1793-2540》,《暦日2》,四／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《1793-2550》,《暦日0》,五／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1793-2560》,《暦日2》,六／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《1793-2570》,《暦日0》,七／,ひのとのう,やふる,,二百廿日,天おん  田かりよし
《1793-2580》,《暦日2》,八／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1793-2590》,《暦日0》,九／,つちのとのみ,なる,,　,十し
《1793-2600》,《暦日2》,十／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1793-2610》,《暦日0》,十一／,かのとのひつし,ひらく,,　,●
《1793-2620》,《暦日2》,十二／,みつのえさる,とつ,金,　,神よし 大みやう
《1793-2630》,《暦日0》,十三／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
