# カンマ区切りテキスト形式です。
# ・表の区画内での改行は“/”で表記します。
# ・先頭カラム(“暦首,”など)は表成型に用いますので削除しないでください。
# ・カンマ“,”を追加・削除すると、その行が表成型できない場合があります。
# 外部リンク
# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/82 ～ 91
# ・hosi.org　 : http://hosi.org:3000/Note/1862g
版元,出版地○○,出版元□□□,　
暦首,文久二年みつのえいぬ乃天保壬寅元暦,角宿/値年,凡三百八十四日
大歳,大さいいぬの方,此方ニむかひて万よし/但木をきらす
大將軍,大しやうくんむまの方,いぬのとしまて/三年ふさかり
大陰,大おんさるの方,此方ニむかひて/さんをせす
歳徳,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
歳刑,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
歳破,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
歳煞,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
黄幡,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大/閏八月小,九月大
豹尾,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
月序,正月,大,建,壬寅,參宿値月奎宿木曜値朔日
暦日0,廿四,ひのとのうし,ひらく,　,大みやう  ものたち  (つめとり)よし
暦日2,廿五,つちのえとら,とつ,土,社日,天しや よろつよし
暦日0,廿六,つちのとのう,たつ,　,大みやう くゑ日 天火 らうしやく
暦日2,廿七,かのえたつ,のそく,金,　,●
暦日0,廿八,かのとのみ,みつ,　,十し
暦日1,廿九,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
月序,三月,大,建,甲辰,鬼宿　昴　日よう
暦日1,一,みつのとのひつし,さたん,木,　,天おん ちいみ
暦日2,二,きのえさる,とる,水,十方くれニ入,(神よし) 大みやう 月とく  入学よし
暦日0,三,きのとのとり,やふる,　,ふく日
暦日2,四,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
暦日0,五,ひのとのい,なる,　,大みやう 母倉 ちう日
暦日2,六,つちのえね,おさん,火,　,きしく 母倉 めつもん  けんふく たねかしよし
暦日0,七,つちのとのうし,おさん,　,十し
節中,清明三月せつ朝四時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
暦日2,八,かのえとら,ひらく,木,　,ちいみ  いちたち  (つめとり)よし
暦日0,九,かのとのう,とつ,　,神よし  わたまし ものたちよし
暦日2,十,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
暦日0,十一,みつのとのみ,のそく,天一天上,(母倉) ちう日  けんふくよし
暦日2,十二,きのえむま,みつ,金,　,(神よし) 母倉 天火 らうしやく  ふねのりよし
暦日0,十三,きのとのひつし,たいら,　,大みやう 五む日 めつもん 地火  ものたちよし
暦日2,十四,ひのえさる,さたん,火,　,くゑ日
暦日0,十五,ひのとのとり,とる,　,(神よし) 月とく  いちたちよし
暦日2,十六,つちのえいぬ,やふる,木,　,ふく日
暦日0,十七,つちのとのい,あやふ,　,●
暦日2,十八,かのえね,なる,土,　,神よし きこ
暦日0,十九,かのとのうし,おさん,とよう昼九時九分ニ入,十し
暦日2,廿,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  (つめとり)よし
暦日0,廿一,みつのとのう,とつ,　,神よし  けんふく かといてよし
暦日1,廿二,きのえたつ,たつ,火,　,大みやう くゑ日
節中,穀雨三月中夕七時四分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
暦日1,廿三,きのとのみ,のそく,火,　,(神よし) 大みやう 母倉 ちう日  ふねのりよし
暦日2,廿四,ひのえむま,みつ,水,　,(神よし) 大みやう 母倉 天火 らうしやく
暦日0,廿五,ひのとのひつし,たいら,　,(神よし) 月とく めつもん 地火
暦日2,廿六,つちのえさる,さたん,土,　,くゑ日 ふく日
暦日0,廿七,つちのとのとり,とる,　,大みやう 天おん ふく日 わうまう
暦日2,廿八,かのえいぬ,やふる,金,　,大みやう 天おん
暦日0,廿九,かのとのい,あやふ,　,●
暦日1,卅,みつのえね,なる,木,八せんのはしめ,神よし 天おん [母倉] 月とく きこ
月序,四月,大,建,乙巳,柳宿　觜　火よう
暦日1,一,みつのとのうし,おさん,木,ま日,十し
暦日2,二,きのえとら,ひらく,水,　,ちいみ  やたて  (つめとり)よし
暦日0,三,きのとのう,とつ,　,(神よし)  ものたちよし
暦日2,四,ひのえたつ,たつ,土,八十八や/ま日,きしく 大みやう  わたましよし
暦日0,五,ひのとのみ,のそく,　,(母倉) 月とく ちう日  いちたちよし
暦日2,六,つちのえむま,みつ,火,ま日,(神よし) (母倉) ふく日 天火 らうしやく  ふねのりよし
暦日0,七,つちのとのひつし,たいら,　,神よし 大みやう ふく日 めつもん 地火
暦日1,八,かのえさる,たいら,木,　,(神よし) 大みやう 月とく ちいみ 大くわ 地火
節中,立夏四月せつ明六時ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
暦日1,九,かのとのとり,さたん,木,　,十し
暦日2,十,みつのえいぬ,とる,水,ま日,ふく日
暦日0,十一,みつのとのい,やふる,八せんのおはり,くゑ日 ちう日
暦日2,十二,きのえね,あやふ,金,　,天おん
暦日0,十三,きのとのうし,なる,　,天おん 月とく きこ  かまぬり  つめとりよし
暦日2,十四,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
暦日0,十五,ひのとのう,ひらく,　,天おん 母倉 わうまう  わたましよし
暦日2,十六,つちのえたつ,とつ,木,　,五む日 くゑ日
暦日0,十七,つちのとのみ,たつ,　,●
暦日2,十八,かのえむま,のそく,土,　,(神よし) 月とく  さひらき みそすつくりよし
暦日0,十九,かのとのひつし,みつ,　,大みやう くゑ日
暦日2,廿,みつのえさる,たいら,金,　,(神よし) 大みやう ちいみ 大くわ ふく日 地火
暦日0,廿一,みつのとのとり,さたん,　,十し
暦日2,廿二,きのえいぬ,とる,火,　, やたて くらたてよし
暦日0,廿三,きのとのい,やふる,　,月とく ちう日
節中,小満四月中夕七時三分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
暦日2,廿四,ひのえね,あやふ,水,　,ふく日  さひらきよし
暦日0,廿五,ひのとのうし,なる,　,大みやう きこ  ものたち  つめとりよし
暦日2,廿六,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  (つめとり)よし
暦日0,廿七,つちのとのう,ひらく,　,(神よし) 大みやう 天おん 母倉  入学よし
暦日2,廿八,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
暦日0,廿九,かのとのみ,たつ,　,●
暦日1,卅,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
月序,五月,小,建,丙午,星宿　井　木よう
暦日1,一,みつのとのひつし,みつ,木,　,くゑ日
暦日2,二,きのえさる,たいら,水,十方くれニ入,(神よし) きしく 大みやう ちいみ 大くわ 地火
暦日0,三,きのとのとり,さたん,　,十し
暦日2,四,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
暦日0,五,ひのとのい,やふる,　,大みやう ちう日
暦日2,六,つちのえね,あやふ,火,　, けんふくよし
暦日0,七,つちのとのうし,なる,　,きこ  (つめとり)よし
暦日2,八,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
暦日0,九,かのとのう,おさん,　,母倉 月とく ちいみ 大くわ  ものたちよし
節中,芒種五月せつ朝四時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
暦日2,十,みつのえたつ,ひらく,水,入梅,大みやう 五む日
暦日0,十一,みつのとのみ,とつ,天一天上,十し
暦日2,十二,きのえむま,たつ,金,　,天しや よろつよし
暦日0,十三,きのとのひつし,のそく,　,大みやう 五む日  むきかりよし
暦日2,十四,ひのえさる,みつ,火,　,(神よし) 月とく  入学 いちたちよし
暦日0,十五,ひのとのとり,たいら,　,(神よし) ふく日 めつもん 地火
暦日2,十六,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
暦日0,十七,つちのとのい,とる,　,(神よし) ちう日
暦日2,十八,かのえね,やふる,土,　,●
暦日0,十九,かのとのうし,あやふ,　,神よし 月とく 五む日  (つめとり)よし
暦日2,廿,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
暦日0,廿一,みつのとのう,おさん,　,母倉 ちいみ 大くわ ふく日
暦日2,廿二,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
暦日0,廿三,きのとのみ,とつ,　,十し
暦日2,廿四,ひのえむま,たつ,水,　,大みやう くゑ日 わうまう 下しきうの時
暦日0,廿五,ひのとのひつし,のそく,　,(神よし) ふく日
節中,夏至五月中今暁八時七分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
暦日2,廿六,つちのえさる,みつ,土,　,(神よし)  入学よし
暦日0,廿七,つちのとのとり,たいら,　,神よし 大みやう 天おん めつもん 地火
暦日2,廿八,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
暦日0,廿九,かのとのい,とる,　,さい下しき (神よし) 大みやう 天おん 月とく ちう日  入学よし
月序,六月,大,建,丁未,張宿　鬼　金よう
暦日2,一,みつのえね,やふる,木,八せんのはしめ,●
暦日0,二,みつのとのうし,あやふ,ま日,(神よし) 天おん ふく日  むきかり  (つめとり)よし
暦日2,三,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
暦日0,四,きのとのう,おさん,　,母倉 ちいみ 大くわ  ものたちよし
暦日2,五,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
暦日0,六,ひのとのみ,とつ,はんけしやう,十し
暦日2,七,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
暦日0,八,つちのとのひつし,のそく,　,(神よし) 大みやう  みそすつくり 田うへよし
暦日2,九,かのえさる,みつ,木,　,(神よし) 大みやう  入学 むきかりよし
暦日0,十,かのとのとり,たいら,　,神よし 大みやう 月とく めつもん 地火
暦日1,十一,みつのえいぬ,たいら,水,ま日,大くわ 地火
節中,小暑六月せつ暮六時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
暦日1,十二,みつのとのい,さたん,水,八せんのおはり,ちう日
暦日2,十三,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
暦日0,十四,きのとのうし,やふる,　,十し
暦日2,十五,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
暦日0,十六,ひのとのう,なる,　,神よし 天おん 天火 らうしやく
暦日2,十七,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
暦日0,十八,つちのとのみ,ひらく,　,くゑ日 ちう日 ふく日
暦日2,十九,かのえむま,とつ,土,初伏,●
暦日0,廿,かのとのひつし,たつ,　,大みやう  かといて ふねのりよし
暦日2,廿一,みつのえさる,のそく,金,　,(神よし) 大みやう  くさかりよし
暦日0,廿二,みつのとのとり,みつ,　,(神よし) 大みやう ちいみ  みそすつくりよし
暦日2,廿三,きのえいぬ,たいら,火,とよう夜五時六分ニ入,月とく 大くわ 地火  わたましよし
暦日0,廿四,きのとのい,さたん,　,ちう日
暦日2,廿五,ひのえね,とる,水,　,きこ 下しきたつの時
暦日0,廿六,ひのとのうし,やふる,　,十し
暦日1,廿七,つちのえとら,あやふ,土,　,ふく日  たねまき  (つめとり)よし
節中,大暑六月中昼九時五分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
暦日1,廿八,つちのとのう,なる,土,　,(神よし) 大みやう 天おん 月とく ふく日 天火 らうしやく
暦日2,廿九,かのえたつ,おさん,金,中伏,きしく 天おん めつもん  けんふくよし
暦日0,卅,かのとのみ,ひらく,　,天おん 母倉 ちう日  ものたちよし
月序,七月,小,建,戊申,翼宿　星　日よう
暦日2,一,みつのえむま,とつ,木,　,●
暦日0,二,みつのとのひつし,たつ,　,天おん  たねまきよし
暦日2,三,きのえさる,のそく,水,十方くれニ入,(神よし) 大みやう 月とく
暦日0,四,きのとのとり,みつ,　,ちいみ わうまう
暦日2,五,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
暦日0,六,ひのとのい,さたん,　,大みやう ちう日
暦日2,七,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
暦日0,八,つちのとのうし,やふる,　,十し
暦日2,九,かのえとら,あやふ,木,　,[母倉]  やたて  つめとりよし
暦日0,十,かのとのう,なる,　,神よし [母倉] 天火 らうしやく
暦日2,十一,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
暦日0,十二,みつのとのみ,ひらく,天一天上,(母倉) ちう日  いちたちよし
暦日1,十三,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
節中,立秋七月せつ明六時四分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
暦日1,十四,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
暦日2,十五,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
暦日0,十六,ひのとのとり,のそく,　,十し
暦日2,十七,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
暦日0,十八,つちのとのい,たいら,　,(神よし) ちう日 めつもん 地火
暦日2,十九,かのえね,さたん,土,末伏,(神よし) ふく日
暦日0,廿,かのとのうし,とる,　,●
暦日2,廿一,みつのえとら,やふる,金,　,大みやう 月とく わうまう  やたて  つめとりよし
暦日0,廿二,みつのとのう,あやふ,　,神よし  わたまし みそすつくりよし
暦日2,廿三,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
暦日0,廿四,きのとのみ,おさん,　,神よし 大みやう 大くわ ちう日  けんふくよし
暦日2,廿五,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
暦日0,廿六,ひのとのひつし,とつ,　,(神よし) 母倉 月とく  いちたちよし
暦日2,廿七,つちのえさる,たつ,土,　,天しや よろつよし
暦日0,廿八,つちのとのとり,のそく,　,十し
節中,処暑七月中暮六時五分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
暦日1,廿九,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
月序,八月,大,建,己酉,軫宿　張　月よう
暦日1,一,かのとのい,たいら,金,　,さい下しき (神よし) 大みやう 天おん ちう日 めつもん 地火
暦日2,二,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
暦日0,三,みつのとのうし,とる,ま日,●
暦日2,四,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
暦日0,五,きのとのう,あやふ,　,神よし  くらたて かまぬりよし
暦日2,六,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
暦日0,七,ひのとのみ,おさん,　,月とく 大くわ ちう日  ものたちよし
暦日2,八,つちのえむま,ひらく,火,二百十日/ま日,神よし 天火 らうしやく  入学よし
暦日0,九,つちのとのひつし,とつ,　,(神よし) 大みやう 母倉  みそすつくりよし
暦日2,十,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
暦日0,十一,かのとのとり,のそく,　,十し
暦日2,十二,みつのえいぬ,みつ,水,ま日,母倉 月とく
暦日0,十三,みつのとのい,たいら,八せんのおはり,ちう日 めつもん 地火
暦日2,十四,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
暦日0,十五,きのとのうし,さたん,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
節中,白露八月せつ朝五時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
暦日2,十六,ひのえとら,とる,火,　,天おん きこ  つめとりよし
暦日0,十七,ひのとのう,やふる,　,天おん  田かりよし
暦日2,十八,つちのえたつ,あやふ,木,二百廿日,天おん 母倉 五む日  みそすつくりよし
暦日0,十九,つちのとのみ,なる,　,十し
暦日2,廿,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
暦日0,廿一,かのとのひつし,ひらく,　,●
暦日2,廿二,みつのえさる,とつ,金,　,神よし 大みやう
暦日0,廿三,みつのとのとり,たつ,　,大みやう 天火 らうしやく 下しきむまの時
暦日2,廿四,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
暦日0,廿五,きのとのい,みつ,　,月とく ちう日 ふく日  入学よし
暦日2,廿六,ひのえね,たいら,水,　,きしく 大くわ 地火
暦日0,廿七,ひのとのうし,さたん,ひかんニなる,神よし 大みやう 母倉  ものたち  つめとりよし
暦日2,廿八,つちのえとら,とる,土,社日,きこ  田かり  (つめとり)よし
暦日0,廿九,つちのとのう,やふる,　,大みやう 天おん
暦日1,卅,かのえたつ,あやふ,金,　,天おん 母倉 月とく
節中,秋分八月中夕七時二分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
月序,閏八月,小,隨節用之,軫　水よう
暦日1,一,かのとのみ,なる,金,　,十し
暦日2,二,みつのえむま,おさん,木,　,大みやう 天おん めつもん わうまう
暦日0,三,みつのとのひつし,ひらく,　,●
暦日2,四,きのえさる,とつ,水,十方くれニ入,(神よし) 大みやう  竹木こり 田かりよし
暦日0,五,きのとのとり,たつ,　,月とく ふく日 天火 らうしやく 下しきむまの時
暦日2,六,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
暦日0,七,ひのとのい,みつ,　,大みやう ちう日  入学よし
暦日2,八,つちのえね,たいら,火,　,大くわ 地火
暦日0,九,つちのとのうし,さたん,　,母倉  かまぬり  つめとりよし
暦日2,十,かのえとら,とる,木,　,月とく きこ  つめとりよし
暦日0,十一,かのとのう,やふる,　,ふく日  田かりよし
暦日2,十二,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
暦日0,十三,みつのとのみ,なる,天一天上,十し
暦日2,十四,きのえむま,おさん,金,　,めつもん
暦日0,十五,きのとのひつし,おさん,　,大みやう 五む日 くゑ日 大くわ
節中,寒露九月せつ夜四時三分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
暦日2,十六,ひのえさる,ひらく,火,　,くゑ日
暦日0,十七,ひのとのとり,とつ,　,くゑ日
暦日2,十八,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
暦日0,十九,つちのとのい,のそく,　,(神よし) ちう日 ふく日  むきまきよし
暦日2,廿,かのえね,みつ,土,　,(神よし) きこ 天火 らうしやく
暦日0,廿一,かのとのうし,たいら,　,十し
暦日2,廿二,みつのえとら,さたん,金,　,●
暦日0,廿三,みつのとのう,とる,　,神よし  けんふく かといてよし
暦日2,廿四,きのえたつ,やふる,火,　,きしく 大みやう
暦日0,廿五,きのとのみ,あやふ,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
暦日2,廿六,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
暦日0,廿七,ひのとのひつし,おさん,　,(神よし) 大くわ  田かりよし
暦日2,廿八,つちのえさる,ひらく,土,とよう今暁八時一分ニ入,天しや よろつよし
暦日0,廿九,つちのとのとり,とつ,　,神よし 大みやう 天おん ふく日  たねまきよし
月序,九月,大,建,庚戌,角宿　角　木よう
暦日2,一,かのえいぬ,たつ,金,　,大みやう くゑ日
暦日0,二,かのとのい,のそく,　,さい下しき (神よし) 大みやう 天おん 月とく ちう日  田かりよし
節中,霜降九月中今暁九時七分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
暦日2,三,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
暦日0,四,みつのとのうし,たいら,ま日,十し
暦日2,五,きのえとら,さたん,水,　,●
暦日0,六,きのとのう,とる,　,神よし  かまぬり ものたちよし
暦日2,七,ひのえたつ,やふる,土,ま日,大みやう [母倉] 月とく  かとたてよし
暦日0,八,ひのとのみ,あやふ,　,(母倉) ちいみ ちう日 下しきひつしの時
暦日2,九,つちのえむま,なる,火,ま日,(神よし) (母倉) ふく日
暦日0,十,つちのとのひつし,おさん,　,(神よし) 大みやう [母倉] 大くわ ふく日  かといてよし
暦日2,十一,かのえさる,ひらく,木,　,大みやう
暦日0,十二,かのとのとり,とつ,　,大みやう 月とく わうまう  いちたちよし
暦日2,十三,みつのえいぬ,たつ,水,ま日,[母倉]  田かりよし
暦日0,十四,みつのとのい,のそく,八せんのおはり,ちう日  むきまきよし
暦日2,十五,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
暦日0,十六,きのとのうし,たいら,　,十し
暦日1,十七,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
節中,立冬十月せつ今暁九時五分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
暦日1,十八,ひのとのう,さたん,火,　,(神よし) 天おん 天火 らうしやく
暦日2,十九,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
暦日0,廿,つちのとのみ,やふる,　,くゑ日 ちう日
暦日2,廿一,かのえむま,あやふ,土,　,(神よし)  みそさけつくりよし
暦日0,廿二,かのとのひつし,なる,　,大みやう  やたて ものたちよし
暦日2,廿三,みつのえさる,おさん,金,　,●
暦日0,廿四,みつのとのとり,ひらく,　,十し
暦日2,廿五,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
暦日0,廿六,きのとのい,たつ,　,ちいみ ちう日 わうまう 下しきさるの時  入学よし
暦日2,廿七,ひのえね,のそく,水,　,ふく日
暦日0,廿八,ひのとのうし,みつ,　,大みやう くゑ日 きこ
暦日2,廿九,つちのえとら,たいら,土,　,大くわ 地火  (つめとり)よし
