《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2040》,《暦日2》,十八／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《2050》,《暦日0》,十九／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2060》,《暦日2》,廿／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2070》,《暦日0》,廿一／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2080》,《暦日2》,廿二／,きのえむま,とつ,金,　,●
《2090》,《暦日0》,廿三／,きのとのひつし,たつ,,　,大みやう 五む日
《2100》,《暦日2》,廿四／,ひのえさる,のそく,火,とようみの五刻ニ入,神よし
《2110》,《暦日0》,廿五／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2120》,《暦日2》,廿六／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2130》,《暦日0》,廿七／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2140》,《節中》,大暑六月中むまの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2150》,《暦日2》,廿八／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2160》,《暦日0》,廿九／,かのとのうし,やふる,,　,十し
《2170》,《月序》,七月,大,建,丙申,虛宿　室　火よう
《2180》,《暦日2》,一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2190》,《暦日0》,二／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2200》,《暦日2》,三／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2210》,《暦日0》,四／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2220》,《暦日2》,五／,ひのえむま,とつ,水,　,●
《2230》,《暦日0》,六／,ひのとのひつし,たつ,,　,さい下しき くゑ日 わうまう
《2240》,《暦日2》,七／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2250》,《暦日0》,八／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2260》,《暦日2》,九／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《2270》,《暦日0》,十／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2280》,《暦日2》,十一／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《2290》,《暦日0》,十二／,みつのとのうし,やふる,,ま日,十し
《2300》,《暦日1》,十三／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2310》,《節中》,立秋七月せつさるの六刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2320》,《暦日1》,十四／,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
《2330》,《暦日2》,十五／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2340》,《暦日0》,十六／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2350》,《暦日2》,十七／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2360》,《暦日0》,十八／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2370》,《暦日2》,十九／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2380》,《暦日0》,廿／,かのとのとり,のそく,,　,十し
《2390》,《暦日2》,廿一／,みつのえいぬ,みつ,水,ま日,母倉 月とく わうまう
《2400》,《暦日0》,廿二／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2410》,《暦日2》,廿三／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2420》,《暦日0》,廿四／,きのとのうし,とる,,　,●
《2430》,《暦日2》,廿五／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2440》,《暦日0》,廿六／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2450》,《暦日2》,廿七／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2460》,《暦日0》,廿八／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2470》,《節中》,処暑七月中いの三刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2480》,《暦日2》,廿九／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2490》,《暦日0》,卅／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2500》,《月序》,八月,小,建,丁酉,危宿　奎　木よう
《2510》,《暦日2》,一／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2520》,《暦日0》,二／,みつのとのとり,のそく,,　,十し
《2530》,《暦日2》,三／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2540》,《暦日0》,四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2550》,《暦日2》,五／,ひのえね,さたん,水,　, 田かりよし
《2560》,《暦日0》,六／,ひのとのうし,とる,,　,●
《2570》,《暦日2》,七／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2580》,《暦日0》,八／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2590》,《暦日2》,九／,かのえたつ,なる,金,　,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《2600》,《暦日0》,十／,かのとのみ,おさん,,二百十日,天おん 大くわ ちう日
《2610》,《暦日2》,十一／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2620》,《暦日0》,十二／,みつのとのひつし,とつ,,　,天おん 母倉
《2630》,《暦日2》,十三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2640》,《暦日0》,十四／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2650》,《節中》,白露八月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2660》,《暦日2》,十五／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2670》,《暦日0》,十六／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2680》,《暦日2》,十七／,つちのえね,たいら,火,　,大くわ 地火
《2690》,《暦日0》,十八／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2700》,《暦日2》,十九／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2710》,《暦日0》,廿／,かのとのう,やふる,,二百廿日,ふく日  田かりよし
《2720》,《暦日2》,廿一／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2730》,《暦日0》,廿二／,みつのとのみ,なる,,天一天上,十し
《2740》,《暦日2》,廿三／,きのえむま,おさん,金,　,めつもん
《2750》,《暦日0》,廿四／,きのとのひつし,ひらく,,　,●
《2760》,《暦日2》,廿五／,ひのえさる,とつ,火,　,神よし
《2770》,《暦日0》,廿六／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2780》,《暦日2》,廿七／,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
《2790》,《暦日0》,廿八／,つちのとのい,みつ,,ひかんニなる,神よし ちう日  いちたちよし
《2800》,《暦日1》,廿九／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2810》,《節中》,秋分八月中たつの五刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2820》,《月序》,九月,大,建,戊戌,室宿　婁　金よう
《2830》,《暦日1》,一／,かのとのうし,さたん,土,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2840》,《暦日2》,二／,みつのえとら,とる,金,　,大みやう きこ わうまう  やたて  つめとりよし
《2850》,《暦日0》,三／,みつのとのう,やふる,,　, くらたて 田かりよし
《2860》,《暦日2》,四／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2870》,《暦日0》,五／,きのとのみ,なる,,　,十し
《2880》,《暦日2》,六／,ひのえむま,おさん,水,　,大みやう めつもん
《2890》,《暦日0》,七／,ひのとのひつし,ひらく,,　,●
《2900》,《暦日2》,八／,つちのえさる,とつ,土,　,天しや よろつよし
《2910》,《暦日0》,九／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2920》,《暦日2》,十／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2930》,《暦日0》,十一／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2940》,《暦日2》,十二／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
