«1872-0000»,【 カンマ区切りテキスト形式です。】
«1872-1320»,«暦日0»,十四〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1872-1330»,«暦日1»,十五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1872-1340»,«節中»,小満四月中今暁七時七分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1872-1350»,«暦日1»,十六〳,つちのとのみ,たつ,木,　,●
«1872-1360»,«暦日2»,十七〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1872-1370»,«暦日0»,十八〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1872-1380»,«暦日2»,十九〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1872-1390»,«暦日0»,廿〳,みつのとのとり,さたん,,　,十し
«1872-1400»,«暦日2»,廿一〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1872-1410»,«暦日0»,廿二〳,きのとのい,やふる,,　,月とく ちう日
«1872-1420»,«暦日2»,廿三〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1872-1430»,«暦日0»,廿四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1872-1440»,«暦日2»,廿五〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1872-1450»,«暦日0»,廿六〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1872-1460»,«暦日2»,廿七〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1872-1470»,«暦日0»,廿八〳,かのとのみ,たつ,,　,●
«1872-1480»,«暦日2»,廿九〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1872-1490»,«暦日0»,卅〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1872-1500»,«節中»,芒種五月せつ夕七時九分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1872-1510»,«月序»,五月,大,建,丙午,心宿　奎　木よう
«1872-1520»,«暦日1»,一〳,きのえさる,みつ,水,十方くれニ入,大みやう
«1872-1530»,«食記»,日そく七分,　
«1872-1540»,«暦日1»,二〳,きのとのとり,たいら,水,　,神よし めつもん 地火
«1872-1550»,«暦日2»,三〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1872-1560»,«暦日0»,四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1872-1570»,«暦日2»,五〳,つちのえね,やふる,火,　,●
«1872-1580»,«暦日0»,六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1872-1590»,«暦日2»,七〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1872-1600»,«暦日0»,八〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1872-1610»,«暦日2»,九〳,みつのえたつ,ひらく,水,入梅,きしく 大みやう 五む日
«1872-1620»,«暦日0»,十〳,みつのとのみ,とつ,,天一天上,十し
«1872-1630»,«暦日2»,十一〳,きのえむま,たつ,金,　,天しや よろつよし
«1872-1640»,«暦日0»,十二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1872-1650»,«暦日2»,十三〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1872-1660»,«暦日0»,十四〳,ひのとのとり,たいら,,　,さい下しき 神よし ふく日 めつもん 地火
«1872-1670»,«暦日2»,十五〳,つちのえいぬ,さたん,木,　,わうまう  かまぬり 田うへよし
«1872-1680»,«暦日0»,十六〳,つちのとのい,とる,,　,神よし ちう日
«1872-1690»,«節中»,夏至五月中昼九時二分日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1872-1700»,«暦日2»,十七〳,かのえね,やふる,土,　,●
«1872-1710»,«暦日0»,十八〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1872-1720»,«暦日2»,十九〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1872-1730»,«暦日0»,廿〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1872-1740»,«暦日2»,廿一〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1872-1750»,«暦日0»,廿二〳,きのとのみ,とつ,,　,十し
«1872-1760»,«暦日2»,廿三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1872-1770»,«暦日0»,廿四〳,ひのとのひつし,のそく,,　,神よし ふく日
«1872-1780»,«暦日2»,廿五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1872-1790»,«暦日0»,廿六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1872-1800»,«暦日2»,廿七〳,かのえいぬ,さたん,金,はんけしやう,大みやう 天おん  かといてよし
«1872-1810»,«暦日0»,廿八〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1872-1820»,«暦日2»,廿九〳,みつのえね,やふる,木,八せんのはしめ,●
«1872-1830»,«暦日0»,卅〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1872-1840»,«月序»,六月,小,建,丁未,尾宿　胃　土よう
«1872-1850»,«暦日2»,一〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1872-1860»,«暦日0»,二〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
