《1764-0000》,# カンマ区切りテキスト形式です。
《1764-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1764-0020》,# ・表の区画内での改行は“/”で表記します。
《1764-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1764-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1764-0050》,# 外部リンク
《1764-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/91 ～ 96
《1764-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1764g　(GitHub上データを表成型)
《1764-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1764h　(翻刻編集データを表成型 - 未実装)
《1764-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1764-0100》,《版元》,出版地○○,出版元□□□,　
《1764-2020》,《暦日0》,十七／,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
《1764-2030》,《暦日2》,十八／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1764-2040》,《暦日0》,十九／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1764-2050》,《暦日2》,廿／,かのえね,とる,土,初伏/とよう今夜ねの一刻ニ入,きこ 下しきたつの時
《1764-2060》,《暦日0》,廿一／,かのとのうし,やふる,,　,十し
《1764-2070》,《暦日2》,廿二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1764-2080》,《暦日0》,廿三／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1764-2090》,《暦日1》,廿四／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1764-2100》,《節中》,大暑六月中今暁ねの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1764-2110》,《暦日1》,廿五／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《1764-2120》,《暦日2》,廿六／,ひのえむま,とつ,水,　,●
《1764-2130》,《暦日0》,廿七／,ひのとのひつし,たつ,,　,くゑ日
《1764-2140》,《暦日2》,廿八／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1764-2150》,《暦日0》,廿九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1764-2160》,《暦日1》,卅／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《1764-2170》,《月序》,七月,小,建,壬申,翼宿　昴　日よう
《1764-2180》,《暦日1》,一／,かのとのい,さたん,金,　,大みやう 天おん ちう日 わうまう
《1764-2190》,《暦日2》,二／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1764-2200》,《暦日0》,三／,みつのとのうし,やふる,,ま日,十し
《1764-2210》,《暦日2》,四／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1764-2220》,《暦日0》,五／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1764-2230》,《暦日2》,六／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1764-2240》,《暦日0》,七／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1764-2250》,《暦日2》,八／,つちのえむま,とつ,火,ま日,●
《1764-2260》,《暦日0》,九／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1764-2270》,《節中》,立秋七月せつうの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1764-2280》,《暦日2》,十／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《1764-2290》,《暦日0》,十一／,かのとのとり,のそく,,　,十し
《1764-2300》,《暦日2》,十二／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1764-2310》,《暦日0》,十三／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1764-2320》,《暦日2》,十四／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1764-2330》,《暦日0》,十五／,きのとのうし,とる,,　,●
《1764-2340》,《暦日2》,十六／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1764-2350》,《暦日0》,十七／,ひのとのう,あやふ,,　,天おん 月とく わうまう  わたましよし
《1764-2360》,《暦日2》,十八／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《1764-2370》,《暦日0》,十九／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1764-2380》,《暦日2》,廿／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1764-2390》,《暦日0》,廿一／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《1764-2400》,《暦日2》,廿二／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1764-2410》,《暦日0》,廿三／,みつのとのとり,のそく,,　,十し
《1764-2420》,《暦日1》,廿四／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1764-2430》,《節中》,処暑七月中みの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1764-2440》,《暦日1》,廿五／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《1764-2450》,《暦日2》,廿六／,ひのえね,さたん,水,　, 田かりよし
《1764-2460》,《暦日0》,廿七／,ひのとのうし,とる,,　,●
《1764-2470》,《暦日2》,廿八／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1764-2480》,《暦日0》,廿九／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1764-2490》,《月序》,八月,大,建,癸酉,軫宿　畢　月よう
《1764-2500》,《暦日2》,一／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《1764-2510》,《暦日0》,二／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1764-2520》,《暦日2》,三／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1764-2530》,《暦日0》,四／,みつのとのひつし,とつ,,　,天おん 母倉
《1764-2540》,《暦日2》,五／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《1764-2550》,《暦日0》,六／,きのとのとり,のそく,,二百十日,十し
《1764-2560》,《暦日2》,七／,ひのえいぬ,みつ,土,　,母倉 五む日
《1764-2570》,《暦日0》,八／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1764-2580》,《暦日2》,九／,つちのえね,さたん,火,　, けんふく くさかりよし
《1764-2590》,《暦日0》,十／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1764-2600》,《節中》,白露八月せつさるの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1764-2610》,《暦日2》,十一／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1764-2620》,《暦日0》,十二／,かのとのう,やふる,,　,ふく日  田かりよし
《1764-2630》,《暦日2》,十三／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《1764-2640》,《暦日0》,十四／,みつのとのみ,なる,,天一天上,十し
