《1699-0000》,# カンマ区切りテキスト形式です。
《1699-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1699-1340》,《暦日0》,廿／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1699-1350》,《暦日2》,廿一／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1699-1360》,《暦日0》,廿二／,かのとのとり,さたん,,　,十し
《1699-1370》,《暦日2》,廿三／,みつのえいぬ,とる,水,四月中むまの四刻/ま日,ふく日
《1699-1380》,《暦日0》,廿四／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1699-1390》,《暦日2》,廿五／,きのえね,あやふ,金,　
《1699-1400》,《暦日0》,廿六／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1699-1410》,《暦日2》,廿七／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1699-1420》,《暦日0》,廿八／,ひのとのう,ひらく,,　,神よし  わたましよし
《1699-1430》,《暦日1》,廿九／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1699-1440》,《月序》,五月,小,建,庚午,角宿　婁　金よう
《1699-1450》,《暦日1》,一／,つちのとのみ,たつ,木,　,●
《1699-1460》,《暦日2》,二／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1699-1470》,《暦日0》,三／,かのとのひつし,みつ,,　,大みやう くゑ日
《1699-1480》,《暦日2》,四／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1699-1490》,《暦日0》,五／,みつのとのとり,さたん,,　,十し
《1699-1500》,《暦日2》,六／,きのえいぬ,とる,火,　, やたて くらたてよし
《1699-1510》,《暦日0》,七／,きのとのい,やふる,,　,ちう日
《1699-1520》,《暦日2》,八／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
《1699-1530》,《暦日0》,九／,ひのとのうし,あやふ,,五月せつとりの初刻ニ入,神よし 大みやう ふく日  ものたち  つめとりよし
《1699-1540》,《暦日2》,十／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1699-1550》,《暦日0》,十一／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1699-1560》,《暦日2》,十二／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1699-1570》,《暦日0》,十三／,かのとのみ,とつ,,　,十し
《1699-1580》,《暦日2》,十四／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1699-1590》,《暦日0》,十五／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1699-1600》,《暦日2》,十六／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1699-1610》,《暦日0》,十七／,きのとのとり,たいら,,　,神よし めつもん 地火
《1699-1620》,《暦日2》,十八／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1699-1630》,《暦日0》,十九／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1699-1640》,《暦日2》,廿／,つちのえね,やふる,火,　,●
《1699-1650》,《暦日0》,廿一／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1699-1660》,《暦日2》,廿二／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1699-1670》,《暦日0》,廿三／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1699-1680》,《暦日2》,廿四／,みつのえたつ,ひらく,水,夏至五月中いの六刻,さい下しき 大みやう 五む日 わうまう
《1699-1690》,《暦日0》,廿五／,みつのとのみ,とつ,,天一天上,十し
《1699-1700》,《暦日2》,廿六／,きのえむま,たつ,金,　,天しや よろつよし
《1699-1710》,《暦日0》,廿七／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1699-1720》,《暦日2》,廿八／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1699-1730》,《暦日0》,廿九／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1699-1740》,《月序》,六月,大,建,辛未,亢宿　胃　土よう
《1699-1750》,《暦日2》,一／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1699-1760》,《暦日0》,二／,つちのとのい,とる,,　,神よし ちう日
《1699-1770》,《暦日2》,三／,かのえね,やふる,土,　,●
《1699-1780》,《暦日0》,四／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1699-1790》,《暦日2》,五／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1699-1800》,《暦日0》,六／,みつのとのう,おさん,,はんけしやう,ちいみ 大くわ ふく日
《1699-1810》,《暦日2》,七／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1699-1820》,《暦日0》,八／,きのとのみ,とつ,,　,十し
《1699-1830》,《暦日2》,九／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1699-1840》,《暦日0》,十／,ひのとのひつし,のそく,,　,神よし ふく日
《1699-1850》,《暦日2》,十一／,つちのえさる,のそく,土,六月せつとらの二刻ニ入,神よし ふく日  たねまきよし
《1699-1860》,《暦日0》,十二／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1699-1870》,《暦日2》,十三／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《1699-1880》,《暦日0》,十四／,かのとのい,さたん,,　,大みやう ちう日
《1699-1890》,《暦日2》,十五／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1699-1900》,《暦日0》,十六／,みつのとのうし,やふる,,ま日,十し
《1699-1910》,《暦日2》,十七／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1699-1920》,《暦日0》,十八／,きのとのう,なる,,　,神よし 天火 らうしやく
《1699-1930》,《暦日2》,十九／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1699-1940》,《暦日0》,廿／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1699-1950》,《暦日2》,廿一／,つちのえむま,とつ,火,ま日,●
《1699-1960》,《暦日0》,廿二／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1699-1970》,《暦日2》,廿三／,かのえさる,のそく,木,初伏/とようたつの三刻ニ入,神よし 大みやう  くさかりよし
《1699-1980》,《暦日0》,廿四／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1699-1990》,《暦日2》,廿五／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1699-2000》,《暦日0》,廿六／,みつのとのい,さたん,,六月中たつの八刻/八せんのおはり,ちう日
《1699-2010》,《暦日2》,廿七／,きのえね,とる,金,　,きこ 下しきたつの時
《1699-2020》,《暦日0》,廿八／,きのとのうし,やふる,,　,十し
《1699-2030》,《暦日2》,廿九／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1699-2040》,《暦日0》,卅／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1699-2050》,《月序》,七月,小,建,壬申,氐宿　畢　月よう
《1699-2060》,《暦日2》,一／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1699-2070》,《暦日0》,二／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1699-2080》,《暦日2》,三／,かのえむま,とつ,土,中伏,●
《1699-2090》,《暦日0》,四／,かのとのひつし,たつ,,　,大みやう わうまう  かといて ふねのりよし
《1699-2100》,《暦日2》,五／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《1699-2110》,《暦日0》,六／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1699-2120》,《暦日2》,七／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1699-2130》,《暦日0》,八／,きのとのい,さたん,,　,ちう日
《1699-2140》,《暦日2》,九／,ひのえね,とる,水,　,きこ 下しきたつの時
《1699-2150》,《暦日0》,十／,ひのとのうし,やふる,,　,十し
《1699-2160》,《暦日2》,十一／,つちのえとら,やふる,土,立秋七月せつひつしの四刻ニ入, たねまき  つめとりよし
《1699-2170》,《暦日0》,十二／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1699-2180》,《暦日2》,十三／,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
《1699-2190》,《暦日0》,十四／,かのとのみ,おさん,,　,大くわ ちう日
《1699-2200》,《暦日2》,十五／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1699-2210》,《暦日0》,十六／,みつのとのひつし,とつ,,　
《1699-2220》,《暦日2》,十七／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1699-2230》,《暦日0》,十八／,きのとのとり,のそく,,　,十し
《1699-2240》,《暦日2》,十九／,ひのえいぬ,みつ,土,　,五む日 わうまう
《1699-2250》,《暦日0》,廿／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1699-2260》,《暦日2》,廿一／,つちのえね,さたん,火,　, けんふく くさかりよし
《1699-2270》,《暦日0》,廿二／,つちのとのうし,とる,,　,●
《1699-2280》,《暦日2》,廿三／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1699-2290》,《暦日0》,廿四／,かのとのう,あやふ,,　,神よし
《1699-2300》,《暦日2》,廿五／,みつのえたつ,なる,水,　,さい下しき 大みやう 五む日 ちいみ
《1699-2310》,《暦日0》,廿六／,みつのとのみ,おさん,,七月中いぬの一刻/天一天上,大くわ ちう日  たねまきよし
《1699-2320》,《暦日2》,廿七／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1699-2330》,《暦日0》,廿八／,きのとのひつし,とつ,,　,大みやう 五む日
《1699-2340》,《暦日1》,廿九／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1699-2350》,《月序》,八月,小,建,癸酉,房宿　觜　火よう
《1699-2360》,《暦日1》,一／,ひのとのとり,のそく,火,　,十し
《1699-2370》,《暦日2》,二／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1699-2380》,《暦日0》,三／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1699-2390》,《暦日2》,四／,かのえね,さたん,土,　,神よし きしく ふく日
《1699-2400》,《暦日0》,五／,かのとのうし,とる,,　,●
《1699-2410》,《暦日2》,六／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1699-2420》,《暦日0》,七／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1699-2430》,《暦日2》,八／,きのえたつ,なる,火,二百十日,大みやう くゑ日 ちいみ ふく日
《1699-2440》,《暦日0》,九／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1699-2450》,《暦日2》,十／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1699-2460》,《暦日0》,十一／,ひのとのひつし,とつ,,　,神よし  いちたちよし
