《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-0810》,《暦日2》,廿六／,みつのえむま,たいら,木,ひかんニなる,神よし 大みやう 天おん 大くわ 地火
《1784-0820》,《暦日0》,廿七／,みつのとのひつし,さたん,,　,天おん ちいみ
《1784-0830》,《暦日2》,廿八／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
《1784-0840》,《暦日0》,廿九／,きのとのとり,やふる,,　,ふく日 わうまう
《1784-0850》,《月序》,二月,大,建,丁卯,女宿　星　日よう
《1784-0860》,《暦日2》,一／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1784-0870》,《暦日0》,二／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1784-0880》,《節中》,春分二月中うの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1784-0890》,《暦日2》,三／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《1784-0900》,《暦日0》,四／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1784-0910》,《暦日2》,五／,かのえとら,とつ,木,　,きこ  つめとりよし
《1784-0920》,《暦日0》,六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1784-0930》,《暦日2》,七／,みつのえたつ,のそく,水,　,●
《1784-0940》,《暦日0》,八／,みつのとのみ,みつ,,天一天上,十し
《1784-0950》,《暦日2》,九／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1784-0960》,《暦日0》,十／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1784-0970》,《暦日2》,十一／,ひのえさる,とる,火,　,神よし
《1784-0980》,《暦日0》,十二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1784-0990》,《暦日2》,十三／,つちのえいぬ,あやふ,木,　, かといてよし
《1784-1000》,《暦日0》,十四／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1784-1010》,《暦日2》,十五／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1784-1020》,《暦日0》,十六／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1784-1030》,《暦日1》,十七／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1784-1040》,《節中》,清明三月せつみの八刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1784-1050》,《暦日1》,十八／,みつのとのう,とつ,金,　,神よし  けんふく かといてよし
《1784-1060》,《暦日2》,十九／,きのえたつ,たつ,火,　,大みやう くゑ日
《1784-1070》,《暦日0》,廿／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1784-1080》,《暦日2》,廿一／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1784-1090》,《暦日0》,廿二／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1784-1100》,《暦日2》,廿三／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1784-1110》,《暦日0》,廿四／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1784-1120》,《暦日2》,廿五／,かのえいぬ,やふる,金,　,大みやう 天おん
《1784-1130》,《暦日0》,廿六／,かのとのい,あやふ,,　,●
《1784-1140》,《暦日2》,廿七／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1784-1150》,《暦日0》,廿八／,みつのとのうし,おさん,,ま日,十し
《1784-1160》,《暦日2》,廿九／,きのえとら,ひらく,水,とようさるの一刻ニ入,ちいみ  やたて  つめとりよし
《1784-1170》,《暦日0》,卅／,きのとのう,とつ,,　,神よし  ものたちよし
《1784-1180》,《月序》,三月,小,建,戊辰,虛宿　翼　火よう
《1784-1190》,《暦日2》,一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1784-1200》,《暦日0》,二／,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
《1784-1210》,《節中》,穀雨三月中さるの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1784-1220》,《暦日2》,三／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1784-1230》,《暦日0》,四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1784-1240》,《暦日2》,五／,かのえさる,さたん,木,　,大みやう くゑ日
《1784-1250》,《暦日0》,六／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1784-1260》,《暦日2》,七／,みつのえいぬ,やふる,水,ま日,月とく わうまう
《1784-1270》,《暦日0》,八／,みつのとのい,あやふ,,八せんのおはり,●
《1784-1280》,《暦日2》,九／,きのえね,なる,金,　,くゑ日 きこ
《1784-1290》,《暦日0》,十／,きのとのうし,おさん,,　,十し
《1784-1300》,《暦日2》,十一／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1784-1310》,《暦日0》,十二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1784-1320》,《暦日2》,十三／,つちのえたつ,たつ,木,八十八や,五む日 くゑ日 ふく日
《1784-1330》,《暦日0》,十四／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1784-1340》,《暦日2》,十五／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1784-1350》,《暦日0》,十六／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1784-1360》,《暦日1》,十七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1784-1370》,《節中》,立夏四月せついの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1784-1380》,《暦日1》,十八／,みつのとのとり,さたん,金,　,十し
《1784-1390》,《暦日2》,十九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1784-1400》,《暦日0》,廿／,きのとのい,やふる,,　,月とく ちう日
《1784-1410》,《暦日2》,廿一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1784-1420》,《暦日0》,廿二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1784-1430》,《暦日2》,廿三／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1784-1440》,《暦日0》,廿四／,つちのとのう,ひらく,,　,大みやう 天おん 母倉 わうまう  入学よし
《1784-1450》,《暦日2》,廿五／,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
《1784-1460》,《暦日0》,廿六／,かのとのみ,たつ,,　,●
《1784-1470》,《暦日2》,廿七／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1784-1480》,《暦日0》,廿八／,みつのとのひつし,みつ,,　,くゑ日
《1784-1490》,《暦日1》,廿九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1784-1500》,《月序》,四月,大,建,己巳,危宿　軫　水よう
《1784-1510》,《暦日1》,一／,きのとのとり,さたん,水,　,十し
《1784-1520》,《暦日2》,二／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1784-1530》,《暦日0》,三／,ひのとのい,やふる,,　,大みやう ちう日
《1784-1540》,《暦日1》,四／,つちのえね,あやふ,火,　, けんふくよし
