«1749-0000»,【 カンマ区切りテキスト形式です。】
«1749-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1749-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1749-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1749-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1749-0050»,【 外部リンク　】
«1749-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/18 ～ 22】
«1749-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1749h　(翻刻編集終了データを表成型して表示します)】
«1749-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1749ht (翻刻編集中データを表成型して表示します)】
«1749-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1749-0100»,«版元»,出版地○○,出版元□□□,　
«1749-1220»,«暦日0»,四〳,かのとのみ,たつ,,　,●
«1749-1230»,«暦日2»,五〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1749-1240»,«暦日0»,六〳,みつのとのひつし,みつ,,　,くゑ日
«1749-1250»,«暦日1»,七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1749-1260»,«節中»,小満四月中ひつしの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1749-1270»,«暦日1»,八〳,きのとのとり,さたん,水,　,十し
«1749-1280»,«暦日2»,九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1749-1290»,«暦日0»,十〳,ひのとのい,やふる,,　,大みやう ちう日
«1749-1300»,«暦日2»,十一〳,つちのえね,あやふ,火,　, けんふくよし
«1749-1310»,«暦日0»,十二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1749-1320»,«暦日2»,十三〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1749-1330»,«暦日0»,十四〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1749-1340»,«暦日2»,十五〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1749-1350»,«暦日0»,十六〳,みつのとのみ,たつ,,天一天上,●
«1749-1360»,«暦日2»,十七〳,きのえむま,のそく,金,　,天しや よろつよし
«1749-1370»,«暦日0»,十八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1749-1380»,«暦日2»,十九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1749-1390»,«暦日0»,廿〳,ひのとのとり,さたん,,　,十し
«1749-1400»,«暦日2»,廿一〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1749-1410»,«暦日0»,廿二〳,つちのとのい,とる,,　,神よし ちう日
«1749-1420»,«節中»,芒種五月せついぬの初刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1749-1430»,«暦日2»,廿三〳,かのえね,やふる,土,　,●
«1749-1440»,«暦日0»,廿四〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1749-1450»,«暦日2»,廿五〳,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
«1749-1460»,«暦日0»,廿六〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1749-1470»,«暦日2»,廿七〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1749-1480»,«暦日0»,廿八〳,きのとのみ,とつ,,　,十し
«1749-1490»,«暦日2»,廿九〳,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
«1749-1500»,«暦日0»,卅〳,ひのとのひつし,のそく,,　,神よし ふく日
«1749-1510»,«月序»,五月,小,建,庚午,室宿　虛　日よう
«1749-1520»,«暦日2»,一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1749-1530»,«暦日0»,二〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1749-1540»,«暦日2»,三〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1749-1550»,«暦日0»,四〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1749-1560»,«暦日2»,五〳,みつのえね,やふる,木,八せんのはしめ,●
«1749-1570»,«暦日0»,六〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1749-1580»,«暦日1»,七〳,きのえとら,なる,水,　,きこ わうまう  田うへ  つめとりよし
«1749-1590»,«節中»,夏至五月中翌ねの五刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1749-1600»,«暦日1»,八〳,きのとのう,おさん,水,　,ちいみ 大くわ  ものたちよし
«1749-1610»,«暦日2»,九〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1749-1620»,«暦日0»,十〳,ひのとのみ,とつ,,　,十し
«1749-1630»,«暦日2»,十一〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1749-1640»,«暦日0»,十二〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1749-1650»,«暦日2»,十三〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1749-1660»,«暦日0»,十四〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1749-1670»,«暦日2»,十五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1749-1680»,«暦日0»,十六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1749-1690»,«暦日2»,十七〳,きのえね,やふる,金,　,●
«1749-1700»,«暦日0»,十八〳,きのとのうし,あやふ,,はんけしやう,神よし  つめとりよし
«1749-1710»,«暦日2»,十九〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1749-1720»,«暦日0»,廿〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1749-1730»,«暦日2»,廿一〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1749-1740»,«暦日0»,廿二〳,つちのとのみ,とつ,,　,十し
«1749-1750»,«節中»,小暑六月せつ翌うの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1749-1760»,«暦日2»,廿三〳,かのえむま,とつ,土,　,●
«1749-1770»,«暦日0»,廿四〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1749-1780»,«暦日2»,廿五〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1749-1790»,«暦日0»,廿六〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1749-1800»,«暦日2»,廿七〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1749-1810»,«暦日0»,廿八〳,きのとのい,さたん,,　,ちう日
«1749-1820»,«暦日1»,廿九〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1749-1830»,«月序»,六月,大,建,辛未,壁宿　危　月よう
«1749-1840»,«暦日1»,一〳,ひのとのうし,やふる,水,　,十し
«1749-1850»,«暦日2»,二〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1749-1860»,«暦日0»,三〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1749-1870»,«暦日2»,四〳,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
«1749-1880»,«暦日0»,五〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1749-1890»,«暦日2»,六〳,みつのえむま,とつ,木,とようみの三刻ニ入,●
«1749-1900»,«暦日0»,七〳,みつのとのひつし,たつ,,　, たねまきよし
«1749-1910»,«暦日2»,八〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1749-1920»,«暦日0»,九〳,きのとのとり,みつ,,　,神よし ちいみ
«1749-1930»,«節中»,大暑六月中みの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1749-1940»,«暦日2»,十〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1749-1950»,«暦日0»,十一〳,ひのとのい,さたん,,　,大みやう ちう日
«1749-1960»,«暦日2»,十二〳,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
«1749-1970»,«暦日0»,十三〳,つちのとのうし,やふる,,　,十し
«1749-1980»,«暦日2»,十四〳,かのえとら,あやふ,木,中伏, やたて  つめとりよし
«1749-1990»,«暦日0»,十五〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1749-2000»,«暦日2»,十六〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1749-2010»,«暦日0»,十七〳,みつのとのみ,ひらく,,天一天上,ちう日 わうまう  いちたちよし
«1749-2020»,«暦日2»,十八〳,きのえむま,とつ,金,　,●
«1749-2030»,«暦日0»,十九〳,きのとのひつし,たつ,,　,大みやう 五む日
«1749-2040»,«暦日2»,廿〳,ひのえさる,のそく,火,　,神よし
«1749-2050»,«暦日0»,廿一〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1749-2060»,«暦日2»,廿二〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1749-2070»,«暦日0»,廿三〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1749-2080»,«暦日1»,廿四〳,かのえね,さたん,土,末伏,神よし ふく日
«1749-2090»,«節中»,立秋七月せつさるの四刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1749-2100»,«暦日1»,廿五〳,かのとのうし,とる,土,　,●
«1749-2110»,«暦日2»,廿六〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1749-2120»,«暦日0»,廿七〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1749-2130»,«暦日2»,廿八〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1749-2140»,«暦日0»,廿九〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1749-2150»,«暦日1»,卅〳,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
«1749-2160»,«月序»,七月,大,建,壬申,奎宿　壁　水よう
«1749-2170»,«暦日1»,一〳,ひのとのひつし,とつ,水,　,神よし  いちたちよし
«1749-2180»,«暦日2»,二〳,つちのえさる,たつ,土,　,天しや よろつよし
«1749-2190»,«暦日0»,三〳,つちのとのとり,のそく,,　,十し
«1749-2200»,«暦日2»,四〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1749-2210»,«暦日0»,五〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1749-2220»,«暦日2»,六〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1749-2230»,«暦日0»,七〳,みつのとのうし,とる,,ま日,●
«1749-2240»,«暦日2»,八〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1749-2250»,«暦日0»,九〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1749-2260»,«節中»,処暑七月中いの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1749-2270»,«暦日2»,十〳,ひのえたつ,なる,土,ま日,きしく 大みやう ちいみ  くさかりよし
«1749-2280»,«暦日0»,十一〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1749-2290»,«暦日2»,十二〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1749-2300»,«暦日0»,十三〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1749-2310»,«暦日2»,十四〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1749-2320»,«暦日0»,十五〳,かのとのとり,のそく,,　,十し
«1749-2330»,«暦日2»,十六〳,みつのえいぬ,みつ,水,ま日
«1749-2340»,«暦日0»,十七〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1749-2350»,«暦日2»,十八〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1749-2360»,«暦日0»,十九〳,きのとのうし,とる,,　,●
«1749-2370»,«暦日2»,廿〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1749-2380»,«暦日0»,廿一〳,ひのとのう,あやふ,,二百十日,神よし  わたましよし
«1749-2390»,«暦日2»,廿二〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1749-2400»,«暦日0»,廿三〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1749-2410»,«暦日1»,廿四〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1749-2420»,«節中»,白露八月せつ翌うしの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1749-2430»,«暦日1»,廿五〳,かのとのひつし,ひらく,土,　,●
«1749-2440»,«暦日2»,廿六〳,みつのえさる,とつ,金,　,神よし 大みやう
«1749-2450»,«暦日0»,廿七〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1749-2460»,«暦日2»,廿八〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1749-2470»,«暦日0»,廿九〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1749-2480»,«暦日1»,卅〳,ひのえね,たいら,水,　,大くわ 地火
«1749-2490»,«月序»,八月,小,建,癸酉,婁宿　婁　金よう
«1749-2500»,«暦日1»,一〳,ひのとのうし,さたん,水,二百廿日,神よし 大みやう  ものたち  つめとりよし
«1749-2510»,«暦日2»,二〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1749-2520»,«暦日0»,三〳,つちのとのう,やふる,,　,大みやう
«1749-2530»,«暦日2»,四〳,かのえたつ,あやふ,金,　
