《1716-0000》,# カンマ区切りテキスト形式です。
《1716-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1716-1050》,《暦日2》,廿三／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1716-1060》,《暦日0》,廿四／,きのとのう,とつ,,　,神よし  ものたちよし
《1716-1070》,《暦日2》,廿五／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1716-1080》,《暦日0》,廿六／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1716-1090》,《暦日2》,廿七／,つちのえむま,みつ,火,ま日/とようとらの初刻ニ入,神よし ふく日 天火 らうしやく  ふねのりよし
《1716-1100》,《暦日0》,廿八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1716-1110》,《暦日1》,廿九／,かのえさる,さたん,木,　,大みやう くゑ日
《1716-1120》,《月序》,三月,小,建,壬辰,箕宿　軫　水よう
《1716-1130》,《暦日1》,一／,かのとのとり,とる,木,三月中とらの四刻,大みやう
《1716-1140》,《食記》,日そく五分
《1716-1150》,《暦日2》,二／,みつのえいぬ,やふる,水,ま日
《1716-1160》,《暦日0》,三／,みつのとのい,あやふ,,八せんのおはり,●
《1716-1170》,《暦日2》,四／,きのえね,なる,金,　,くゑ日 きこ
《1716-1180》,《暦日0》,五／,きのとのうし,おさん,,　,十し
《1716-1190》,《暦日2》,六／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1716-1200》,《暦日0》,七／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1716-1210》,《暦日2》,八／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1716-1220》,《暦日0》,九／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1716-1230》,《暦日2》,十／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1716-1240》,《暦日0》,十一／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1716-1250》,《暦日2》,十二／,みつのえさる,さたん,金,八十八や,大みやう くゑ日
《1716-1260》,《暦日0》,十三／,みつのとのとり,とる,,　,神よし 大みやう
《1716-1270》,《暦日2》,十四／,きのえいぬ,やふる,火,　, くさかりよし
《1716-1280》,《暦日0》,十五／,きのとのい,あやふ,,　,●
《1716-1290》,《暦日2》,十六／,ひのえね,あやふ,水,立夏四月せつみの一刻ニ入,ふく日  さひらきよし
《1716-1300》,《暦日0》,十七／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1716-1310》,《暦日2》,十八／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1716-1320》,《暦日0》,十九／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1716-1330》,《暦日2》,廿／,かのえたつ,とつ,金,　, けんふくよし
《1716-1340》,《暦日0》,廿一／,かのとのみ,たつ,,　,●
《1716-1350》,《暦日2》,廿二／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1716-1360》,《暦日0》,廿三／,みつのとのひつし,みつ,,　,くゑ日 わうまう
《1716-1370》,《暦日2》,廿四／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1716-1380》,《暦日0》,廿五／,きのとのとり,さたん,,　,十し
《1716-1390》,《暦日2》,廿六／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1716-1400》,《暦日0》,廿七／,ひのとのい,やふる,,　,大みやう ちう日
《1716-1410》,《暦日2》,廿八／,つちのえね,あやふ,火,　, けんふくよし
《1716-1420》,《暦日0》,廿九／,つちのとのうし,なる,,　,きこ  つめとりよし
《1716-1430》,《月序》,四月,大,建,癸巳,斗宿　角　木よう
《1716-1440》,《暦日2》,一／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1716-1450》,《暦日0》,二／,かのとのう,ひらく,,四月中ひつしの六刻,神よし  やたて ものたちよし
