«1698-0000»,【 カンマ区切りテキスト形式です。】
«1698-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1698-2460»,«暦日2»,十三〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1698-2470»,«暦日0»,十四〳,きのとのう,やふる,,　,くゑ日 ふく日
«1698-2480»,«暦日2»,十五〳,ひのえたつ,あやふ,土,ま日,大みやう
«1698-2490»,«暦日0»,十六〳,ひのとのみ,なる,,　,十し
«1698-2500»,«暦日2»,十七〳,つちのえむま,おさん,火,ま日|社日,めつもん
«1698-2510»,«暦日0»,十八〳,つちのとのひつし,ひらく,,秋分八月中ねの四刻,●
«1698-2520»,«暦日2»,十九〳,かのえさる,とつ,木,　,大みやう わうまう  入学よし
«1698-2530»,«暦日0»,廿〳,かのとのとり,たつ,,ひかんニなる,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1698-2540»,«暦日2»,廿一〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1698-2550»,«暦日0»,廿二〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1698-2560»,«暦日2»,廿三〳,きのえね,たいら,金,　,きしく 大くわ 地火  わたましよし
«1698-2570»,«暦日0»,廿四〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1698-2580»,«暦日2»,廿五〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1698-2590»,«暦日0»,廿六〳,ひのとのう,やふる,,　,さい下しき  田かりよし
«1698-2600»,«暦日2»,廿七〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1698-2610»,«暦日0»,廿八〳,つちのとのみ,なる,,　,十し
«1698-2620»,«暦日2»,廿九〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1698-2630»,«暦日0»,卅〳,かのとのひつし,ひらく,,　,●
«1698-2640»,«月序»,九月,大,建,壬戌,參宿　氐　土よう
«1698-2650»,«暦日2»,一〳,みつのえさる,とつ,金,　,神よし 大みやう
«1698-2660»,«暦日0»,二〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1698-2670»,«暦日2»,三〳,きのえいぬ,たつ,火,かん露九月せつうの一刻ニ入,くゑ日
«1698-2680»,«暦日0»,四〳,きのとのい,のそく,,　,ちう日  田かりよし
«1698-2690»,«暦日2»,五〳,ひのえね,みつ,水,　,きこ 天火 らうしやく
«1698-2700»,«暦日0»,六〳,ひのとのうし,たいら,,　,十し
«1698-2710»,«暦日2»,七〳,つちのえとら,さたん,土,　,●
«1698-2720»,«暦日0»,八〳,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
«1698-2730»,«暦日2»,九〳,かのえたつ,やふる,金,　
«1698-2740»,«暦日0»,十〳,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
«1698-2750»,«暦日2»,十一〳,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
«1698-2760»,«暦日0»,十二〳,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
«1698-2770»,«暦日2»,十三〳,きのえさる,ひらく,水,十方くれニ入,大みやう
«1698-2780»,«暦日0»,十四〳,きのとのとり,とつ,,　,神よし  田かりよし
«1698-2790»,«暦日2»,十五〳,ひのえいぬ,たつ,土,とようみの二刻ニ入,五む日  竹木こりよし
«1698-2800»,«暦日0»,十六〳,ひのとのい,のそく,,　,大みやう ちう日
«1698-2810»,«暦日2»,十七〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1698-2820»,«暦日0»,十八〳,つちのとのうし,たいら,,九月中みの六刻,十し
«1698-2830»,«暦日2»,十九〳,かのえとら,さたん,木,　,●
«1698-2840»,«暦日0»,廿〳,かのとのう,とる,,　,くゑ日
«1698-2850»,«暦日2»,廿一〳,みつのえたつ,やふる,水,　,きしく 大みやう 五む日 くゑ日
«1698-2860»,«暦日0»,廿二〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1698-2870»,«暦日2»,廿三〳,きのえむま,なる,金,　,くゑ日
«1698-2880»,«暦日0»,廿四〳,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
«1698-2890»,«暦日2»,廿五〳,ひのえさる,ひらく,火,　,くゑ日
«1698-2900»,«暦日0»,廿六〳,ひのとのとり,とつ,,　,くゑ日
«1698-2910»,«暦日2»,廿七〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1698-2920»,«暦日0»,廿八〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1698-2930»,«暦日2»,廿九〳,かのえね,みつ,土,　,きこ 天火 らうしやく わうまう
