«1840-0000»,【 カンマ区切りテキスト形式です。】
«1840-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1840-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1840-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1840-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1840-0050»,【 外部リンク　】
«1840-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/151 ～ 155】
«1840-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1840h　(翻刻編集終了データを表成型して表示します)】
«1840-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1840ht (翻刻編集中データを表成型して表示します)】
«1840-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1840-0100»,«版元»,出版地○○,出版元□□□,　
«1840-1920»,«暦日0»,七〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1840-1930»,«暦日2»,八〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1840-1940»,«暦日0»,九〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1840-1950»,«節中»,小暑六月せつたつの八刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1840-1960»,«暦日2»,十〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1840-1970»,«暦日0»,十一〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1840-1980»,«暦日2»,十二〳,かのえむま,とつ,土,　,●
«1840-1990»,«暦日0»,十三〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1840-2000»,«暦日2»,十四〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1840-2010»,«暦日0»,十五〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1840-2020»,«暦日2»,十六〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1840-2030»,«暦日0»,十七〳,きのとのい,さたん,,　,ちう日
«1840-2040»,«暦日2»,十八〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1840-2050»,«暦日0»,十九〳,ひのとのうし,やふる,,　,十し
«1840-2060»,«暦日2»,廿〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1840-2070»,«暦日0»,廿一〳,つちのとのう,なる,,とようひつしの初刻ニ入,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1840-2080»,«暦日2»,廿二〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1840-2090»,«暦日0»,廿三〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1840-2100»,«暦日1»,廿四〳,みつのえむま,とつ,木,　,●
«1840-2110»,«節中»,大暑六月中ひつしの四刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1840-2120»,«暦日1»,廿五〳,みつのとのひつし,たつ,木,　,天おん  たねまきよし
«1840-2130»,«暦日2»,廿六〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
«1840-2140»,«暦日0»,廿七〳,きのとのとり,みつ,,　,神よし ちいみ
«1840-2150»,«暦日2»,廿八〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1840-2160»,«暦日0»,廿九〳,ひのとのい,さたん,,　,大みやう ちう日
«1840-2170»,«暦日1»,卅〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1840-2180»,«月序»,七月,小,建,甲申,奎宿　軫　水よう
«1840-2190»,«暦日1»,一〳,つちのとのうし,やふる,火,　,十し
«1840-2200»,«暦日2»,二〳,かのえとら,あやふ,木,中伏,母倉 わうまう  やたて  つめとりよし
«1840-2210»,«暦日0»,三〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1840-2220»,«暦日2»,四〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1840-2230»,«暦日0»,五〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1840-2240»,«暦日2»,六〳,きのえむま,とつ,金,　,●
«1840-2250»,«暦日0»,七〳,きのとのひつし,たつ,,　,大みやう 五む日
«1840-2260»,«暦日2»,八〳,ひのえさる,のそく,火,　,神よし
«1840-2270»,«暦日0»,九〳,ひのとのとり,のそく,,　,十し
«1840-2280»,«節中»,立秋七月せついぬの一刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1840-2290»,«暦日2»,十〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1840-2300»,«暦日0»,十一〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1840-2310»,«暦日2»,十二〳,かのえね,さたん,土,末伏,神よし ふく日
«1840-2320»,«暦日0»,十三〳,かのとのうし,とる,,　,●
«1840-2330»,«暦日2»,十四〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1840-2340»,«暦日0»,十五〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1840-2350»,«暦日2»,十六〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1840-2360»,«暦日0»,十七〳,きのとのみ,おさん,,　,大みやう 大くわ ちう日 わうまう  けんふくよし
«1840-2370»,«暦日2»,十八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1840-2380»,«暦日0»,十九〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1840-2390»,«暦日2»,廿〳,つちのえさる,たつ,土,　,天しや よろつよし
«1840-2400»,«暦日0»,廿一〳,つちのとのとり,のそく,,　,十し
«1840-2410»,«暦日2»,廿二〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1840-2420»,«暦日0»,廿三〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1840-2430»,«暦日2»,廿四〳,みつのえね,さたん,木,八せんのはしめ,神よし きしく 天おん 月とく  くらたてよし
«1840-2440»,«暦日0»,廿五〳,みつのとのうし,とる,,ま日,●
«1840-2450»,«節中»,処暑七月中今暁ねの六刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1840-2460»,«暦日2»,廿六〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1840-2470»,«暦日0»,廿七〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
